Code,Name of Station,Address,Easting,Northing
AM,"2 Park Farm Cottages, Routh","Main Road, Routh, HU17 9SN",509265,443095
AA,"21 Main Street, Beswick","21 Main Street, Beswick, YO25 9AT",501272,448336
IT,"45 Main Street, Watton, YO25 9AW","45 Main Street, Watton, YO25 9AW",501548,450172
SA,Airmyn Memorial Village Hall,"Woodland Way, Airmyn, DN14 8LY",472902,425229
OA,Aldbrough Methodist Church Hall,"High Street, Aldbrough, HU11 4RP",524208,438562
GI,All Saints Church Family Centre,"Church Hill, South Cave, HU15 2EU",491898,430741
QF,"All Saints Church, Mappleton","Church Lane, Mappleton, HU18 1XS",522545,443860
ZA,Allerthorpe Village Hall,"Main Street, Allerthorpe, YO42 4RN",478307,447294
OK,"Amenity Building - Densholme Farm, Great Hatfield","Hull Road, Great Hatfield, HU11 4UX",518339,443007
XA,Anlaby Community Care Centre,"First Lane, Anlaby, HU10 6UE",504054,428541
XE,Anlaby Park Methodist Church,"Hull Road, Anlaby Common, HU4 7RR",504677,428718
XB,Anlaby Village Hall,"21 Hull Road, Anlaby, HU10 6SP",503569,428800
QA,Atwick Village Hall,"Cliff Road, Atwick, YO25 8DF",519072,450859
HA,Bainton Methodist Chapel - School Room,"Dead Lane, Bainton, YO25 9NN",496389,452409
RA,Barmby Moor Village Hall,"Chapel Street, Barmby Moor, YO42 4EL",477877,448960
IA,Barmston and Fraisthorpe Village Hall,"Sands Lane, Barmston, YO25 8PG",515997,459001
IB,Beeford Community Centre,"Main Street, Beeford, YO25 8AY",512876,454102
BA,Bempton and Buckton Community Village Hall,"Main Street, Bempton, YO15 1HS",518643,472322
WC,Beverley Family and Youth Support Centre,"Burden Road, Beverley, HU17 9LW",503974,440388
WK,Beverley Grange Nursing Home - Conservatory,"Lockwood Road, Molescroft, HU17 9GQ",503160,441213
"WG, WH",Beverley Memorial Hall,"73-75, Lairgate, Beverley, HU17 8HN",503363,439298
PC,Beverley Minster Parish Hall,"Minster Yard North, Beverley, HU17 0DP",503751,439297
OB,Bilton Village Hall,"Main Road, Bilton, HU11 4AA",515478,432823
AC,Bishop Burton Village Hall,"Cold Harbour View, Bishop Burton, HU17 8QJ",498876,439645
ZC,Bishop Wilton Village Hall,"Worsendale Road, Bishop Wilton, YO42 1ST",479897,455367
BB,Boynton Village Hall,"Main Street, Boynton, YO16 4XJ",513575,468171
IC,Brandesburton Methodist Church Hall,"34 Main Street, Brandesburton, YO25 8RL",511669,447469
GA,Brantingham Village Hall,"Main Road, Brantingham, HU15 1QG",493995,429463
DF,Bridlington Town Hall - Council Chamber,"Quay Rod, Bridlington, YO16 4LP",517886,466978
NB,Broomfleet Village Hall,"Main Street, Broomfleet, HU15 1RJ",488052,427134
"GE, GEA",Brough Methodist Church,"54 Welton Road, Brough, HU15 1DL",494153,426848
ZD,Bugthorpe War Memorial Institute,"Barf Lane, Bugthorpe, YO41 1QS",477297,457798
OC,Burstwick Village Hall,"Church Lane, Burstwick, HU12 9ES",522836,428046
ID,Burton Agnes CE VC Primary School,"Rudston Rd, Burton Agnes, YO25 4NE",510212,462985
OD,Burton Constable Hall (Room next to Cafe/Shop),"New Ellerby Road, Burton Constable, HU11 4LN",519058,436545
IE,Burton Fleming Village Hall,"South Street, Burton Fleming, YO25 4AS",508565,472067
OE,Burton Pidsea Memorial Hall,"Back Lane, Burton Pidsea, HU12 9AN",524967,431016
OF,Catwick Village Hall,"Riston Road, Catwick, HU17 5PR",512804,445336
AD,Cherry Burton Village Hall,"Main Street, Cherry Burton, HU17 7RF",498824,442135
ZB,"Cherry Court, Bielby","Cherry Court Main Street, Bielby, YO42 4JL",479004,443345
UD,Christ Church - School Room,"School Room, Main Street, Swanland, HU14 3QP",499667,428018
"DD, DE",Christ Church Hall,"2 Quay Road, Bridlington, YO15 2AP",518280,466951
XC,Christ Church United Reformed Church,"South Ella Way, Anlaby, HU10 7HB",503009,429107
"FA, FB","Christ Church, Cottingham","Endyke Lane, Cottingham, HU16 4QD",505868,432782
"RD, RE, RF","Community Hall, Burnby Hall, The Balk, Pocklington, YO42 2QF","Community Hall, Burnby Hall, The Balk, Pocklington, YO42 2QF",480459,448658
"OG, OQ",Coniston and Thirtleby Village Hall,"Swine Lane, Coniston, HU11 4JS",515503,435205
IR,"Corner House, Thwing","Main Street, Thwing, YO25 3DS",504955,470052
HB,Cottam Grange,"Cottam, YO25 3BY",498777,465633
EC,Cottingham Civic Hall,"Market Green, Cottingham, HU16 4AZ",504556,432803
ED,Cottingham Playsports Pavilion,"Northgate, Cottingham, HU16 5QW",504395,433385
AE,Dalton Holme Village Hall,"West End, South Dalton, HU17 7PN",496642,445416
HG,Driffield Community Centre,"Mill Street, Driffield, YO25 6TR",502160,457713
TA,Easington Community Hall,"The Square, Easington, HU12 0TU",539953,419176
ZE,East Cottingwith Village Hall,"Church Lane, East Cottingwith, YO42 4TN",470274,442563
SI,East Cowick Village Hall,"High Street, East Cowick, DN14 9EP",466346,421349
MA,"East End Farm, Asselby","Main Street, Asselby, DN14 7HB",471979,428032
ND,Eastrington Village Hall,"Howden Road, Eastrington, DN14 7PW",479335,429785
