ADDRESSL1,ADDRESSL2,ADDRESSL3,WARD,PDREF,STATNO,ELECTORATE,INFO,EAST,NORTH
Acom Project Building,Artillery Place,,Sutton & Mount Gould,OH,87,0,,248674.41,53906.569
Austin Farm Primary School,Delamere Road,,Eggbuckland,HE,46,0,Two stations at this address,250370.548,57202.995
Beechwood Primary School,Rockfield Avenue,,Southway,FD,33,0,,248608.41,60882.457
Bethany Evangelical Church,Budshead Road,,Budshead,EC,24,0,,247361.206,59708.658
Boringdon Primary School,Courtland Crescent,,Plympton St Mary,RC,100,0,Two stations at this address,253693.211,57047
Car park on Dunnet Road (Lower part),Mobile Unit,,Southway,FB,31,0,,247677.109,60522.491
Chaddlewood Farm Community Centre,Glen Road,Plympton,Plympton Chaddlewood,QC,97,0,Two stations at this address,256134.736,56151.777
Chaddlewood Primary School,Westfield,,Plympton Chaddlewood,QA,95,0,,255292.185,56391.23
Plymstock Methodist Church,Oreston Road,,Plymstock Radford,TA,108,0,,250147.18,53341.53
Children's Centre at,Laira Green Primary School,Brockley Road entrance,Efford & Lipson,PC,90,0,,250139.217,55930.377
Church of Our Lady of Mount Carmel,Stott Close,,Efford & Lipson,PE,92,0,,250826.573,56395.54
Church of the Holy Spirit Parish Hall,Clittaford Road,,Southway,FF,35,0,Two stations at this address,249103.671,61118.978
Colebrook Community Centre,Newnham Road,,Plympton St Mary,RD,101,0,Two stations at this address,254668.632,57159.756
Compton C/E Primary School,Higher Compton Road,,Compton,LB,64,0,Two stations at this address,249006.25,56941.703
Compton Methodist Church Hall,Eggbuckland Road,,Compton,LC,65,0,Two stations at this address,249359.608,56831.37
Courtlands Special School,Widey Lane,,Eggbuckland,HC,44,0,Two stations at this address,248925.714,58039.4
Crownhill Methodist Church Hall,Morshead Road,,Eggbuckland,HB,43,0,,248522.649,58645.593
Derriford United Reform Church Hall,Powisland Drive,,Budshead,EG,28,0,Two stations at this address,249308.848,60256.868
Dove Store Car Park,Deer Park Drive/Humber Close,Mobile Polling Unit,Efford & Lipson,PF,93,0,,250649.708,57008.879
Elburton Methodist Church,Springfield Road,,Plymstock Dunstone,UD,116,0,Two stations at this address,253038.363,53008.413
Elm Community Centre,Leypark Walk,,Moor View,GC,39,0,,251195.799,58709.69
Emmanuel Parish Hall,Compton Avenue,,Compton,LD,66,0,Two stations at this address,248692.961,56375.54
Ernesettle Community School,Biggin Hill entrance,,Honicknowle,DE,19,0,,245730.279,59697.15
Fredrick Street Centre,Fredrick Street West,,St Peter & The Waterfront,NG,78,0,,246969.054,54663.747
Glen Park Primary School,Glen Road,Plympton,Plympton Chaddlewood,QB,96,0,Two stations at this address,255592.953,56289.802
Goosewell Primary School,Goosewell Road,(Infants Classroom),Plymstock Radford,TC,110,0,,251752.459,52653.516
Goosewell Primary School (Drama Hall),Goosewell Road,,Plymstock Dunstone,UC,115,0,Two stations at this address,251810.725,52671.334
Halcyon Methodist Church Hall,Dingle Road,,Ham,BC,3,0,,246244.021,56897.044
Hessary Drive Car Park Adj No 55,Mobile Polling Unit,,Southway,FG,36,0,,250084.736,61900.239
High Street Primary School,High Street,Stonehouse,St Peter & The Waterfront,NE,76,0,,246428.318,54566.862
Hilltop Community Centre,Cunningham  Road,,Southway,FAB,30,0,,247216.32,61620.124
Holmwood Avenue,Mobile Polling Unit,,Plymstock Dunstone,UA,113,0,,251421.152,52102.811
Honicknowle Youth & Community Centre,Honicknowle Green,,Honicknowle,DB,16,0,,246614.464,59013.627
Hooe Baptist Church,Hooe Road,,Plymstock Radford,TB,109,0,Two stations at this address,249945.355,52477.889
Howesons in St Peters Church,South Entrance,Wyndham Square,St Peter & The Waterfront,NF,77,0,,246899.804,54761.83
Junction Kensington Road &,Southern Terrace,Mobile Polling Unit,Efford & Lipson,PA,88,0,,248739.075,55460.447
Junction of Budshead Road &,Canterbury Drive,Mobile Unit,Budshead,EA,22,0,,246581.866,59829.648
Junction of Sedley Way & Ruskin Crescent,Mobile Polling Unit,,Honicknowle,DD,18,0,,247775.435,59029
Keyham Green Places Community Centre,Renown Street,,Devonport,AC,50,0,Two stations at this address,245436.342,56509.955
Keyham Methodist Church,Admiralty Street,,Devonport,AD,51,0,,245222.421,56668.61
Kings Tamerton Community Centre,Newton Avenue,,St Budeaux,CE,13,0,,245471.296,58684.97
Kneele Gardens,On The Green,Mobile Polling Unit,Compton,LA,63,0,,248568.067,57581.033
Knowle Primary School,Ringmore Way,,Honicknowle,DG,21,0,,246237.793,59583.105
Laira Library,Old Laira Road,,Efford & Lipson,PD,91,0,,250292.499,55879.928
Leigham Community Hall,Bampton Road,,Moor View,GA,37,0,Two stations at this address,251161.988,57809.283
Lipson Vale Primary School,Bernice Terrace,,Efford & Lipson,PB,89,0,,249435.508,55638.072
Longcause School,Longcause,,Plympton Erle,SD,106,0,,254698.983,55718.942
Mainstone Community Centre,Pattinson Drive,,Moor View,GB,38,0,,251414.062,58786.01
Manadon Vale Primary School,St Peters Road,,Eggbuckland,HA,42,0,,248244.765,57946.05
Marlborough Primary School,Morice Square,,Devonport,AA,48,0,,245043.022,54876.612
Mary Dean CE Primary School,Horsham Lane,Tamerton Foliot,Southway,FA,29,0,,247125.439,61374.654
Masonic Hall,Tavistock Road,,Budshead,EF,27,0,,248707.125,58929.796
Merafield Road,Mobile Polling Unit,,Plympton Erle,SB,104,0,,252935.768,55991.523
Mobile Unit in car park on Chaucer Way,Chaucer Way/Masefield Gardens,,Honicknowle,DC,17,0,,246872.961,58384.641
Montpelier Infants School,Parker Road,,Peverell,KC,60,0,Two stations at this address,246987.698,56948.387
Morice Baptist Church,Ham Drive,,Ham,BF,6,0,,246028.673,57287.328
Morley Youth Centre,Broadland Gardens,,Plymstock Dunstone,UE,117,0,Two stations at this address,252122.752,53705.538
Mount Gould Methodist Church Hall,Faringdon Road,,Sutton & Mount Gould,OA,80,0,,249521.644,55388.063
Mount Street Primary Street,Mount Street,Greenbank,Drake,MD,71,0,,248303.051,54996.16
