Publisher Label,Publisher URI,"Organisation name","Organisation code","Organisation code Uri","Polling station","Polling district","Polling place","Parliamentary constituency","Elector count"
"Wycombe District Council","http://opendatacommunities.org/doc/district-council/wycombe","Wycombe","http://opendatacommunities.org/id/district-council/wycombe","http://opendatacommunities.org/id/district-council/wycombe",1,"AA","Bledlow Village Hall, Lower Icknield Way, Bledlow, Princes Risborough, HP27 9QF","Aylesbury",730
"Wycombe District Council","http://opendatacommunities.org/doc/district-council/wycombe","Wycombe","http://opendatacommunities.org/id/district-council/wycombe","http://opendatacommunities.org/id/district-council/wycombe",2,"AB","Bledlow Ridge Village Hall, Chinnor Road, Bledlow Ridge, High Wycombe, HP14 4AJ","Aylesbury",804
"Wycombe District Council","http://opendatacommunities.org/doc/district-council/wycombe","Wycombe","http://opendatacommunities.org/id/district-council/wycombe","http://opendatacommunities.org/id/district-council/wycombe",3,"AC","Bradenham Cricket Club Pavilion, The Green, Bradenham Woods Lane, Bradenham, HP14 4HD","Aylesbury",326
"Wycombe District Council","http://opendatacommunities.org/doc/district-council/wycombe","Wycombe","http://opendatacommunities.org/id/district-council/wycombe","http://opendatacommunities.org/id/district-council/wycombe",4,"AD","The Clare Foundation, Saunderton Estate, Wycombe Road, Saunderton, High Wycombe, HP14 4BF","Aylesbury",395
"Wycombe District Council","http://opendatacommunities.org/doc/district-council/wycombe","Wycombe","http://opendatacommunities.org/id/district-council/wycombe","http://opendatacommunities.org/id/district-council/wycombe",5,"AE","Naphill Village Hall, Main Road, Naphill, HP14 4SX","Aylesbury",1108
"Wycombe District Council","http://opendatacommunities.org/doc/district-council/wycombe","Wycombe","http://opendatacommunities.org/id/district-council/wycombe","http://opendatacommunities.org/id/district-council/wycombe",6,"AE","Naphill Village Hall, Main Road, Naphill, HP14 4SX","Aylesbury",1134
"Wycombe District Council","http://opendatacommunities.org/doc/district-council/wycombe","Wycombe","http://opendatacommunities.org/id/district-council/wycombe","http://opendatacommunities.org/id/district-council/wycombe",7,"AF","Hughenden Valley Village Hall, Coombe Lane, Hughenden Valley, HP14 4NX","Aylesbury",1564
"Wycombe District Council","http://opendatacommunities.org/doc/district-council/wycombe","Wycombe","http://opendatacommunities.org/id/district-council/wycombe","http://opendatacommunities.org/id/district-council/wycombe",8,"AG","Great Kingshill Village Hall, New Road, Great Kingshill, High Wycombe, HP15 6DW","Aylesbury",1308
"Wycombe District Council","http://opendatacommunities.org/doc/district-council/wycombe","Wycombe","http://opendatacommunities.org/id/district-council/wycombe","http://opendatacommunities.org/id/district-council/wycombe",9,"AH","Church of the Good Shepherd, Georges Hill, Widmer End, High Wycombe, HP15 6BH","Aylesbury",1576
"Wycombe District Council","http://opendatacommunities.org/doc/district-council/wycombe","Wycombe","http://opendatacommunities.org/id/district-council/wycombe","http://opendatacommunities.org/id/district-council/wycombe",10,"AI","Great Hampden Village Hall, Memorial Road, Great Hampden, Great Missenden, HP16 9RF","Aylesbury",217
