FORMCOUNT,DISTRICT,DSTR_NAME,DSTR_ADD1,DSTR_ADD2,DSTR_ORDER,DSTR_STNOS,BLDG_DESC,BLDG_NAME,BLDG_ADD1,BLDG_ADD2,BLDG_ADD3,BLDG_ADD4,BLDG_ADD5,BLDG_PCODE,STN1_FULLSTATNO,STN1_START,STN1_FINISH,STN2_FULLSTATNO,STN2_START,STN2_FINISH,STN3_FULLSTATNO,STN3_START,STN3_FINISH,STN4_FULLSTATNO,STN4_START,STN4_FINISH,STN5_FULLSTATNO,STN5_START,STN5_FINISH,STN6_FULLSTATNO,STN6_START,STN6_FINISH,EURO_NAME,EURO_NAME2,WARD_NAME,WARD_NAME2,PARL_NAME,PARL_NAME2,DIV_NAME,DIV_NAME2,PRSH_NAME,PRSH_NAME2,NEW_EURO_NAME,NEW_EURO_NAME2,NEW_WARD_NAME,NEW_WARD_NAME2,NEW_PARL_NAME,NEW_PARL_NAME2,NEW_DIV_NAME,NEW_DIV_NAME2,NEW_PRSH_NAME,NEW_PRSH_NAME2,PUBLISHED,QUALIFICATION,REGISTYEAR,LASTYEAR,NEXTYEAR,OVERSEAS_PUBLISH,SYSTEM_NAME1,SYSTEM_NAME2,SYSTEM_CENAME,SYSTEM_CETITLE,SYSTEM_NAME,SYSTEM_TITLE,SYSTEM_PHONE,SYSTEM_ADD1,SYSTEM_ADD2,SYSTEM_ADD3,SYSTEM_ADD4,SYSTEM_ADD5,SYSTEM_ADD6,SYSTEM_ADD7,SYSTEM_PCODE,DUMMY_FIELD
000001,LAA,"Barcombe","","",1,1,"Barcombe Village Hall","Barcombe Village Hall","Barcombe Mills Road","Barcombe","Lewes","","East Sussex",Bn8 5bh,1,1,1116,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Barcombe And Hamsey","","Lewes","","Ringmer And Lewes Bridge","","Barcombe Parish Council","","South East","","Barcombe And Hamsey","","Lewes","","Ringmer And Lewes Bridge","","Barcombe Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000002,LAC,"Hamsey","","",2,1,"Beechwood Hall","Beechwood Hall","Beechwood Lane","Cooksbridge","Lewes","","East Sussex",Bn7 3qg,2,1,458,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Barcombe And Hamsey","","Lewes","","Ringmer And Lewes Bridge","","Hamsey Parish Council","","South East","","Barcombe And Hamsey","","Lewes","","Ringmer And Lewes Bridge","","Hamsey Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000003,LBA,"Chailey","","",3,2,"Chailey Parish Hall","Chailey Parish Hall","Chailey Green Road","Chailey Green","Lewes","","East Sussex",Bn8 4da,3,1,2273,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Chailey And Wivelsfield","","Lewes","","Chailey","","Chailey Parish Council","","South East","","Chailey And Wivelsfield","","Lewes","","Chailey","","Chailey Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000004,LBB,"Wivelsfield","","",4,2,"Wivelsfield Village Hall","Wivelsfield Village Hall","Eastern Road","Wivelsfield","Haywards Heath","","West Sussex",Rh17 7qh,4,1,1682,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Chailey And Wivelsfield","","Lewes","","Chailey","","Wivelsfield Parish Council","","South East","","Chailey And Wivelsfield","","Lewes","","Chailey","","Wivelsfield Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000005,LCA,"Ditchling (part)","","",5,1,"Ditchling Village Hall ","Ditchling Village Hall ","Lewes Road","Ditchling","","Hassocks","West Sussex",Bn6 8tt,5,1,1330,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Ditchling And Westmeston","","Lewes","","Chailey","","Ditchling Parish Council","","South East","","Ditchling And Westmeston","","Lewes","","Chailey","","Ditchling Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000006,LCB,"Ditchling (part)","","",6,1,"Wivelsfield Village Hall","Wivelsfield Village Hall","Eastern Road","Wivelsfield","Haywards Heath","","West Sussex",Rh17 7qh,6,1,451,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Ditchling And Westmeston","","Lewes","","Chailey","","Ditchling Parish Council","","South East","","Ditchling And Westmeston","","Lewes","","Chailey","","Ditchling Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000007,LCC,"Westmeston","","",7,1,"Westmeston Parish Hall","Westmeston Parish Hall","Lewes Road","Westmeston","","Hassocks","West Sussex",Bn6 8rl,7,1,246,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","Ditchling And Westmeston","","Lewes","","Chailey","","Westmeston Parish Council","","South East","","Ditchling And Westmeston","","Lewes","","Chailey","","Westmeston Parish Council","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000008,LDA,"East Saltdean","","",8,2,"St Martins Church Hall","St Martins Church Hall","Longridge Avenue","Saltdean","","Brighton","East Sussex",Bn2 8rb,39,1,2219,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","East Saltdean And Telscombe Cliffs","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Telscombe Town Council - East Saltdean Ward","","South East","","East Saltdean And Telscombe Cliffs","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Telscombe Town Council - East Saltdean Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000009,LDB,"Telscombe (part)","","",9,1,"Telscombe Parish Hall","Telscombe Parish Hall","Tyedean Road","Telscombe Cliffs","","Peacehaven","East Sussex",Bn10 7au,40,1,1576,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","East Saltdean And Telscombe Cliffs","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Telscombe Town Council - Telscombe Cliffs Ward","","South East","","East Saltdean And Telscombe Cliffs","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Telscombe Town Council - Telscombe Cliffs Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
000010,LDC,"Telscombe (part)","","",10,1,"Telscombe Cliffs County Primary School","Telscombe Cliffs County Primary School","Telscombe Cliffs Way","Telscombe Cliffs","","Peacehaven","East Sussex",Bn10 7de,41,1,1728,,0,0,,0,0,,0,0,,0,0,,0,0,"South East","","East Saltdean And Telscombe Cliffs","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Telscombe Town Council - Telscombe Cliffs Ward","","South East","","East Saltdean And Telscombe Cliffs","","Brighton, Kemptown","","Peacehaven And Telscombe Towns","","Telscombe Town Council - Telscombe Cliffs Ward","","","1 December 2014",2015,2014,2016,"01/12/2014","Lewes District Council","Legal & Democratic Services","Jenny Rowlands","Electoral Registration Officer","Jackie Gavigan","Deputy Electoral Registration Officer","01273 484116","Southover House","Southover Road","","Lewes","","East Sussex","","BN7 1AB",dummy field
