Reference,Name,Station(s),Number of Default Polling Stations
100,,,
BMA,Cross-In-Hand,B52,1
BMB,Five Ashes,B53,1
BJA,Punnetts Town,B54,1
BJB,Swife Lane,B55,1
BJC,Warbleton,B56,1
BJD,Heathfield North,B57,1
BJE,Heathfield Park,B58,1
BJF,Heathfield Town,B59,1
BHF,Bodle Street Green,B60,1
BHG,Herstmonceux,B61,1
BHH,Hooe,B62,1
BHI,Ninfield,B63,1
BHJ,Wartling,B64,1
BPA,Pevensey Bay East,B65,1
BPB,Pevensey Bay West,B66,1
BPC,Pevensey North,B67,1
BPD,Stone Cross,"B68, B69",2
BPE,Westham,B70,1
BYH,Polegate Westham,B71,1
EYJ,Hamlands,E34,1
EYN,Lower Willingdon,E34,1
EYK,Jevington,E35,1
EYM,Wannock,E35,1
EYL,Willingdon Watermill,E36,1
EYO,Upper Willingdon,E37,1
LXA,Alciston,L62,1
LXF,Selmeston,L62,1
LXB,Alfriston,L63,1
LXC,Berwick,L64,1
LXD,Chalvington & Ripe,L65,1
LXE,Deanland,L66,1
LYC,Litlington,L67,1
LYD,Lullington,L67,1
LYA,East Dean & Friston,L68,1
LYF,Westdean,L68,1
LYB,Folkington,L69,1
LYE,Milton Street,L69,1
LYG,Wilmington,L69,1
LYH,Polegate North,"L70, L71",2
LYI,Polegate South,L72,1
WBA,Buxted,W1,1
WCC,Crowborough Jarvis Brook,W10,1
WCD,Crowborough Goldsmiths,W11,1
WCE,Crowborough Poundfield,W12,1
WCF,Crowborough St Johns,W13,1
WCG,Crowborough West,"W14, W15",2
WBE,Chelwood Gate,W16,1
WBF,Danehill,W17,1
WBG,Fletching & Piltdown,W18,1
WBH,Isfield,W19,1
WBB,High Hurstwood,W2,1
WBI,Little Horsted,W20,1
WBJ,Nutley,W21,1
WFA,Ashurst Wood,W22,1
WFB,Forest Row,"W23, W24",2
WFE,Sharpthorne,W24,1
WFC,Hammerwood,W25,1
WFD,Holtye,W25,1
WMC,Blackboys,W26,1
WMD,Framfield,W27,1
WME,Waldron,W28,1
WWA,Bells Yew Green,W29,1
WBC,Hadlow Down,W3,1
WFM,Eridge Rotherfield,W30,1
WWB,Eridge Frant,W30,1
WWC,Frant,W31,1
WFN,Mark Cross Rotherfield,W32,1
WFI,Blackham,W33,1
WFJ,Groombridge,W34,1
WFK,St Johns Withyham,W35,1
WFL,Withyham,W36,1
WHA,Hailsham Central,W37,1
WHB,Hailsham North,W38,1
WHC1,Hailsham East Urban,W39,1
WBD,Maresfield,W4,1
WHC2,Hailsham East Rural,W40,1
WHD,Hailsham South,"W41, W42",2
WHE,Hailsham West,W43,1
WFF,Colemans Hatch,W44,1
WFH,Hartfield,W45,1
WFG,Fairwarp,W46,1
WXJ,Arlington,W47,1
WXL,Upper Horsebridge,W48,1
WXK,Hellingly,W49,1
WXG,Chiddingly & Golden Cross,W5,1
WMF,Horam,W50,1
WWD,Mayfield,W51,1
WWE,Rotherfield,W52,1
WUA,Uckfield Central,W53,1
WUB,Uckfield New Town,W54,1
WUC,Uckfield North East,W55,1
WUD,Uckfield North West,W56,1
WMG,Uckfield Ridgewood,W57,1
WWF,Rushers Cross,W58,1
WWG,Mark Cross Wadhurst,W59,1
WXH,East Hoathly,W6,1
WWH,Wadhurst,W60,2
WXI,Laughton,W7,1
WCA,Crowborough Alderbrook,W8,1
WCB,Crowborough Blackness,W9,1
