OBJECTID,ADDRESS,NOTES,POLLING_DI,COUNTY_DIV,BOROUGH_WA,PARISH,POLLING__1,POINT_X,POINT_Y
73,St Barnabas Church Chapel Lane Heapey Chorley PR6 8EW,,19A / 19B,Chorley Rural East,PENN,HEAPEY,Anglezarke / Heapey 1,360184.3421,420508.4451
72,Heapey And Wheelton Village Hall West View Wheelton Chorley PR6 8HJ,RAMPS REQUIRED,20E,Chorley Rural East,WHEE,WHEELTON,Wheelton,360187.4437,421211.3158
71,Hillside Methodist Church Hall Parke Road Brinscall,,20D,Chorley Rural East,WHEE,WITHNELL,Brinscall,362438.6858,421539.0788
70,Withnell Fold Primary School Withnell Fold Withnell Chorley PR6 8BA,RAMPS REQUIRED,20C,Chorley Rural East,WHEE,WITHNELL,Withnell Fold,361148.2076,423035.1889
69,St Joseph's Catholic Primary School Bury Lane Withnell Chorley PR6 8SD,RAMPS REQUIRED,20B,Chorley Rural East,WHEE,WITHNELL,Withnell Mill,363153.6634,422272.4512
68,Abbey Village County Primary School Bolton Road Abbey Village Chorley PR6 8DD,,20A,Chorley Rural East,WHEE,WITHNELL,Abbey Village,364183.3287,422500.5447
67,St Chad's Catholic Primary School Blackburn Road Whittle-Le-Woods Chorley PR6 7DJ,,19C / 19D,Chorley Rural East,PENN,HEAPEY,Heapey 2 Whittle East,359702.9295,420813.0939
66,Ulnes Walton Community Centre The Old School Ulnes Walton Lane Ulnes Walton Leyland PR26 8LT,,18C,Chorley Rural West,LOST,ULNES WALTON,Ulnes Walton,350936.0808,419578.7246
65,Trinity Methodist Church Hall Westhead Road Croston Leyland PR26 9RQ,,18B,Chorley Rural West,LOST,CROSTON,Croston (part 2 ),348795.2479,418701.7902
64,Trinity Methodist Church Hall Westhead Road Croston Leyland PR26 9RQ,,18B,Chorley Rural West,LOST,CROSTON,Croston (part 1),348795.2269,418701.5895
62,Rivington Parish Church Hall Horrobin Lane Rivington Horwich BL6 7SE,,17B,Chorley Rural East,HEAT,RIVINGTON,Rivington,362610.9547,414423.336
61,Temporary Mobile Station Car Park The White Horse 32 Chorley Road Heath Charnock Chorley PR6 9JS,Mobile station in car park,17C,Chorley Rural East,HEAT,HEATH CHARNOCK,Heath Charnock 2,360002.1768,414182.0691
60,Anderton Primary School Babylon Lane Anderton Chorley PR6 9NW,,17A,Chorley Rural East,HEAT,HEATH CHARNOCK,Heath Charnock 1,360657.7206,413766.2867
59,Balshaw Lane Community Primary School Bredon Avenue Euxton Chorley PR7 6NS,,16A,Chorley Rural West,Euxton South,EUXTON,Euxton South,356167.1294,418330.2257
58,Balshaw Lane Community Primary School Bredon Avenue Euxton Chorley PR7 6NS,,16A,Chorley Rural West,EUXS,EUXTON,Euxton South (part 2),356163.9926,418330.2257
57,Primrose Hill Primary School Primrose Hill Road Euxton Chorley PR7 6BA,RAMPS REQUIRED,15A,Chorley North,EUXN,EUXTON,Euxton North (part 2),354925.0071,419566.2692
56,Primrose Hill Primary School Primrose Hill Road Euxton Chorley PR7 6BA,RAMPS REQUIRED,15A,Chorley North,EUXN,EUXTON,Euxton North (part 1),354919.456,419564.4188
55,Mawdesley Village Hall Hurst Green Mawdesley Ormskirk L40 2QT,,14C,Chorley Rural West,ECCH,MAWDESLEY,Mawdesley,349164.9424,415058.2528
54,Bateman Hall Sagar Street Eccleston Chorley PR7 5TA,,14B,Chorley Rural West,ECCH,ECCLESTON,Eccleston 2,352255.698,416775.374
53,Eccleston Primary School Doctors Lane Eccleston Chorley PR7 5RA,,14A,Chorley Rural West,ECCH,ECCLESTON,Eccleston 1 (part 2),351935.5926,416942.7965
52,Eccleston Primary School Doctors Lane Eccleston Chorley PR7 5RA,,14A,Chorley Rural West,ECCH,ECCLESTON,Eccleston 1 (part 1),351941.0308,416944.1999
51,Coppull Parish Church School Roe Hey Drive Coppull Chorley PR7 4PU,RAMPS REQUIRED,13B,Chorley West,COPP,COPPULL,East 2 (part 2),356766.3935,414464.7633
50,Coppull Parish Church School Roe Hey Drive Coppull Chorley PR7 4PU,RAMPS REQUIRED,13B,East 2 (part 1),COPP,COPPULL,East 2 (part 1),356763.7532,414466.3475
49,St John The Divine Church Hall Hewlett Street Coppull,,13A,Chorley West,COPP,COPPULL,East 1 (part 2),356051.8213,414160.8222
48,St John The Divine Church Hall Hewlett Street Coppull,,13A,Chorley West,COPP,COPPULL,East 1 (part 1),356050.9345,414163.3347
47,Campbells Park Homes Club Willow Crescent Cuerden Residential Park Clayton-Le-Woods Leyland PR25 5PB,Mobile Station,12B / 12C,Chorley Rural North,CLAW,CLAYTON-LE-WOODS,Clayton West 2 / Cuerden,355776.8362,423373.4177
46,Spring Meadow Community Centre Spring Meadow Clayton-Le-Woods Leyland PR25 5LX,,12A,Chorley Rural North,CLAW,CLAYTON-LE-WOODS,Chorley West 1 (part 2),356528.3974,422241.138
