Title,Polling Station,Address,Further information,Map of location,Navigation ID,IPSV IDs,Directory Category IDs,metadata:creator,metadata:contributor,metadata:publisher,metadata:rights,metadata:source,metadata:status,metadata:coverage,metadata:created,metadata:modified,metadata:valid,metadata:expired,metadata:format,metadata:language,metadata:subject,metadata:description,Navigation ID,Directory Category IDs
ABC Memorial Hall,ABC Memorial Hall,"ABC Memorial Hall 
Avenue Road 
Hurst Green 
Nr Clitheroe 
Lancashire 
BB7 9QQ","ABC Memorial Hall acts as Polling Station in elections for Hurst Green/Stonyhurst. There are several steps to the front entrance, disabled entrance to the rear.","53.83914586166627,-2.480764389038086",,,,controlcentre,,Ribble Valley Borough Council,"Copyright (C) 2009 Ribble Valley Borough Council, Council Offices, Church Walk, CLITHEROE, Lancashire BB7 2RA",,V1.0 Public Consumption,"Ribble Valley, Lancashire, UK",1393891200,1393891200,,,text/html,en,,ABC Memorial Hall,,
All Hallows Church,All Hallows Church,"All Hallows Church 
Church Lane 
Mitton 
Nr Clitheroe 
Lancashire 
BB7 9PH","All Hallows Church acts as Polling Station in elections for Mitton and Little Mitton.
Disabled access is through the main entrance to the premises.","53.84624185702179,-2.434018850326538",,,,controlcentre,,Ribble Valley Borough Council,"Copyright (C) 2009 Ribble Valley Borough Council, Council Offices, Church Walk, CLITHEROE, Lancashire BB7 2RA",,V1.0 Public Consumption,"Ribble Valley, Lancashire, UK",1393891200,1393891200,,,text/html,en,,All Hallows Church,,
Barrow Primary School,Barrow Primary School,"Barrow Primary School 
Old Row 
Barrow 
Nr Clitheroe 
Lancashire 
BB7 9AZ",Barrow Primary School acts as Polling Station for Barrow and Barraclough. There is no designated disabled parking space and minimal difficulty with regard to distance to access for disabled,"53.8424376415288,-2.3986244201660156",,,,controlcentre,,Ribble Valley Borough Council,"Copyright (C) 2009 Ribble Valley Borough Council, Council Offices, Church Walk, CLITHEROE, Lancashire BB7 2RA",,V1.0 Public Consumption,"Ribble Valley, Lancashire, UK",1393891200,1393891200,,,text/html,en,,Barrow Primary School,,
Bashall Eaves Village Hall,Bashall Eaves Village Hall,"Bashall Eaves Village Hall 
Clitheroe Road 
Bashall Eaves 
Clitheroe 
Lancashire 
BB7 3DA",Bashall Eaves Village Hall acts as Polling Station in elections for Bashall Eaves.  Disabled access to the front of the premises.,"53.885219881269244,-2.4636197090148926",,,,controlcentre,,Ribble Valley Borough Council,"Copyright (C) 2009 Ribble Valley Borough Council, Council Offices, Church Walk, CLITHEROE, Lancashire BB7 2RA",,V1.0 Public Consumption,"Ribble Valley, Lancashire, UK",1393891200,1393891200,,,text/html,en,,Bashall Eaves Village Hall,,
Bolton-by-Bowland Village Hall,Bolton-by-Bowland Village Hall,"Bolton-by-Bowland Village Hall 
Main Street 
Bolton-by-Bowland 
Clitheroe 
Lancashire 
BB7 4NS","Bolton-by-Bowland Village Hall acts as Polling Station in elections for Bolton-by-Bowland. There are several steps to the front of the premises, disabled access to the rear.","53.93969401538947,-2.329573631286621",,,,controlcentre,,Ribble Valley Borough Council,"Copyright (C) 2009 Ribble Valley Borough Council, Council Offices, Church Walk, CLITHEROE, Lancashire BB7 2RA",,V1.0 Public Consumption,"Ribble Valley, Lancashire, UK",1393891200,1393891200,,,text/html,en,,Bolton-by-Bowland Village Hall,,
Brookside Primary School,Brookside Primary School,"Brookside Primary School 
Bright Street 
Clitheroe 
Lancashire 
BB7 1NW","Brookside Primary School acts as Polling Station in elections for Salthill Ward of 
Clitheroe. Disabled access to the side of the school.","53.8723303425341,-2.383089065551758",,,,controlcentre,,Ribble Valley Borough Council,"Copyright (C) 2009 Ribble Valley Borough Council, Council Offices, Church Walk, CLITHEROE, Lancashire BB7 2RA",,V1.0 Public Consumption,"Ribble Valley, Lancashire, UK",1393891200,1393891200,,,text/html,en,,Brookside Primary School,,
Chatburn Methodist Chapel,Chatburn Methodist Chapel,"Chatburn Methodist Chapel 
Pendle Avenue Off Downham Road 
Chatburn 
Nr Clitheroe 
Lancashire 
BB7 4AU","Chatburn Methodist Chapel acts as Polling Station for Chatburn. Disabled access to 
the front of the premises.","53.89245980730224,-2.3506879806518555",,,,controlcentre,,Ribble Valley Borough Council,"Copyright (C) 2009 Ribble Valley Borough Council, Council Offices, Church Walk, CLITHEROE, Lancashire BB7 2RA",,V1.0 Public Consumption,"Ribble Valley, Lancashire, UK",1393891200,1393891200,,,text/html,en,,Chatburn Methodist Chapel,,
Chipping and District Memorial Hall,Chipping and District Memorial Hall,"Chipping and District Memorial Hall 
Garstang Road 
Chipping 
Preston 
Lancashire 
PR3 2QH","Chipping and District Memorial Hall acts as Polling Station in elections for Bowland, Leagram and Chipping. Disabled access to the front of the premises","53.88380336479314,-2.5782036781311035",,,,controlcentre,,Ribble Valley Borough Council,"Copyright (C) 2009 Ribble Valley Borough Council, Council Offices, Church Walk, CLITHEROE, Lancashire BB7 2RA",,V1.0 Public Consumption,"Ribble Valley, Lancashire, UK",1393891200,1393891200,,,text/html,en,,Chipping and District Memorial Hall,,
Downham Village Hall,Downham Village Hall,"Downham Village Hall 
Pendle Road 
Downham 
Nr Clitheroe 
Lancashire 
BB7 2BR","Downham Village Hall acts as Polling Station for Downham. Disabled access to the 
front of the premises.","53.89177064564373,-2.3256897926330566",,,,controlcentre,,Ribble Valley Borough Council,"Copyright (C) 2009 Ribble Valley Borough Council, Council Offices, Church Walk, CLITHEROE, Lancashire BB7 2RA",,V1.0 Public Consumption,"Ribble Valley, Lancashire, UK",1393891200,1393891200,,,text/html,en,,Downham Village Hall,,
Dunsop Bridge Village Hall,Dunsop Bridge Village Hall,"Dunsop Bridge Village Hall 
Trough Road 
Dunsop Bridge 
Clitheroe 
Lancashire 
BB7 3BG","Dunsop Bridge Village Hall acts as Polling Station for Dunsop Bridge. Disabled 
access to the front of the premises.","53.94537747377158,-2.523379325866699",,,,controlcentre,,Ribble Valley Borough Council,"Copyright (C) 2009 Ribble Valley Borough Council, Council Offices, Church Walk, CLITHEROE, Lancashire BB7 2RA",,V1.0 Public Consumption,"Ribble Valley, Lancashire, UK",1393891200,1393891200,,,text/html,en,,Dunsop Bridge Village Hall,,
