name,description,latitude,longitude,address,polling district,unused,unused,unused,unused
The Baxter Hall,,52.57154629,-1.413660426,"High Street
Stoke Golding
Nuneaton
Warwickshire 
CV13 6HE",AAA,,,,
Higham on the Hill Methodist Church Hall,,52.55557564,-1.438771149,"Main Street
Higham on the Hill
Nuneaton
Warwickshire
CV13 6AJ",AAB,,,,
Dadlington Village Hall,,52.57859061,-1.405656365,"The Green
Dadlington
Nuneaton
Warwickshire
CV13 6JB",AAC,,,,
Dadlington Village Hall,,52.57859061,-1.405656365,"The Green
Dadlington
Nuneaton
Warwickshire
CV13 6JB",AAD,,,,
Sutton Cheney Village Hall,,52.60082885,-1.383901728,"Main Street
Sutton Cheney
Nuneaton
Warwickshire
CV13 0AG",AAE,,,,
Sibson Village Hall,,52.60439864,-1.477587959,"Sheepy Road
Sibson
Nuneaton
Warwickshire
CV13 6LE",AAF,,,,
Sibson Village Hall,,52.60439864,-1.477587959,"Sheepy Road
Sibson
Nuneaton
Warwickshire
CV13 6LE",AAG,,,,
Sibson Village Hall,,52.60439864,-1.477587959,"Sheepy Road
Sibson
Nuneaton
Warwickshire
CV13 6LE",AAH,,,,
St Francis Community Centre,,52.55200741,-1.376075711,"Tudor Road
Hinckley
Leicestershire
LE10 0EQ",ABA,,,,
The Mary Forryan Centre &ndash; The Leo Kane Room &ndash; St Peters Roman Catholic Church,,52.54345488,-1.36538827,"Leicester Road
Hinckley
Leicestershire
LE10 1LW ",ABB,,,,
The Mary Forryan Centre &ndash; The Leo Kane Room &ndash; St Peters Roman Catholic Church,,52.54345488,-1.36538827,"Leicester Road
Hinckley
Leicestershire
LE10 1LW ",ABC,,,,
St Francis Community Centre,,52.55200741,-1.376075711,"Tudor Road
Hinckley
Leicestershire
LE10 0EQ",ACA,,,,
St Francis Community Centre,,52.55200741,-1.376075711,"Tudor Road
Hinckley
Leicestershire
LE10 0EQ",ACB,,,,
Redmoor High School &ndash; The Gym,,52.55159945,-1.385741817,"Wykin Road
Hinckley
Leicestershire
LE10 0EP",ACC,,,,
Barwell Scout Hut,,52.57385371,-1.3380344,Byron Street,BAA,,,,
Barwell Scout Hut,,52.57385371,-1.3380344,Byron Street,BAB01,,,,
Barwell Indoor Bowling Club,,52.5715574,-1.343808794,"Kirkby Road
Barwell
Leicestershire
LE9 8FQ",BAB02,,,,
Barwell Village Hall,,52.56587437,-1.348467166,"High Street
Barwell
Leicestershire
LE9 8DR",BAC,,,,
Burbage Methodist Church,,52.52743689,-1.350937631,"Windsor Street
Burbage
Hinckley
Leicestershire
LE10 2EE",CAA,,,,
Burbage Millennium Hall,,52.52547441,-1.352101528,"Britannia Road
Burbage
Hinckley
Leicestershire
LE10 2HF",CAB,,,,
Sketchley Grange Hotel &ndash; Bosworth Suite,,52.52422947,-1.376410415,"Sketchley Lane
Burbage
Hinckley
Leicestershire
LE10 3HU",CAC,,,,
Pentecostal Church,,52.53053449,-1.361771219,"Tilton Road
Burbage
Hinckley
Leicestershir
LE10 2SE",CAD,,,,
Higham Way Baptist Church Hall,,52.53351296,-1.36227351,"Higham Way
Burbage
Hinckley
Leicestershire
LE10 2PX",CAE,,,,
Baptist Chapel School Room,,52.53931848,-1.37026936,"Mount Road
Hinckley
Leicestershire
LE10 1AD",DAA,,,,
Baptist Chapel School Room,,52.53931848,-1.37026936,"Mount Road
Hinckley
Leicestershire
LE10 1AD",DAB,,,,
Trinity Centre &ndash; Holy Trinity Church,,52.54087623,-1.377531095,"Trinity Vicarage Road
Hinckley
Leicestershire
LE10 0BX",DAC,,,,
Trinity Centre &ndash; Holy Trinity Church,,52.54087623,-1.377531095,"Trinity Vicarage Road
Hinckley
Leicestershire
LE10 0BX",DAD,,,,
The Westfield Community Centre,,52.5363408,-1.383566343,"Rosemary Way
Hinckley
Leicestershire
LE10 0LN",EAA,,,,
Hope Community Church,,52.54398642,-1.387794572,"Deveron Way
Hinckley
Leicestershire
LE10 0XD",EAB,,,,
St John&#039;s Church Centre,,52.53598867,-1.397238352,"351 Coventry Road
Hinckley
Leicestershire
LE10 0NF",EAC,,,,
St John&#039;s Church Centre,,52.53598867,-1.397238352,"351 Coventry Road
Hinckley
Leicestershire
LE10 0NF",EAD,,,,
Earl Shilton Baptist Church,,52.57917515,-1.304955629,"Mill Lane
Earl Shilton
Leicestershire
LE9 7AW",FAA,,,,
St Simons &amp; St Judes Church Hall,,52.57834775,-1.309514059,"High Street
Earl Shilton
Leicestershire
LE9 7DH",FAB,,,,
Earl Shilton Methodist Church,,52.57539675,-1.316879702,"Wood Street
Earl Shilton
Leicestershire
LE9 7ND",FAC,,,,
Heathfield Academy,,52.57250912,-1.330735856,"Belle Vue Road
Earl Shilton
Leicestershire
LE9 7BA",FAD,,,,
Groby Village Hall &ndash; Main Hall,,52.66278379,-1.223947855,"Leicester Road
Groby,
Leicestershire
LE6 0DJ",GAA,,,,
Groby Village Hall &ndash; Back Hall,,52.66278379,-1.223947855,"Leicester Road
Groby,
Leicestershire
LE6 0DJ",GAB,,,,
