Description,mLocation_Name,mLocation_Address1,mLocation_Address2,mLocation_Address3,mLocation_Address4,mLocation_PostCode,,Polling Station
Polling Place,Oadby Community Centre,Sandhurst Street,Oadby,Leicestershire,,LE2 5AR,,201
Polling Place,United Reformed Church Hall,Rosemead Drive,Oadby,Leicester,,LE2 5SF,,202
Polling Place,Immaculate Conception Church Hall,New Street,Oadby,Leicester,,LE2 4LJ,,203
Polling Place,John Foster Hall,Manor Road,Facilties Building - 1ST Floor,Oadby,Leicester,LE2 2LG,,204
Polling Place,John Foster Hall,Manor Road,Facilties Building - 1ST Floor,Oadby,Leicester,LE2 2LG,,205
Polling Place,The Barnabas Centre,St. Pauls Close,Rear of St. Paul`s Church,Oadby,Leicester,LE2 4LZ,,206
Polling Place,The Barnabas Centre,St. Pauls Close,Rear of St. Paul`s Church,Oadby,Leicester,LE2 4LZ,,207
Polling Place,Woodland Grange C.P. School,Beaufort Way,Oadby,Leicester,,LE2 4TY,,208
Polling Place,Woodland Grange C.P. School,Beaufort Way,Oadby,Leicester,,LE2 4TY,,209
Polling Place,Coombe Park Pavilion,Coombe Rise,Oadby,Leicester,,LE2 5TW,,210
Polling Place,Coombe Park Pavilion,Coombe Rise,Oadby,Leicester,,LE2 5TW,,211
Polling Place,Freer Community Centre,242A Leicester Road,Wigston,Leicestershire,,LE18 1HQ,,212
Polling Place,Freer Community Centre,242A Leicester Road,Wigston,Leicestershire,,LE18 1HQ,,214
Polling Place,Glenmere C.P. School,Estoril Avenue,Wigston,Leics,,LE18 3RD,,213
Polling Place,Meadow C.P. School,Meadow Way,Wigston,Leics,,LE18 3QZ,,215
Polling Place,Girl Guide Clubroom,Welford Road,Wigston,Leics,,LE18 3SP,,216
Polling Place,Fairfield C.P. School,Chester Building,Cheshire Drive,Wigston,Leicestershire,LE18 4WA,,223
Polling Place,The Elms and Ex Services Social Club,Bushloe End,Wigston,Leicestershire,,LE18 2BA,,218
Polling Place,Central Avenue Christian Church Hall,Central Avenue,Wigston,Leics,,LE18 2AA,,219
Polling Place,Bethel Evangelical Free Church Hall,Burleigh Avenue,Wigston,Leics,,LE18 1FH,,220
Polling Place,Blaby Road Park Pavilion,Blaby Road,South Wigston,Leics,,LE18 4LB,,222
Polling Place,Pavilion,Horswewell Lane,Wigston,Leics,,LE18 2HR,,217
Polling Place,Basset Centre,Bassett Street,Wigston,Leics,,LE18 4PE,,221
