Address,Postcode,Easting,Northin
Thornton-le-Beans Village Hall School Lane Thornton-le-Beans Northallerton DL6 3SN,DL6 3SN,439587,490564
South Otterington Village Institute South Otterington Northallerton North Yorkshire DL7 9HW,DL7 9HG ,437234,487303
Folkton and Flixton - Village Hall Filey Road Flixton Scarborough North Yorkshire YO11 3UF,YO11 3UF,504759,479517
Ganton Village Hall Ganton Scarborough North Yorkshire YO12 4NS,YO12 4NS,498810,477487
Ebberston Village Hall Ebberston Scarborough North Yorkshire YO13 9NR,YO13 9NR,489841,482617
Muston Village Hall Carr Lane Muston Filey North Yorkshire YO14 0EN,YO14 0EN,510010,479799
The Community Centre Stonegate Hunmanby Filey North Yorkshire YO14 0NS,YO14 0NS,509738,477550
The Concert Hall The Evron Centre John Street Filey North Yorkshire YO14 9DW,YO14 9DW,511831,480574
Valentino's Ristorante Moor Road Hunmanby Gap Filey North Yorkshire YO14 9QL,YO14 9QL,511866,477006
Reighton - Village Hall St. Helen's Lane Reighton Filey North YorkshireYO14 9SB,YO14 9SB,512880,475515
Barton-le-Street Village Hall Barton-le-Stree tMalton North Yorkshire YO17 6PL,YO17 6PL,472048,474234
Swinton Reading Rooms Swinton Malton North Yorkshire YO17 6SQ,YO17 6SL,475933,473116
Amotherby Parish Hall Amotherby Malton North YorkshireYO17 6TG,YO17 6TG,474946,473236
Great Habton Village Hall Great Habton Malton North Yorkshire YO17 6TU,YO17 6TU,475886,476264
Marishes - Bellafax Grange Marishes Malton YO17 6UG,YO17 6UG,480469,478620
Kirby Misperton Village HallKirby Misperton Malton North Yorkshire YO17 6XN,YO17 6XN,477927,479101
Malton Rainbow Lane Community Centre Rainbow Lane Malton North Yorkshire YO17 7BU,YO17 7BU,478981,472610
Old Malton Memorial Hall Old Malton Malton North Yorkshire YO17 7HD,YO17 7HD,479942,472796
Malton Baptist Church Community Hall Wells Lane Malton North Yorkshire YO17 7NX,YO17 7NX,478737,471586
The Middleton Arms North Grimston Malton YO17 8AX,YO17 8AX,484430,467656
Kirby Grindalythe Village Hall Kirby Grindalythe Malton North Yorkshire YO17 8DB,YO17 8DB,490398,467432
Scagglethorpe Village Hall Scagglethorpe Malton North Yorkshire YO17 8DT,YO17 8DT,483507,472499
Weaverthorpe Village Hall Weaverthorpe Malton North Yorkshire YO17 8EX,YO17 8EX,495926,470621
Visitor Centre Wolds Way Lavender Sandy lane Wintringham YO17 8HW,YO17 8HW,487427,474437
Rillington Village Hall Scarborough Road Rillington Malton North Yorkshire YO17 8LH,YO17 8LH,485351,474350
Scampston Village Hall Scampston Malton North Yorkshire YO17 8NG,YO17 8NG,486030,475469
Settrington Village Hall Settrington Malton North Yorkshire YO17 8NR,YO17 8NR,483326,470693
Sherburn Village Hall St Hilda's Street Sherburn Malton North Yorkshire YO17 8PH,YO17 8PH,495909,477103
West Heslerton Village Hall West Heslerton Malton North Yorkshire YO17 8RA,YO17 8RA,491109,475918
The Providence Inn Yedingham YO17 8SL,YO17 8SL,489268,479561
The Community Hall Luttons CP School West Lutton Malton North Yorkshire YO17 8TF,YO17 8TF,493333,469546
Norton St. Peter's Church House Langton Road Norton Malton North Yorkshire YO17 9AE,YO17 9AE,479422,470991
Norton Trinity Methodist Church Rooms Commercial Street Norton Malton North Yorkshire YO17 9HY,YO17 9HY,479548,471451
Burythorpe Church Hall Burythorpe Malton North Yorkshire YO17 9LD,YO17 9LD,479160,464933
Menethorpe Hall Menethorpe YO17 9QX,YO17 9QX,476993,467943
Acklam Village Hall Acklam Malton North Yorkshire YO17 9RG,YO17 9RG,478368,461693
Leavening Methodist Hall Main Street Leavening Malton North Yorkshire YO17 9SA,YO17 9SA,478368,461693
Thixendale Village Hall Thixendale Malton North Yorkshire YO17 9TG,YO17 9TG,484180,461100
Pickering Orchard Close Community Centre Orchard Close Eastgate Pickering North Yorkshire YO18 7DZ,YO18 7DZ,480361,483568
Allerston Village Hall Allerston Pickering North Yorkshire YO18 7PG,YO18 7PG,487780,482892
Lockton Village Hall Lockton Pickering North Yorkshire YO18 7PZ,YO18 7PZ,484483,489906
