OBJECTID_1,NAME,LDC_AREA,WESTMINSTER_BOUNDARY,Street Name,Postcode,Parish,Ward,Ward 2,Polling District,Polling District 2,Polling District 3,Map East,Map North
65,Regimental Museum Whittington Barracks,Yes,Lichfield,Tamworth Road,WS14 9PY,WHITTINGTON AND FISHERWICK,WHITTINGTON AND STREETHAY,BOURNE VALE,YA,VA,,415127,306892
66,Whittington Village Hall,Yes,Lichfield,Langton Crescent,WS14 9LR,WHITTINGTON AND FISHERWICK,WHITTINGTON AND STREETHAY,,YB,YC,,416181,308495
67,Admaston Village Hall,No,Lichfield,School Lane,WS15 3NH,BLITHFIELD,BAGOTS,,EAK,,,0,0
68,Abbots Bromley Village Hall,No,Lichfield,Bagot Street,WS15 3DB,ABBOTS BROMLEY,BAGOTS,,EAJ,,,0,0
69,All Saints Church of England Primary School,Yes,Lichfield,Church Road,DE13 7EF,ALREWAS,ALREWAS AND FRADLEY,,EBK,,,417138,314862
70,Barton Under Needwood Village Hall,No,Lichfield,Crowberry Lane,DE13 8AF,BARTON UNDER NEEDWOOD,NEEDWOOD,,EBG,EBL,,0,0
71,Tatenhill Village Hall,No,Lichfield,Main Street,DE13 9SD,TATENHILL,NEEDWOOD,,EBI,EBJ,,0,0
72,Kingstone Village Hall,No,Lichfield,Blythe Bank,ST14 8QW,KINGSTONE,BAGOTS,,EAL,,,0,0
73,Mobile Polling Station Meynell Ingram Arms,No,Lichfield,Abbots Bromley Road,DE13 8RB,HOAR CROSS,YOXALL,,ECJ,ECK,,0,0
74,Yoxall Parish Hall,No,Lichfield,King Street,DE13 8NF,YOXALL,YOXALL,,ECL,,,0,0
75,Springhill Acadmey,Yes,Lichfield,Mossbank Avenue,WS7 4UN,BURNTWOOD,SUMMERFIELD AND ALL SAINTS,,CS1,,,405505,308826
76,Burntwood Youth Centre,Yes,Lichfield,Cherry Close,WS7 4RJ,BURNTWOOD,CHASETOWN,,CL,,,404763,308982
77,Stonnall Youth and Community Centre,Yes,Tamworth,Main Street,WS9 9EE,SHENSTONE,LITTLE ASTON AND STONNALL,,UD,,,407353,303898
78,Dunstall Church Halll,No,Lichfield,Dunstall,DE13 8BE,DUNSTALL,NEEDWOOD,,EBH,,,0,0
79,Mobile Polling Station Car Park The Longwood Public House,Yes,Tamworth,Deer Park Road,B78 3QP,FAZELEY,FAZELEY,,KA,,,0,0
1,Mobile Polling Station at Burton Old Road,Yes,Lichfield,Burton Old Road,WS13 8LD,FRADLEY AND STREETHAY,WHITTINGTON AND STREETHAY,,AD,,,413976,310173
2,Mobile Polling Station The Highwayman Toby Carvery Public House,Yes,Tamworth,Birmingham Road,WS14 0PA,SHENSTONE,BOUNRE VALE,,UC,,,411094,301544
