pollingdistrict,thoroughfare_name,northing,pai_update_status,pollingplace,easting,register,copyright,mi_prinx,datatablename,datasource,mi_style
Onslow (University)                               ,"University of Surrey, Guildford, GU2 7XH          ",150219,Updated to OS PAI standard              ,Foyer of Lecture Theatres                                                                           ,498562,F4                       ,©Guildford Borough Council 2013         ,15,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
Pirbright                                         ,"The Green, Pirbright                              ",155980,Updated to OS PAI standard              ,Lord Pirbrights Hall                                                                                ,494578,V1                       ,©Guildford Borough Council 2013         ,33,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
Merrow (East)                                     ,"Kingfisher Drive, Guildford                       ",151183,Updated to OS PAI standard              ,Merrow C of E Infant School                                                                         ,502678,E2                       ,©Guildford Borough Council 2013         ,27,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
Effingham (South)                                 ,"Browns Lane, Effingham, KT24 5ND                  ",153518,Updated to OS PAI standard              ,King George V Hall (please note that this Polling Place is located outside its Polling District)    ,511995,N2                       ,©Guildford Borough Council 2013         ,28,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
Ash (West)                                        ,"Shawfield Road, Ash, GU12 6QU                     ",150504,Updated to OS PAI standard              ,"Benson Room, Japonica Court                                                                         ",488803,R1                       ,©Guildford Borough Council 2013         ,77,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
West Horsley (North)                              ,"Northcote Crescent, West Horsley                  ",154794,Updated to OS PAI standard              ,"The Green Room, The Raleigh School                                                                  ",508422,M6                       ,©Guildford Borough Council 2013         ,36,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
East Horsley (Central)                            ,"Parade Court, East Horsley                        ",154214,Updated to OS PAI standard              ,Horsley Library                                                                                     ,509239,M4                       ,©Guildford Borough Council 2013         ,38,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
East Horsley (South)                              ,"Ockham Road South, East Horsley                   ",152787,Updated to OS PAI standard              ,St.Martin's Church Hall                                                                             ,509551,M3                       ,©Guildford Borough Council 2013         ,39,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
St.Martha                                         ,"New Road, Chilworth                               ",147049,Updated to OS PAI standard              ,Chilworth Village Hall                                                                              ,502250,Q1                       ,©Guildford Borough Council 2013         ,44,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
Shackleford                                       ,"Shackleford Road, Norney, Godalming, GU8 6AE      ",144793,Updated to OS PAI standard              ,Shackleford Village Hall                                                                            ,494112,G4                       ,©Guildford Borough Council 2013         ,57,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
Broadacres                                        ,"Aldershot Road, Guildford                         ",151172,Updated to OS PAI standard              ,St Mary's Church Hall                                                                               ,497670,L1                       ,©Guildford Borough Council 2013         ,58,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
Christchurch (South)                              ,"Boxgrove Lane, Guildford                          ",150543,Updated to OS PAI standard              ,Boxgrove County Primary School                                                                      ,501521,B2                       ,©Guildford Borough Council 2013         ,24,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
Compton                                           ,"The Street, Compton                               ",146874,Updated to OS PAI standard              ,Compton Village Hall                                                                                ,495693,H1                       ,©Guildford Borough Council 2013         ,29,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
Wanborough                                        ,"Wanborough Hill, Wanborough                       ",148896,Updated to OS PAI standard              ,The Granary                                                                                         ,493394,G5                       ,©Guildford Borough Council 2013         ,49,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
St.Nicolas (North)                                ,"Guildford Park Road, Guildford                    ",149678,Updated to OS PAI standard              ,Guildford Park Church                                                                               ,498922,C2                       ,©Guildford Borough Council 2013         ,16,Polling Places           ,GBC Electoral 2015                      ,"Symbol (41,16711935,14,""MapInfo Cartographic"",257,0)                                                                                                                                                                                                          "
