STATNUM,STATNAME,MSERCODE,PARENTVENU,VENUE,STREET,TOWN,POSTCODE,ADDRESS,UPRN,XCOORD,YCOORD
45,[45]  Cuckfield,IA, ,Queens Hall,High Street,Cuckfield,RH17 5EL,"Queens Hall, High Street, Cuckfield, RH17 5EL",100062616752,530457,124750
46,[46]  Ansty,IB,YES,Ansty Sports & Social Club,Deaks Lane,Ansty,RH17 5AS,"Ansty Sports & Social Club, Deaks Lane, Ansty, RH17 5AS",10090015935,529103,123336
47,[47]  Brook Street and Borde Hill,IC, ,Queens Hall,High Street,Cuckfield,RH17 5EL,"Queens Hall, High Street, Cuckfield, RH17 5EL",100062616752,530457,124750
48,[48]  Staplefield,ID,YES,Staplefield Village Hall,Cuckfield Road,Staplefield,RH17 6ET,"Staplefield Village Hall, Cuckfield Road, Staplefield, RH17 6ET",10070638344,527755,127958
49,[49]  Sandrocks,IE, ,Ashenground Community Centre,Southdown Close,Haywards Heath,RH16 4JR,"Ashenground Community Centre, Southdown Close, Haywards Heath, RH16 4JR",10014103924,532890,122801
50,[50]  Albourne,JA, ,Albourne Village Hall,The Street,Albourne,BN6 9DJ,"Albourne Village Hall, The Street, Albourne, BN6 9DJ",100062616379,526457,116757
51,[51]  Bolney,JB,YES,Bolney Village Chapel,Top Street,Bolney,RH17 5PP,"Bolney Village Chapel, Top Street, Bolney, RH17 5PP",10070637626,526320,123525
52,[52]  Warninglid and Slaugham,JC,YES,Seaforth Hall,Cuckfield Lane,Warninglid,RH17 5UB,"Seaforth Hall, Cuckfield Lane, Warninglid, RH17 5UB",100062617408,525055,126135
53,[53]  Twineham,JD,YES,Albourne Village Hall,The Street,Albourne,BN6 9DJ,"Albourne Village Hall, The Street, Albourne, BN6 9DJ",100062616379,526457,116757
54,[54]  Burgess Hill St. Andrews,KA,YES,St Andrews Church (Rider Hall),Cants Lane,Burgess Hill,RH15 0LG,"St Andrews Church (Rider Hall), Cants Lane, Burgess Hill, RH15 0LG",10070631662,532046,119572
55,[55]  Burgess Hill St. Andrews,KA, ,St Andrews Church (Rider Hall),Cants Lane,Burgess Hill,RH15 0LG,"St Andrews Church (Rider Hall), Cants Lane, Burgess Hill, RH15 0LG",10070631662,532046,119572
56,[56]  Burgess Hill Franklands,KB,YES,United Reformed Church Hall,Junction Road,Burgess Hill,RH15 0JS,"United Reformed Church Hall, Junction Road, Burgess Hill, RH15 0JS",100062481431,531809,118840
57,[57]  Burgess Hill Franklands,KB, ,United Reformed Church Hall,Junction Road,Burgess Hill,RH15 0JS,"United Reformed Church Hall, Junction Road, Burgess Hill, RH15 0JS",100062481431,531809,118840
58,[58]  Burgess Hill Leylands,KC,YES,Marle Place,Leylands Road,Burgess Hill,RH15 8HZ,"Marle Place, Leylands Road, Burgess Hill, RH15 8HZ",100062616569,531188,119638
59,[59]  Burgess Hill Leylands,KC, ,Marle Place,Leylands Road,Burgess Hill,RH15 8HZ,"Marle Place, Leylands Road, Burgess Hill, RH15 8HZ",100062616569,531188,119638
60,[60]  Burgess Hill Meeds,KDA,YES,St Wilfrids Parish Hall,Station Road,Burgess Hill,RH15 9EN,"St Wilfrids Parish Hall, Station Road, Burgess Hill, RH15 9EN",10070632305,531107,118830
61,[61]  Burgess Hill Meeds,KDA,YES,Cyprus Hall,Cyprus Road,Burgess Hill,RH15 8DX,"Cyprus Hall, Cyprus Road, Burgess Hill, RH15 8DX",100062483265,531491,119124
