polling district,Name,Address,Latitude,Logitude,
,,,,,
CU,Abbey Park Middle School,"Abbey Road, Pershore, Worcs, WR10ÿ1DF",52.11,#VALUE!,"52.11, -2.0807"
NA,Abbots Morton,"Village Hall, Abbot Morton Road, Abbots Morton, WR7ÿ4NA",52.1944,-1.9583,"52.1944, -1.9583"
AA,Ashton Under Hill,"Social Centre, The Green Room, Elmley Road, Ashton Under Hill, WR11ÿ7SW",52.0428,-2.0049,"52.0428, -2.0049"
CZA,Aston Somerville Village Hall,"School Road, Aston Somerville, Broadway, Worcs, WR12ÿ7JD",52.043,-1.9353,"52.043, -1.9353"
"ABA, ABC",Badsey Remembrance Hall,"Bretforton Road, Badsey, Evesham, Worcs, WR11ÿ7XG",52.0908,-1.8979,"52.0908, -1.8979"
"ACA, ACB",Beckford Village Hall,"Beckford, Tewkesbury, Glos, GL20ÿ7AA",52.0183,-2.0378,"52.0183, -2.0378"
BA,Bengeworth C E First School,"Burford Road, Evesham, Worcs, WR11ÿ3HB",52.0931,-1.9373,"52.0931, -1.9373"
AF,Birlingham Village Hall,"The Avenue, Birlingham, Pershore, Worcs, WR10ÿ3AB",52.0864,-2.0996,"52.0864, -2.0996"
NBB,Bishampton Village Hall,"Broad Lane, Bishampton, Worcs, WR10ÿ2LY",52.1585,-2.0103,"52.1585, -2.0103"
AH,Bredon Village Hall,"Main Road, Bredon, Glos, GL20ÿ7QN",52.0299,-2.1168,"52.0299, -2.1168"
AI,Bredons Norton Village Hall,"Manor Lane, Bredons Norton, Glos, GL20ÿ7HB",52.0039,-2.1416,"52.0039, -2.1416"
"ABB, AJ",Bretforton Village Hall,"Main Street, Bretforton, Worcs, WR11ÿ7JH",52.0941,-1.869,"52.0941, -1.869"
AL,Broadway Library,"Leamington Road, Broadway, Worcs, WR12ÿ7DZ",52.0377,-1.8563,"52.0377, -1.8563"
AP,Charlton Old School,"Ryden Lanel, Charlton, Worcs, WR10ÿ3LQ",52.1108,-1.9851,"52.1108, -1.9851"
DBK,Chawson Barns Community Hall,"New Chawson Lane, Off Ombersley Way, Droitwich Spa, WR9ÿ0AQ",52.2639,-2.1646,"52.2639, -2.1646"
CVA,Cherry Orchard First School,"Cherry Orchard, Pershore, Worcs, WR10ÿ1ET",52.1165,-2.075,"52.1165, -2.075"
AQ,Childswickham Village Hall,"Atkinson Street, Childswickham, Worcs, WR12ÿ7HF",52.0465,-1.8907,"52.0465, -1.8907"
"BFA, BFD",Church House,"Broadway Road, Evesham, Worcs, WR11ÿ1BG",52.0782,-1.9198,"52.0782, -1.9198"
NC,Church Lench Village Hall,"Main Street, Church Lench, Evesham, Worcs, WR11ÿ4UQ",52.1596,-1.9647,"52.1596, -1.9647"
,Claines CE Primary School,"School Bank, Claines, WR3ÿ7RW",52.2298,-2.2163,"52.2298, -2.2163"
ARB,Cleeve Prior Village Hall,"Main Street, Cleeve Prior, Evesham, Worcs, WR11ÿ8LE",52.1423,-1.8751,"52.1423, -1.8751"
ND,Cookhill Village Hall,"Evesham Road, Cookhill, B49ÿ5JR",52.2318,-1.9248,"52.2318, -1.9248"
AU,Cropthorne & Charlton Village Hall,"Main Street, Cropthorne, Pershore, Worcs, WR10ÿ3NH",52.1023,-2.0039,"52.1023, -2.0039"
RM,Crowle Parish Hall,"Church Road, Crowle, WR7ÿ4AZ",52.1932,-2.1135,"52.1932, -2.1135"
