ID,Ward,Polling_District_Code,Location,Easting,Northing
1,Cadishead,AA,Wesley Methodist Church Lords Street Cadishead Manchester M44 5EH,370840,392021
2,Cadishead,AB,Dale House The Meadows New Moss Road Cadishead M44 5AP,371028,392749
3,Cadishead,AC,St Teresas RC Primary School Clarendon Road (MacDonald Road Entrance) Cadishead Manchester M44 5ZA,371476,393528
4,Cadishead,AD,St Marys Primary School Buckingham Road Cadishead Manchester M44 5HG,370452,392441
5,Cadishead,AE,Temporary Building The Green Victory Road Cadishead Manchester M44 5FB,370339,391691
6,Cadishead,AF,Irlam and Cadishead Leisure Centre Liverpool Road Irlam Manchester M44 6BR,372059,394088
7,Irlam,BA,Irlam Community Centre Locklands Lane / Ferryhill Road Irlam Manchester M44 6RB,372315,394697
8,Irlam,BB,Moorfield Primary School (Acorn Centre) Cutnook Lane Irlam Manchester M44 6JX,372315,395353
9,Irlam,BC,Boundary Road Methodist Church Irlam Manchester M44 6HD,372965,395493
10,Irlam,BD,Irlam Community Centre Locklands Lane / Ferryhill Road Irlam Manchester M44 6RB,372315,394697
11,Winton,CA,Beech Street Centre Eccles Manchester M30 8GB,375917,398302
12,Winton,CB,Mary Magdalene Church Westbourne Road Eccles Manchester M30 8DE,375611,399450
13,Winton,CC,St Matthews RC Church Worsley Road Eccles Manchester M30 8BL,375678,399250
14,Winton,CD,Alder Brook Primary Partnership Centre Walnut Road (ex-Alder Park School) Eccles Manchester M30 8LE,375497,399935
15,Winton,CE,Barton Moss Primary School Trippier Road Eccles Manchester M30 7PT,374788,397965
16,Winton,CF,Peel Green House Liverpool Road Eccles Manchester M30 7LP,375379,397868
17,Winton,CG,Westwood Park Community Centre Grasmere Crescent Eccles Manchester M30 8DW,375643,399579
18,Winton,CH,Temporary Building Junction of Hiley Road/Brookhouse Avenue Eccles M30 7PX,375068,398134
19,Winton,CI,Barclays Community Centre Cook Street Eccles Manchester M30 8QG,376032,398587
20,Barton,DA,St Michaels Church Liverpool Road Eccles M30 7LP,375458,397866
21,Barton,DB,Godfrey Ermen Memorial School School Road Eccles Manchester M30 7BJ,376269,397903
22,Barton,DC,Lewis Street Primary School Eccles Manchester M30 0UP,376625,398380
23,Barton,DD,Eccles Gateway Centre 28 Barton Lane Eccles Manchester M30 0TU,377580,398477
24,Barton,DE,Barton Village Community Centre Enfield Close Eccles Manchester M30 0QD,376553,397929
25,Barton,DF,Temporary Building adjacent to 5 Proctor Way Eccles Manchester M30 7WF,374679,397377
26,Barton,DG,Christ Church Primary School Nelson Street Eccles Manchester M30 0GZ,376519,398533
27,Eccles,EA,Eccles Masonic Hall Half Edge Lane Eccles Manchester M30 9BA,377960,399157
28,Eccles,EB,Monton Methodist Church Park Road Eccles Manchester M30 9JG,376909,399679
29,Eccles,EC,The Deans Football Club Salisbury Road Eccles Manchester M30 9BG,378005,399860
30,Eccles,ED,Cornerstone Community Church (Mather Avenue Entrance) Eccles Manchester M30 0UG,377404,398790
31,Eccles,EE,Unitarian Church Hall Monton Green Eccles Manchester M30 8AP,376501,399637
32,Eccles,EF,Temporary Building Car Park John William Street Eccles Manchester M30 0BL,377772,398750
33,Swinton South,FA,St Marys RC School Milner Street Swinton Manchester M27 4AS,377980,401655
34,Swinton South,FB,St Mary's Church Park Street Swinton Manchester M27 4UR,378425,401270
35,Swinton South,FC,Carr and Hume Estate Agents Folly Lane Swinton Manchester M27 0DD,376889,400108
36,Swinton South,FD,Swinton Football Club Barton Road Swinton Manchester M27 5LJ,378333,401218
37,Swinton South,FE,Bethesda Church Hall Eccles Road / Worsley Road Swinton Manchester M27 5SW,377702,401152
38,Swinton South,FF,Temporary Building lay-by Campbell Road Swinton Manchester M27 5QG,377269,400939
39,Swinton South,FG,Humphrey Booth Resource Centre Worsley Road Swinton Manchester M27 5SN,377916,401192
40,Swinton South,FH,Unity House Chorley Road Swinton M27 5AW,377634,401548
41,Pendlebury,GA,Temporary Building adjacent to 4 Park Lane West Swinton Manchester M27 8TR,379558,401434
42,Pendlebury,GB,Agecroft Fire Station Bolton Road Pendlebury Swinton Manchester M27 8XS,379503,401005
43,Pendlebury,GC,St Augustines Primary School Bolton Road Swinton Manchester M27 8UX,378747,401678
44,Pendlebury,GD,Clifton Youth Centre The Green Swinton Manchester M27 8QL,378754,402603
45,Pendlebury,GE,St Marks Primary School (Nursery Unit) Queensway Swinton Manchester M27 8QE,378272,402736
46,Pendlebury,GF,Clifton Community Centre 6 Wynne Avenue Swinton Manchester M27 2EY,377928,403142
47,Pendlebury,GG,Clifton Neighbourhood Centre Manchester Road Swinton Manchester M27 6PP,377580,403540
48,Pendlebury,GH,Communal Room Laurence Lowry Court Lowry Drive Pendlebury M27 6DL,377976,402338
49,Swinton North,HA,Wardley Community Centre 30 Ash Drive Swinton Manchester M27 9RS,376406,402584
50,Swinton North,HB,Mossfield Sure Start Childrens Centre Mossfield Road Swinton Manchester M27 6EH,377587,402468
51,Swinton North,HC,Swinton and Pendlebury Leisure Centre Cromwell Road Swinton Manchester M27 9SZ,377495,402232
52,Swinton North,HD,Fletcher Hall Vicarage Road Swinton Manchester M27 0WA,377331,401771
53,Swinton North,HE,All Saints Church Charles Street Swinton Manchester M27 9UG,376832,402324
54,Swinton North,HF,St Charles Primary School Emlyn Street off Moorside Road Swinton Manchester M27 9PD,376743,401764
55,Swinton North,HG,Clifton Primary School Wroe Street Swinton Manchester M27 6PF,377730,403080
56,Worsley,IA,The Hollies Moorfield Close Worsley Manchester M28 1BN,376594,400920
57,Worsley,IB,Worsley Court House Barton Road Worsley Manchester M28 2PB,374771,400465
58,Worsley,IC,Holy Rood Church Hall Moorside Road Swinton Manchester M27 0HJ,376520,401271
59,Worsley,ID,Beesley Green Community Centre Greenleach Lane Worsley Manchester M28 2QW,374830,401585
60,Worsley,IE,Holy Rood Church Hall Moorside Road Swinton Manchester M27 0HJ,376520,401271
61,Worsley,IF,Worsley Road United Reformed Church Worsley Road Swinton Manchester M27 0AG,376751,400773
62,Worsley,IG,Temporary Building Lay By Worsley Brow Worsley M28 2WH,374506,400710
63,Walkden South,JA,Guild Hall Community Centre Guild Avenue Worsley Manchester M28 3AS,373693,402799
64,Walkden South,JB,Temporary Building Christ The King School Holly Avenue Walkden M28 3DW,374219,402883
65,Walkden South,JC,Temporary Building Rydal Crescent Worsley Manchester M28 7JD,374477,402303
66,Walkden South,JD,Temporary Building junction of Edge Fold Road / Broadway Worsley Manchester M28 7GE,373642,402105
67,Walkden South,JE,James Brindley Primary School Parr Fold Avenue Worsley Manchester M28 7HE,373291,402087
68,Walkden South,JF,Walkden Methodist Church Manchester Road East Walkden M38 9AN,373088,403295
69,Walkden South,JG,Temporary Building Mesne Lea Primary School Henniker Street Worsley Manchester M28 7FG,373953,402257
70,Walkden North,KA,Cleggs Lane Methodist Church Little Hulton Manchester M38 9UW,372327,404301
71,Walkden North,KB,Bridgewater Youth Club Bridgewater Street Little Hulton Manchester M38 9WD,372964,403743
72,Walkden North,KC,St Johns (Ellesmere) Community Centre Algernon Road Worsley Manchester M28 3RE,373465,403884
73,Walkden North,KD,Temporary Building Junction of Whittle Street/Sportside Avenue Walkden M28 3WY,374043,403382
74,Walkden North,KE,Temporary Building Junction of Whittle Street/Sportside Avenue Walkden M28 3WY,374043,403382
75,Little Hulton,LA,Wharton Primary School (Rothwell Crescent Entrance) Worsley M38 9XA,371137,404510
76,Little Hulton,LB,Streetgate Community Centre Streetgate Little Hulton M38 9UR,371973,404035
77,Little Hulton,LC,Bethany Family Worship Centre Kenyon Way Little Hulton Manchester M38 0EN,371517,403270
78,Little Hulton,LD,Little Hulton Library Longshaw Drive Little Hulton M28 0AZ,372180,403749
79,Little Hulton,LE,Temporary Building Armitage Social Club Madams Wood Road Worsley Manchester M28 0JU,372269,403208
80,Little Hulton,LF,Dukesgate Academy Earlesdon Crescent Little Hulton Manchester M38 9HF,372210,404420
81,Little Hulton,LG,Hilton Lane Primary School Madams Wood Road Worsley Manchester M28 0JY,372572,403194
82,Little Hulton,LH,Temporary Building Armitage Social Club Madams Wood Road Worsley Manchester M28 0JU,372269,403208
83,Boothstown and Ellenbrook,MA,Boothstown Community Centre Standfield Drive Worsley Manchester M28 1NB,372422,400781
84,Boothstown and Ellenbrook,MB,Boothstown Methodist Primary School Chapel Street Entrance Worsley Manchester M28 1DG,371963,400960
85,Boothstown and Ellenbrook,MC,The Boundary Stone Bridgewater Road Worsley Manchester M28 1AD,372565,401677
86,Boothstown and Ellenbrook,MD,Temporary Building Ellenbrook Primary School Longwall Avenue Worsley Manchester M28 7PS,373036,401563
87,Boothstown and Ellenbrook,ME,Bridgewater Park / Boothstown Junior Football Club Amberhill Way Worsley Manchester M28 1UP,371960,400140
88,Kersal,NA,Lower Kersal Primary School St Aidans Grove Salford M7 3TN,381659,400839
89,Kersal,NB,Lower Kersal Primary School St Aidans Grove Salford M7 3TN,381659,400839
90,Kersal,NC,St Pauls Primary School Nevile Road Salford M7 3PT,381875,401915
91,Kersal,ND,Brentnall Primary School Northumberland Street Salford M7 4RP,382831,401310
92,Kersal,NE,Temporary Building Japan Street Salford M7 4HP,383601,401462
93,Kersal,NF,Beis Yaakov Seminary 138 Leicester Road Salford M7 4GB,383475,401794
94,Broughton,OA,Riverview Primary School 1 Wheaters Street Salford M7 1QZ,382567,399691
95,Broughton,OB,St Clements Church Hall Ellis Street Salford M3 7DW,383161,399923
96,Broughton,OC,Community House 89 Heath Avenue Salford M7 1NY,382310,399560
97,Broughton,OD,Temporary Building St Johns Street Salford M7 2EA,382726,400925
98,Broughton,OE,St Jamess Church Parish Hall Great Cheetham Street East Salford M7 4UH,383354,400784
99,Broughton,OF,Marlborough Road Primary School Salford M7 4XU,383604,400866
100,Broughton,OG,Broughton Hub Rigby Street Salford M7 4BQ,382936,401012
101,Broughton,OH,St Boniface School (Nursery Unit) Yew Street Salford M7 2HL,382414,400672
102,Broughton,OI,St Jamess Church Parish Hall Great Cheetham Street East Salford M7 4UH,383377,400813
103,Broughton,OJ,St Boniface Parish Centre St Boniface Road Salford M7 2GE,382231,399956
104,Broughton,OK,Broughton Hub Rigby Street Salford M7 4BQ,382936,401012
105,Ordsall,PA,Salford Lads and Girls Club St Ignatius Walk Salford M5 3RX,381892,397826
106,Ordsall,PB,Islington Community Centre Canon Hussey Court Salford M3 5HZ,382707,398390
107,Ordsall,PC,St Clements Church Groves Avenue Salford M5 3QW,381779,397325
108,Ordsall,PD,Hawkshaw Court Howard Street Salford M5 4SD,381144,398053
109,Ordsall,PE,Helly Hansen Watersports Centre 15 The Quays M50 3SQ,380893,397156
110,Ordsall,PF,Sacred Trinity Church Chapel Street Salford M3 5DW,383486,398704
111,Langworthy,QA,Langworthy Cornerstone 451 Liverpool Street Salford M6 5QQ,380583,398588
112,Langworthy,QB,Fit City Clarendon Liverpool Street Salford M5 4AY,381215,398542
113,Langworthy,QC,Fit City Clarendon Liverpool Street Salford M5 4AY,381215,398542
114,Langworthy,QD,Willow Tree Primary School Greenland Street Salford M6 5TJ,380432,398792
115,Langworthy,QE,Holy Family RC Primary School 3 Lower Seedley Road Salford M6 5WX,380599,399141
116,Langworthy,QF,Pendleton Gateway Centre 1 Broadwalk Salford M6 5FX,381204,399108
117,Langworthy,QG,St Pauls Primary School Cross Lane Salford M5 4AL,381581,398465
118,Langworthy,QH,Pendleton Gateway Centre 1 Broadwalk Salford M6 5FX,381204,399108
119,Langworthy,QI,Affinity Sutton Centre Doveridge Gardens / Seedley Road Salford M6 5NQ,380833,399350
120,Langworthy,QJ,Community Room 15 Springbank Brentwood Salford M6 8RH,380181,399448
121,Langworthy,QK,Mount Chapel Church 32 Eccles Old Road Salford M6 7AF,380549,399564
122,Irwell Riverside,RA,Temporary Building Lay-By Seaford Road/Greyhound Drive Salford M6 6ER,381992,400123
123,Irwell Riverside,RB,St Sebastians Community Centre 1 Douglas Green Salford M6 6ES,381264,400139
124,Irwell Riverside,RC,St Sebastians Community Centre 1 Douglas Green Salford M6 6ES,381264,400139
125,Irwell Riverside,RD,St Thomass Church Ford Lane Salford M6 6PE,381140,399531
126,Irwell Riverside,RE,The Friars Primary School Cannon Street Salford M3 7EU,382940,399157
127,Irwell Riverside,RF,Youth Offending Service St Simon Street Salford M3 7ES,383067,399292
128,Irwell Riverside,RG,Brunswick House 62 Broad Street Salford M6 5BZ,381337,399409
129,Irwell Riverside,RH,The Beacon Centre London Street Salford M6 6QT,381666,399925
130,Irwell Riverside,RI,The Friars Primary School Cannon Street Salford M3 7EU,382940,399157
131,Irwell Riverside,RJ,The Beacon Centre London Street Salford M6 6QT,381666,399925
132,Irwell Riverside,RK,Summerville Sure Start Childrens Centre Summerville Road Salford M6 7HB,379929,400346
133,Claremont,SA,Pendleton 6th Form Centre Dronfield Road Salford M6 7FR,379951,399835
134,Claremont,SB,Masonic Hall Hospital Road Swinton Manchester M27 1EY,378998,401417
135,Claremont,SC,Lightoaks Junior School Lancaster Road (Brandon Road Entrance) Salford M6 8LU,378825,399934
136,Claremont,SD,The Height Library King Street Irlams oth Height Salford M6 7GY,379637,400363
137,Weaste and Seedley,TA,Temporary Building St Lukes Primary School Eccles New Road Salford M5 5NX,379969,398456
138,Weaste and Seedley,TB,Temporary Building St Lukes Primary School Eccles New Road Salford M5 5NX,379969,398456
139,Weaste and Seedley,TC,Temporary Building Canterbury Gardens Salford M5 5AJ,378638,398660
140,Weaste and Seedley,TD,Weaste & Seedley Social Club Weaste Lane Salford M5 5JL,379629,398963
141,Weaste and Seedley,TE,Chandos Sports and Social Club Chandos Grove (Dodd Street Entrance) Salford M5 5LJ,379930,398770
142,Weaste and Seedley,TF,SAYF 87-89 Cholmondeley Road Salford M7 8PU,378865,399697
143,Weaste and Seedley,TG,Elmwood Church 240 Eccles Old Road Salford M7 8AG,378687,399265
144,Weaste and Seedley,TH,Elmwood Church 240 Eccles Old Road Salford M7 8AG,378687,399265
