OBJECTID,Address,Post_Code,Community,Ward,Easting,Northing,UPRN,Poll_Dist
1007,"Showroom & Workstation, 15 Paternoster Road S1 2BX",S1 2BX,Central,Central,435671,386837,200003010638,GA
1008,Westways Primary School Mona Avenue S10 1NE,S10 1NE,South West,Crookes,433196,387722,100052080872,HA
1009,Springfield Primary School (Nursery Block) Bolton Street Entrance S10 2FA,S10 2FA,Central,Central,434619,386963,010090225355,GH
1010,Broomhill Methodist Church Fulwood Road Sheffield S10 3BD,S10 3BD,Central,Broomhill,433138,386750,100052081994,EF
1011,The Edge (High Tor 3) Endcliffe Student Village 34 Endcliffe Crescent S10 3ED,S10 3ED,South West,Fulwood,432849,386329,010013648622,NB
1012,St John's Ranmoor Parish Centre Ranmoor Park Road S10 3GX,S10 3GX,South West,Fulwood,431948,386283,010013160396,NG
1013,Christ Church Hall Canterbury Avenue S10 3RT,S10 3RT,South West,Fulwood,430521,385503,010013303365,NA
1014,Community Room 53 Westminster Cres S10 4EU,S10 4EU,South West,Fulwood,429753,386280,100052082966,ND
1015,St Lukes Church Centre Lounge Blackbrook Road S10 4LQ,S10 4LQ,South West,Fulwood,429148,386114,200002991201,NE
1016,"Westbourne Scout Hut, 23 Spooner Road, S10 5BL",S10 5BL,Central,Broomhill,433232,386901,100052188235,EG
1017,"St Gabriels Church Hall, Dobbin Hill, S11 7JB",S11 7JB,South West,Ecclesall,432536,385304,200003010902,LD
1018,Ecclesall Parish Halls Ringinglow Road S11 7PP,S11 7PP,South West,Ecclesall,432581,384598,010003573429,LA
1019,Bents Green Methodist Church (Music Room) Ringinglow Road S11 7PU,S11 7PU,South West,Ecclesall,431582,384317,010003573430,LC
1020,The Jubilee Centre Wilson Road S11 8RN,S11 8RN,Central,Broomhill,433435,385961,200002994758,EA
1021,Ecclesall Library Community Room 120 Ecclesall Road South Sheffield,S11 9PL,South West,Ecclesall,432528,384385,010013160136,LF
1022,"Banner Cross Methodist Church, 12 Ecclesall Road South, S11 9PE",S11 9PE,South West,Ecclesall,432800,384918,200002741262,LB
1023,Church Hall Townhead Road S17 3GA,S17 3GA,South West,Dore & Totley,430586,381170,100052087429,JC
1024,Dore & Totley Utd Ref Church Totley Brook Road S17 3QS,S17 3QS,South West,Dore & Totley,431648,380494,100052087427,JA
1025,Scout Hall Bradway Primary School Bradway Drive Sheffield S17 4PD,S17 4PD,South West,Dore & Totley,432718,380323,010013646773,JB
1026,Arbourthorne Social Centre The Tara Building East Bank Road Sheffield S2 2AL,S2 2AL,East,Arbourthorne,437515,384744,200003008202,AD
1027,Heeley Advice Centre 344 Gleadless Road Sheffield S2 3AJ,S2 3AJ,East,Arbourthorne,435880,384799,100052089336,AE
1028,Wharncliffe Side Comm Centre Brightholmlee Lane S35 0DB,S35 0DB,Northern,Stocksbridge & Upper Don,429637,394945,100052215229,YL
1029,Parish Centre Church Street Oughtibridge Sheffield S35 0FU,S35 0FU,Northern,Stocksbridge & Upper Don,430488,393213,100052215538,YE
1030,Zion Utd Reformed Church Langsett Road South Sheffield S35 0GY,S35 0GY,Northern,Stocksbridge & Upper Don,430731,393279,010013159637,YF
1031,Newgate Close Sheltered Scheme Newgate Close High Green Sheffield S35 4PE,S35 4PE,Northern,West Ecclesfield,434036,397163,100052216968,2E
1032,Smithymoor Community Centre Cross Lane Stocksbridge S36 1AY,S36 1AY,Northern,Stocksbridge & Upper Don,425585,398748,200003006055,YI
1033,Stocksbridge Library Manchester Road S36 1DH,S36 1DH,Northern,Stocksbridge & Upper Don,427019,398486,100051023368,YK
1034,Inman Pavilion Moorland Drive Stocksbridge S36 1EG,S36 1EG,Northern,Stocksbridge & Upper Don,426100,398349,100052095672,YC
1035,Stubbin Estate Community Centre Heath Road S36 2QG,S36 2QG,Northern,Stocksbridge & Upper Don,427753,397862,100052216274,YH
1036,Deepcar Village Hall Helliwell Lane Deepcar Sheffield S36 2QH,S36 2QH,Northern,Stocksbridge & Upper Don,428280,397505,200002741889,YB
1037,St Johns Church Hall St Johns Road Deepcar Sheffield S36 2SF,S36 2SF,Northern,Stocksbridge & Upper Don,428632,397962,010013555603,YG
1038,Sheffield United Fc Academy Firshill Crescent Sheffield S4 7DJ,S4 7DJ,North East,Burngreave,435503,390004,010003574516,FH
1039,Burngreave Library Sorby House 42 Spital Hill Sheffield,S4 7LG,North East,Burngreave,436115,388403,100052096709,FK
1040,St Patricks Church Barnsley Road Sheffield,S5 0QF,North East,Firth Park,436247,391956,200003000965,MB
1041,Firth Park Library 443 Firth Park Road S5 6QQ,S5 6QQ,North East,Firth Park,436761,391369,100052098226,MC
1042,Longley Hall Tara Meeting Room 35 Longley Hall Way S5 7EL,S5 7EL,North East,Firth Park,436073,390913,100052098318,MF
1043,Church on The Corner 1-5 Buchanan Road S5 8AP,S5 8AP,North East,Firth Park,435389,391778,200002742030,MD
1044,Binsted Road Senior Citizens Room 88 Binsted Road S5 8LL,S5 8LL,North East,Southey,433829,391195,100050918684,WA
1045,Southey Development Forum Southey Library Moonshine Lane S5 8RB,S5 8RB,North East,Southey,434655,391361,100052098774,WG
1046,Deer Park Senior Citizens Club 277A Deer Park Road Sheffield,S6 5NR,Northern,Stannington,431685,388806,100052100916,XE
1047,"Bradfield Village Hall, The Sands, Lower Bradfield S6 6LB",S6 6LB,Northern,Stannington,426306,392033,010023157016,XA
1048,Laycock Sports Club Archer Road S8 0JX,S8 0JX,South,Graves Park,434118,383365,100052118127,PA
1049,Woodseats Library Chesterfield Road S8 0SH,S8 0SH,South,Graves Park,434700,382690,200002743253,PC
1050,Norton House Country Club 246-248 Norton Lane Sheffield S8 8HD,S8 8HD,South,Graves Park,435962,382052,100052118369,PD
1051,Mount View Church Hall Derbyshire Lane Sheffield S8 8SG,S8 8SG,South,Graves Park,435325,383118,100052118793,PF
1052,St Margaret's Church Jenkin Road S9 1AT,S9 1AT,North East,Shiregreen & Brightside,438383,390902,010013161731,VD
1053,Wincobank N.I.School Newman Road S9 1LU,S9 1LU,North East,Shiregreen & Brightside,438458,391596,100052119512,VG
1054,Bolsterstone Village Hall Heads Lane Bolsterstone,S36 3ZF,Northern,Stocksbridge & Upper Don,427085,396742,010003574077,YA
1055,"Millhouses Methodist Church, Whirlowdale Road S7 2HA",S7 2HA,South West,Ecclesall,433517,383359,200002742898,LE
1056,Mosborough Methodist Church Sunday School Cadman Street S20 5BU,S20 5BU,South East,Mosborough,442426,380936,010090614535,SB
1057,Mosborough Miners' Welfare Ground Station Road Mosborough Sheffield,S20 5AD,South East,Mosborough,442623,381287,100052217822,SC
