PS_NO,PD,WARD,MAPEAST,MAPNORTH,STN_PLACE,POLL_DIST,PLACE_DESC,PLACE_PNAM,PLACE_ADD1,PLACE_ADD2,PLACE_ADD3,PLACE_ADD4,PLACE_ADD5,PLACE_PCOD,PLACE_HALL
1,AA,WEETSLADE,424044.00,572060.00,1,AA,Daverson Hall,Daverson Hall,Elmwood Avenue,Woodlands Park,North Gosforth,,,NE13 6PX,
3,AB,WEETSLADE,424049.00,572628.00,2,AB,St Johns United Reformed Church,St Johns United Reformed Church,Canterbury Way,Wideopen,,,,NE13 6JQ,
4,AC,WEETSLADE,424025.00,573172.00,3,AC,St Columbas Church,St Columbas Church,West View,Wideopen,,,,NE13 6NH,
7-8,AE,WEETSLADE,425987.00,573461.00,5,AE,John Willie Sams Centre,John Willie Sams Centre,Market Street,Dudley,,,,NE23 7HS,Lower Bansham Room
9,BA,CAMPERDOWN,426858.00,574033.00,6,BA,Jubilee Court Recreation Room,Jubilee Court Recreation Room,Jubilee Court,Annitsford,Cramlington,,,NE23 7RR,
6,AD,WEETSLADE,424124.00,573789.00,4,AD,"Temporary Station, Pine Street",,,,,,,,
10,BB,CAMPERDOWN,426440.00,573810.00,7,BB,Fordley Primary School,Fordley Primary School,Dudley Drive,Dudley,Cramlington,,,NE23 7AL,
11-12,BC,CAMPERDOWN,426923.00,572194.00,"8, 9",BC,Festival Cottages Rec. Room,Festival Cottages Rec. Room,Festival Cottages,Front Street,Camperdown,,,NE12 5UT,
13,BD,CAMPERDOWN,427394.00,571711.00,"10, 11",BD,Bailey Green Primary School,Bailey Green Primary School,West Bailey,Killingworth,,,,NE12 6QL,Key Stage 2 Hall
18,CB,LONGBENTON,426367.00,568613.00,"13, 14, 15",CB,The Oxford Centre,The Oxford Centre,West Farm Avenue,Longbenton,,,,NE12 8LT,Rooms 1 & 2 Grnd Fl
20,CD,LONGBENTON,427329.00,568831.00,"16, 17",CD,St Stephens RC and St Bartholomew C of E,St Stephen RC and St Bartholomew C of E,Goathland Avenue,Longbenton,,,,NE12 8FA,Community Room
22,DA,KILLINGWORTH,427897.00,571306.00,"18, 19",DA,White Swan Centre,White Swan Centre,Citadel East,Killingworth,,,,NE12 6SS,Main Hall
24,DC,KILLINGWORTH,429179.00,569954.00,21,DC,Elizabeth Drive Recreation Room,Elizabeth Drive Recreation Room,Elizabeth Drive,Palmersville,,,,NE12 9QP,
25,DB,KILLINGWORTH,428821.00,570196.00,20,DB,Palm Court Recreation Room,Palm Court Recreation Room,11 Palm Court,Great Lime Road,Forest Hall,,,NE12 9HW,
26,DD,KILLINGWORTH,430226.00,570545.00,22,DD,Holystone Drive Recreation Room,Holystone Drive Recreation Room,Holystone Drive,,Holystone,,,NE27 0DJ,
29,EA,BENTON,427790.00,570033.00,"23, 24",EA,Forest Hall Primary School,Forest Hall Primary School,Delaval Road,Forest Hall,Newcastle Upon Tyne,,,NE12 9BA,Main Hall
30,EB,BENTON,427789.00,569490.00,25,EB,Lynholm Grove Recreation Room,Lynholm Grove Recreation Room,Lynholm Grove,Forest Hall,,,,NE12 9AB,
31,EC,BENTON,427922.00,569619.00,26,EC,Springfield Community Centre,Springfield Community Centre,Springfield Park,Forest Hall,,,,NE12 9AG,
32,ED,BENTON,427406.00,568470.00,27,ED,"St Aidan's RC Church Hall, Coach Lane",St Aidan's Rc  Church Hall,Coach Lane,Benton,,,,NE12 8AD,Hall
33,EE,BENTON,428435.00,569901.00,28,EE,Ivy Road Primary School (Farne Centre),Ivy Road Primary School,Ivy Road,Forest Hall,,,,NE12 9AP,Farne Centre
35,KB,VALLEY,430961.00,571111.00,65,KB,Temp polling station (Sainsburys),,,,,,,,
34,KA,VALLEY,430923.00,570347.00,"63, 64",KA,Cheviot View Sheltered Housing,Cheviot View Sheltered Housing,West Street,West Allotment,,,,NE27 0RA,
36,KC,VALLEY,430085.00,572139.00,66,KC,Backworth Park Primary School,Backworth Park Primary School,The Park,Backworth,,,,NE27 0AH,Community Room
37,KD,VALLEY,431946.00,571745.00,67,KD,Bertram Grange Community Centre,Bertram Grange Community Centre,Earsdon View,Shiremoor,,,,NE27 0HS,
38,FE,VALLEY,431406.00,571063.00,33,FE,Woodlea Tenants Centre,Woodlea Tenants Centre,13/14 Woodlea Court,North Shields,,,,NE29 6AT,
39,KF,VALLEY,431861.00,571452.00,69,KF,Temp Polling station (Millfield Ave),,,,,,,,
40,KG,VALLEY,430373.00,572231.00,70,KG,Eccles Court Sheltered Housing,Eccles Court Sheltered Housing,Ashbourne Close,Backworth,,,,NE27 0JU,
42,GA,NORTHUMBERLAND,429423.00,566916.00,37,GA,St Columba's Rc Primary School - Activity Centre,St Columba's Rc Primary School - Activity Centre,Station Road,Wallsend,,,,NE28 8EN,
43,GB,NORTHUMBERLAND,428883.00,567544.00,38,GB,Elmfield Gardens Recreation Room,Elmfield Gardens Recreation Room,Elmfield Gardens,Wallsend,,,,NE28 8AN,
44,GC,NORTHUMBERLAND,428918.00,567897.00,39,GC,Redesdale Primary School,Redesdale Primary School,Wiltshire Drive,Wallsend,,,,NE28 8TS,Out Of School Club
45,GD,NORTHUMBERLAND,429350.00,567937.00,"40, 41",GD,Wallsend Jubilee Primary School,Wallsend Jubilee Primary School,Mullen Road,Wallsend,,,,NE28 9HA,Out Of Hours Club
48,HA,BATTLE HILL,429815.00,568025.00,43,HA,Beacon Hill School,Beacon Hill School Community Room,Rising Sun Cottages,Wallsend,,,,NE28 9JW,Community Room
15,CA,LONGBENTON,426688.00,570413.00,12,CA,West Moor Community Building,West Moor Community Building,Benton Lane,West Moor,,,,NE12 7NP,
49,HB,BATTLE HILL,430421.00,568248.00,44,HB,"Temporary Polling Station, Broomfield Ave",,,,,,,,
50,HC,BATTLE HILL,430911.00,567968.00,45,HC,Battle Hill Library,Battle Hill Library,Coastway Shopping Forum,Battle Hill Drive,,,,NE28 9JE,
51,HD,BATTLE HILL,431278.00,568311.00,46,HD,"Temporary Polling Station, Bathgate Close",,,,,,,,
52,HE,BATTLE HILL,431435.00,568955.00,47,HE,Broadway Court Sheltered Housing,Broadway Court Sheltered Housing,Broadway Court,Bellshill Close,Wallsend,,,NE28 9XW,
53-54,HF,BATTLE HILL,431268.00,569034.00,"48, 49",HF,Hadrian Park Primary School,Hadrian Park Primary School,Addington Drive,Wallsend,,,,NE28 9RT,Nursery
56,IA,WALLSEND,429835.00,566393.00,"50, 55",IA,Wallsend Customer First Centre,Wallsend Customer First Centre,Segedunum Way,Wallsend,,,,NE28 8JN,
57,IB,WALLSEND,431125.00,566656.00,51,IB,Wallsend St Peters C Of E Primary School,Wallsend St Peters C Of E Primary School,North Terrace,Wallsend,,,,NE28 6PY,School Hall
60,ID,WALLSEND,429353.00,566515.00,54,ID,Western Community Primary - Creche,Western Community Primary School,Rutland Road,Wallsend,,,,NE28 8QL,Creche
61,IE,WALLSEND,429835.00,566393.00,,,Wallsend Customer First Centre,Wallsend Customer First Centre,Segedunum Way,Wallsend,,,,NE28 8JN,
62,JA,HOWDON,431898.00,567034.00,56,JA,"Howdon Library, Churchill Street",Howdon Library,Churchill Street,Wallsend,,,,NE28 7TG,
