PollingPlaceId	PollingPlaceAddress1	PollingPlaceAddress2	PollingPlaceAddress3	PollingPlaceAddress4	PollingPlaceAddress5	PollingPlaceAddress6	PollingPlaceAddress7
5299	"Hawkes Mill Lane Sports and Social Club"	"Hawkes Mill Lane"		Allesley	Coventry		"CV5 9FN"
5305	"Allesley Village Hall"	"Birmingham Road"	Coventry				"CV5 9GX"
5310	"Portacabin, Car Park, The Old Shepherd"	"Keresley Road"	Coventry				"CV6 2JJ"
5312	"Scout Headquarters"	"Washbrook Lane"	Coventry				"CV5 9FG"
5315	"Portacabin, Car Park, Wallace Hotel"	"Keresley Road"	Coventry				"CV6 2JF"
5321	"Portacabin, Christ the King Primary School"	"Scots Lane"	Coundon		Coventry		"CV6 2DJ"
5325	"Christ the King Library"	"14 Westhill Road"		Coventry			"CV6 2AA"
5329	"Portacabin, Hollyfast Primary School"	"Hollyfast Road"	Coventry				"CV6 2AH"
5333	"Keresley United Reformed Church"	"Bennetts Road"	Coventry				"CV7 8HY"
5337	"Whitmore Park Primary School"	"Halford Lane"		Coventry			"CV6 2HG"
5341	"Keresley Grange Primary School"	"Waste Lane"	Coventry				"CV6 2EH"
5345	"Coventry Saracens R.F.C."	"Bredon Avenue"	Coventry				"CV3 2FD"
5349	"St. Bartholomews C. of E. Academy"	"Bredon Avenue"	Coventry				"CV3 2LP"
5352	"Stretton C. of E. Primary School"	"Stretton Avenue"	Coventry				"CV3 3AE"
5356	"Hagard Youth and Community Centre"	"Remembrance Road"	Willenhall	Coventry			"CV3 3DG"
5359	"Middle Ride Community Centre"	"Middle Ride"	Coventry				"CV3 3GN"
5362	"Ernesford Grange Primary School"	"Foxton Road"		Coventry			"CV3 2HN"
5365	"Sowe Valley Primary School"	"Princethorpe Way"	"Ernesford Grange"	Coventry			"CV3 2QX"
5366	"John Whites Community Centre"	"Grange Avenue"	Coventry				"CV3 2ED"
5369	"Whitley Academy"	"The Base"	"Abbey Road"	Coventry			"CV3 4BD"
5373	"Christ Church Community Centre"	"Frankpledge Road"	Coventry				"CV3 5GT"
5377	"Portacabin, Adj. 105/107 Sedgemoor Road"	Coventry					"CV3 4EA"
