ADDRESS,POLLING DISTRICT ,WARD,Easting,Northing
"Roomfield Baptist Church, Halifax Road, Todmorden, OL14 5BE",BP,Cald,394183.3501,424270.3998
"Rastrick Fire Station, Clough Lane, Brighouse, HD6 3QQ",CA,Ella,413408.8249,420631.8672
"Bethesda Methodist Church, Victoria Road, Elland, HX5 0AB",CB,Ella,410619.6959,420794.8782
"Southgate Methodist Sunday School, Langdale Street, Elland, HX5 0JL",CC,Ella,410982.949,420823.9752
"All Saints Church, The School Room, Savile Road, Elland, HX5 0JF",CD,Ella,410726.0749,420483.9768
"Huddersfield Amateur FC, Old Earth, Lower Edge Road, Elland, HX5 9ES",CE,Ella,411687.093,421461.1092
"Cedar Court Hotel, Ainley Top, Huddersfield, HD3 3RH",CF,Ella,411348.245,419368.3002
"Cross Lane Primary School, Cross Lane, Elland, HX5 0LP",CG,Ella,410356.7251,420330.4752
"Greetland Community And Sports Centre, The Main Hall, Rochdale Road, Greetland, HX4 8JG",DA,Gree,408407.7001,421333.8
"West Vale J & I School, Stainland Road, West Vale, Halifax, HX4 8LS",DB,Gree,409764.642,421287.54
"Holywell Green Primary & Nursery School, Bradley View, Holywell Green, Halifax, HX4 9AE",DC,Gree,408611.7371,419821.992
"Bowling Green Primary School, Stainland, Halifax, HX4 9HU",DD,Gree,407664.515,419303.1798
"Christ Church C of E Junior School, Park Road, Sowerby Bridge",PA,Sowe,406431.2,424054.9998
"St Hildas Church, Gibraltar Road, Halifax. HX1 4HE",KD,Park,407395.309,424910.9538
"New Hope United Reform Church, Warley Road, Highroad Well, Halifax, HX2 0AD",SC,Warl,406943.55,425036.2752
"Halifax Vandals RUFC, Warley Town Lane, Warley, Halifax, HX2 7SL",SD,Warl,405268.1602,425065.8048
"Grace Baptist Church, Roils Head Road, Norton Tower, Halifax, HX2 0LH",SG,Warl,406245.266,425314.2078
"Hi Energy Fitness Centre, The Maltings, Maltings Road, Wheatley, Halifax HX2 0TJ",SH,Warl,406664.475,426811.0248
"Pellon Baptist Sunday School, Spring Hall Lane, Pellon, Halifax, HX1 4UA",SE,Warl,407503.1832,425785.1862
"Forest Cottage Community Centre, Cousin Lane, Illingworth, Halifax, HX2 8AD",JC,Oven,407312.2501,427172.9598
"Mount Tabor Methodist Sunday School, Mount Tabor, Halifax",SF,Warl,405328.42,427261.932
"Steep Lane Baptist Sunday School, Steep Lane, Sowerby, Sowerby Bridge, HX6 1PG",GF,Ludd,402906.8299,423662.8602
"Midgley Community Room, Midgley Community Centre, 4B Towngate, Midgley, Luddendenfoot, HX2 6UE",GE,Ludd,403199.1761,426415.488
"Community room at Elphin Court, Mytholmroyd, HX7 5ES",GH,Ludd,400783.509,425542.329
"Mytholmroyd Working Mens Club, Stocks Avenue, Hebden Bridge, HX7 5AS",GJ,Ludd,401012.037,425926.5702
"Barkisland Cricket Club, Woodfield,  Barkisland, Halifax, HX4 0EA",ME,Rybu,405359.0699,419832.9498
"Ripponden Parish Community Centre, Old Bank. Ripponden, Sowerby Bridge, HX6 4DG",MF,Rybu,404136.55,419755.8702
"St John's CE (VA) School , Godly Lane, Rishworth, Sowerby Bridge, HX6 4QR",MG,Rybu,403200.1001,418097.0298
"Stones Methodist Church, Rochdale Road, Ripponden, Sowerby Bridge, HX6 4LA",MH,Rybu,403010.16,418921.2
"Ripponden Parish Community Centre, Old Bank. Ripponden, Sowerby Bridge, HX6 4DG",MJ,Rybu,404136.55,419755.8702
"Town Hall, Halifax Road, Todmorden, OL14 5AA",QA,Todm,393663.8752,424169.5602
"St Joseph R C J &I School, Wellington Road, Todmorden, OL14 5HP",QB,Todm,393658.4519,424552.9482
"Vale Baptist Church, Burnley Road, Cornholme, Todmorden, OL14 8JY",QC,Todm,391152.852,426192.3492
"Cornholme J & I School, Greenfield Terrace. Cornholme, Todmorden, OL14 8PL",QD,Todm,390173.9601,426192.6702
"Town Hall, Halifax Road, Todmorden, OL14 5AA",QE,Todm,393663.8752,424169.5602
"Fernley Lee Primary School, Fernley Lee Road. Todmorden, OL14 5NR",QF,Todm,393387.1001,424966.365
"Fielden Centre, Ewood Lane, Todmorden, OL14 7DD",QG,Todm,392959.1012,424893.8502
"Walsden St Peters Primary School, Regent Street Entrance ,Off Rochdale Road, Walsden, OL14 6RN",QH,Todm,393206.4,422272.0602
"Walsden Cricket Club, Scott Street. Walsden, Todmorden , OL14 7TF",QJ,Todm,393350.5499,421612.9998
"Wadsworth Community Centre, Billy Lane, Old Town, Hebden Bridge, HX7 8RY",BE,Cald,400223.775,428250.255
"Sunnybank School Annexe, Saddleworth Road, Greetland. HX4 8LZ",DG,Gree,408834.356,421005.6042
"Pellon Baptist Sunday School, Spring Hall Lane, Pellon, Halifax. HX1 4UA",SA,Warl,407503.1832,425785.1862
"Holy Nativity Church, Sunnybank Road, Mixenden Halifax",FB,Illi,406245.5999,428033.8002
"Mytholmroyd Cricket Club, Moderna Way, Mytholmroyd, HX7 5PZ",GK,Ludd,402069.5599,425969.5182
"St Columbas Church Hall, Highroad Well Lane, Halifax, HX2 0QF",SB,Warl,406870.4409,425849.157
"Siddal Primary School, Backhold Lane, Siddal, Halifax, HX3 9DL",RE,Town,410176.5602,423042.8808
"Community room at Elphin Court, Mytholmroyd, HX7 5ES",GG,Ludd,400782.2942,425541.9252
"Town Hall, St Georges Street, Hebden Bridge.",BD,Cald,399241.9249,427343.2092
"Castle Hill Primary School, Halifax Road,  Todmorden, OL14 5SQ",BM,Cald,394870.7749,424535.8248
"Hebden Bridge Methodist Sunday School, Market Street, Hebden Bridge, HX7 6EU",BF,Cald,398901.251,427187.1492
"St Mary's CE J & I School, Mill Bank, Sowerby Bridge. HX6 3EJ",MA,Rybu,403478.67,421339.8102
"St Mary's CE J & I School, Mill Bank, Sowerby Bridge. HX6 3EJ",MK,Rybu,403478.67,421339.8102
"Whinney Hill Community Centre, Whinney Hill Park, Brighouse, HD6 2NQ",AA,Brig,414365.2751,424394.9502
"Waring Green Community Centre, Garden Road, Brighouse, HD6 2AX",AB,Brig,414353.1,423410.2998
"St Chad's C.E. Primary School, Upper Green Lane, Brighouse, HD6 2PA",AC,Brig,413267.6349,424303.2
"Clifton Methodist Church, Towngate, Clifton, Brighouse, HD6 4HX",AD,Brig,416105.2501,422904.9252
"Brighouse Civic Hall, Bradford Road, Brighouse, HD6 1RW",AE,Brig,414652.3269,422836.314
"Waring Green Community Centre, Garden Road, Brighouse, HD6 2AX",AF,Brig,414353.1,423410.2998
"Hebden Bridge Methodist Sunday School, Market Street, Hebden Bridge, HX7 6EU",BA,Cald,398913.5721,427187.079
"Blackshaw Head Methodist Sunday School, Blackshawhead, Hebden Bridge",BG,Cald,395906.2499,427621.7502
"Hebden Bridge Methodist Sunday School, Market Street, Hebden Bridge, HX7 6EU",BH,Cald,398901.251,427187.1492
