"Property_Number","Property_NAme","Post_Code","Polling_Place_Name","Polling_Place_Address_1","Polling_Place_Address_2","Polling_Place_Address_3","Polling_Place_Address_4","Polling_Place_Postcode"
"0","","EN4 0NJ","Hadley Memorial Hall","29 Hadley Highstone","Barnet","Herts","","EN5 4PU"
"0"," ","EN4 9PF","New Barnet Community Centre","48/50 Victoria Road","New Barnet","Herts","","EN4 9PF"
"0"," ","NW11 7RX","Harris Room - Trinity Church","Rodborough Road","Childs Hill","London","","NW11 8NH"
"0"," ","NW4 4PN","Barnet Multicultural Community Centre","Algernon Road","Hendon","London","","NW4 3TA"
"0",".5 Mews Cottage","N20 9JU","St Mary Magdalens Parish Centre","6 Athenaeum Road","Whetstone","London","","N20 9AE"
"0","`the Cottage`, Hadley Lodge","EN5 5QD","Hadley Memorial Hall","29 Hadley Highstone","Barnet","Herts","","EN5 4PU"
"0","1&2 Farm Cotts","NW7 1AR","St Pauls Church Hall","The Ridgeway","Mill Hill","London","","NW7 1QU"
"0","1&2 Hillside Cottages","NW7 2RS","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","1/2 the Welches","NW7 2RT","Dollis Infants School","Pursley Road","Mill Hill","London","","NW7 2BU"
"0","108-110","NW4 2DX","Hendon School","Green Lane entrance","Hendon","London","","NW4 2HP"
"0","17/19","EN4 8RN","New Barnet Community Centre","48/50 Victoria Road","New Barnet","Herts","","EN4 9PF"
"0","184/186","NW11 9AG","St Mary & Archangel","Michael Coptic Orthodox","Church Hall","Cranbourne Gardens","London","NW11 OHU"
"0","189/191, 1ST Flr Flt","EN5 5SU","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","1ST & 2ND Floor 141","NW11 9RL","Menorah Primary School","1-3 The Drive","Golders Green","London","","NW11 9SP"
"0","1ST & 2ND Flr Maisonette","NW11 0ED","St Mary & Archangel","Michael Coptic Orthodox","Church Hall","Cranbourne Gardens","London","NW11 OHU"
"0","1ST Flr Ebor","N3 1BG","St Philip the Apostle","Parish Centre","Gravel Hill","Finchley","","N3 3RJ"
"0","2 The Mews, Alston Works","EN5 4EL","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","2/4","NW11 8NP","Harris Room - Trinity Church","Rodborough Road","Childs Hill","London","","NW11 8NH"
"0","220/222","EN5 5SZ","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","220/222","NW11 9AT","St Mary & Archangel","Michael Coptic Orthodox","Church Hall","Cranbourne Gardens","London","NW11 OHU"
"0","242/248","EN5 5TD","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","29A - 31A","NW11 8EE","Harris Room - Trinity Church","Rodborough Road","Childs Hill","London","","NW11 8NH"
"0","3-6 Abbey Ravenscroft Nursing Home","EN5 4ND","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","33A-35A","NW11 8EE","Harris Room - Trinity Church","Rodborough Road","Childs Hill","London","","NW11 8NH"
"0","33B","NW4 4QX","St Mary & St John CE School","Bennett House","Sunningfields Road","Hendon","","NW4 4QR"
"0","4A Exchange Buildings","EN5 4PD","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","52/54","EN5 5SB","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
"0","7 Exchange Buildings","EN5 4PD","Chipping Barnet Library","The Hyde Room","3 Stapylton Road","Barnet","Herts","EN5 4QT"
