DISTRICT,POLLING_PLACE_NAME,STATION_CARD_NUMBERS,UPRN,ADDRESS,EASTING,NORTHING,COORD_SOURCE,LAST_CHECK_DATE
CAA,"Hadley Memorial Hall, 29 Hadley Highstone Barnet EN5 4PU",1,200054141,"29 Hadley Highstone, BARNET, EN5 4PU",524607,197729,NLPG BLPU,3/30/16
CAB,"St Marks Church Hall, Potters Road, New Barnet Herts EN5 5HY","02, 03, 04",200150845,"St Marks Church, Potters Road, Barnet",525649,196480,NLPG BLPU,3/30/16
CAC,"Arkley Club, 64 Barnet Road Arkley EN5 3EY",5,200148220,"Arkley Mens Club, 64 Barnet Road, BARNET, EN5 3EY",524281,196788,NLPG BLPU,3/30/16
CAD,"Q.E Boy’s School, Queen’s Road, Barnet EN5 4DQ",6,200096027,"Queen Elizabeths School, Queens Road, BARNET, EN5 4DQ",523006,196121,NLPG BLPU,3/30/16
CAE,"The Hyde Room, Chipping Barnet Library, 3 Stapylton Road, Barnet EN5 4QT","07, 08",200107378,"Chipping Barnet Library, 3 Stapylton Road, BARNET, EN5 4QT",523688,196741,NLPG BLPU,3/30/16
CBA,"New Bevan Baptist Church Hall, Grove Road, Barnet Herts EN4 9DF",9,200053598,"New Bevan Baptist Church, Grove Road, BARNET, EN4 9DF",527290,196510,NLPG BLPU,3/30/16
CBB,"Trent (CE) Primary School, Church Way, off Chalk Lane, Cockfosters, EN4 9JH","10, 11",200023032,"Trent Church Of England Primary School, Church Way, BARNET, EN4 9JH",527890,196229,NLPG BLPU,3/30/16
CBC,"Danegrove Primary School, Cat Hill entrance, East Barnet, Herts EN4 8UD",12,200127374,"Danegrove Primary School, Windsor Drive, BARNET, EN4 8UD",527498,195474,NLPG BLPU,3/30/16
CBD,"Brookside Methodist Church, Cat Hill, Barnet EN4 8JB","13, 14",200019675,"East Barnet Methodist Church, 2 Cat Hill, BARNET, EN4 8JB",527245,195345,NLPG BLPU,3/30/16
CBE,"New Barnet Community Centre 48/50 Victoria Road, New Barnet EN4 9PF","15, 16",200120427,"50 Victoria Road, BARNET, EN4 9PF",526771,196228,NLPG BLPU,3/30/16
CCA,"Monkfrith Primary School, Knoll Drive, Southgate N14 5NG",17,200070370,"Monkfrith Primary School, Knoll Drive, LONDON, N14 5NG",528378,194733,NLPG BLPU,3/30/16
CCB,"Osidge Primary School, Chase Side, Southgate N14 5HD","18, 19",200021060,"Osidge Primary School, Chase Side, LONDON, N14 5HD",529136,194409,NLPG BLPU,3/30/16
CCC,"Portable Office in the Car Park at Brunswick Park Road, Southgate N11","20, 21",200151639,"Brunswick Park Road Car Park, Brunswick Park Road, London",528345,193175,NLPG BLPU,3/30/16
CCD,"Brunswick Park Primary School, Osidge Lane, Southgate London N14 5DU","22, 23",200221915,"Brunswick Park JMI School, Osidge Lane, LONDON, N14 5DU",528300,194003,NLPG BLPU,3/30/16
CDA,"Scout and Guide Hall, Stanford Road, Friern Barnet N11 3HX","24, 25",200222449,"Scout Hall, Stanford Road, LONDON, N11 3HX",527954,192381,NLPG BLPU,3/30/16
CDB,Portable Office at Junction of Balmoral Avenue/ Regal Drive N11 ,"26, 27",,,528659,192134,digitised over OS MasterMap,3/30/16
CDC,"St Peter Le Poer Church Hall, Albion Avenue London N10 1AE",28,200150857,"St Peter Le Poer Church Of England Church, Albion Avenue, LONDON, N10 1AQ",528319,190887,NLPG BLPU,3/30/16
CDD,"Hindu Cultural Society 3 Lyndhurst Avenue, London N12 0NE",29,200150909,"3 Lyndhurst Avenue, LONDON, N12 0LX",527549,191963,NLPG BLPU,3/30/16
CDE,"Freehold Community Centre 9 Alexandra Road, Muswell Hill N10 2EY",30,10003975973,"Freehold Community Centre, 9 Alexandra Road, LONDON, N10 2EY",528691,191534,NLPG BLPU,3/30/16
CEA,"Barnet Lawn Tennis Club, Gloucester Road New Barnet EN5 1RS",31,200048096,"Barnet Lawn Tennis Club, Gloucester Road, BARNET, EN5 1RS",525814,195773,NLPG BLPU,3/30/16
CEB,"Lyonsdown Main Hall, 3 Lyonsdown Road New Barnet EN5 1JB","32, 33",200152283,"3 Lyonsdown Road, BARNET, EN5 1JB",526380,196031,NLPG BLPU,3/30/16
CEC,"St Mary Magdelen Parish Centre, 6 Athenaeum Road, Whetstone N20 9AE","34, 35",200005271,"St Mary Magdalen Church, Athenaeum Road, LONDON, N20 9AE",526489,194015,NLPG BLPU,3/30/16
CED,"Manor Drive Methodist Church Hall, Manor Drive Whetstone N20 0DZ","36, 37",200219082,"Manor Drive Methodist Church, Manor Drive, LONDON, N20 0DZ",527523,193248,NLPG BLPU,3/30/16
CFA,"St Andrew’s JMI School, The Green Totteridge N20 8NX",38,200118627,"St Andrews Church of England Primary School, Totteridge Village, LONDON, N20 8NX",524929,193884,NLPG BLPU,3/30/16
CFB,"Totteridge Tennis Club, Great Bushey Drive N20 8QL",39,200051104,"Totteridge Tennis Club, Great Bushey Drive, LONDON, N20 8QL",525761,194323,NLPG BLPU,3/30/16
CFC,"St Johns Church Hall Friern Barnet Lane, Whetstone N20 0LP","40, 41",200157009,"St Johns Church Hall, Friern Barnet Lane, London",526496,193616,NLPG BLPU,3/30/16
CFD,"Finchley Catholic High School, Woodside Lane, Finchley N12 8TA","42, 43",200130305,"Finchley Catholic High School, Woodside Lane, LONDON, N12 8TA",525975,193054,NLPG BLPU,3/30/16
CFE,"Woodside Park Social Club, Southover, Finchley N12 7JG","44, 45",200219079,"Woodside Park Club, Southover, LONDON, N12 7JG",525222,192772,NLPG BLPU,3/30/16
CGA,"Hope Corner Community Centre, 185 Mays Lane, Barnet, Herts EN5 2DY","46, 47",10091041141,"185 Mays Lane, Barnet, EN5 2DY",524437,195638,NLPG BLPU,3/30/16
CGB,"Underhill Baptist Church Hall, Elton Avenue, Barnet, Herts EN5 2EA",48,200150818,"Underhill Baptist Church, 42 Elton Avenue, BARNET, EN5 2EA",524875,195786,NLPG BLPU,3/30/16
CGC,"St Stephens Church Hall, 1 Spring Close, Bells Hill, Barnet EN5 2UR","49, 50",200150842,"Church Hall, St Stephens Church Of England Church, Bells Hill, Barnet",523608,195859,NLPG BLPU,3/30/16
CGD,"The Pavilion, Brickfield Lane, Barnet EN5 3LD",51,200157079,"Tennis Pavilion, Brickfield Lane, Barnet",521592,195282,NLPG BLPU,3/30/16
CGE,Grasvenor Avenue School Grasvenor Avenue Barnet Herts EN5 2BY,"52, 53",200050909,"Grasvenor Avenue Infant School, Grasvenor Avenue, BARNET, EN5 2BY",525423,195264,NLPG BLPU,3/30/16
FHA,"North Finchley Library, Ravensdale Avenue, North Finchley, N12 9HP","54, 55",200097082,"North Finchley Library, Ravensdale Avenue, LONDON, N12 9HP",526381,192659,NLPG BLPU,3/30/16
