PollingDistrictReference	PollingPlaceId	PollingPlaceAddress1	PollingPlaceAddress2	PollingPlaceAddress3	PollingPlaceAddress4	PollingPlaceAddress5	PollingPlaceAddress6	PollingPlaceAddress7
AL1	3020	"Portable Polling Station"	"Forecourt of Flats 11-129"	"Alexandra Road"		London		N10
AL2	3024	"St Andrew`s Centre"	"Alexandra Park Road"			London		"N10 2DD"
AL3	3027	"Alexandra Park Library"	"Alexandra Park Road"	London				"N22 4UJ"
AL4	3030	"Portable Polling Station"	"At Junction Crescent Road And"	"Palace Gates Road"		London		N22
BG1	3032	"Bounds Green Junior School"	"Bounds Green Road"				London	"N11 2QG"
BG2	3035	"Childrens Hubb"	"128 Myddleton Road"	"Bowes Park"		London		"N22 8NQ"
BG3	3283	"Portable Polling Station"	"Partridge Way"				London	"N22 8DX"
BR1	3041	"St Phillips The Apostle Church Hall"	"Philip Lane"			London		"N15 4HJ"
BR2	3044	"Miller Memorial Hall"	"The Avenue"	London				"N17 6TG"
BR3	3047	"Bruce Grove Primary School"	"Sperling Road"	London				"N17 6UH"
BR4	3054	"Bruce Grove Youth Centre"	"10 Bruce Grove"			London		"N17 6RA"
CE1	3057	"Highgate Branch Library"	"Shepherds Hill"			London		"N6 5QT"
CE2	3059	"The Family Centre"	"145 Park Road"			London		"N8 8JN"
CE3	3063	"Coleridge Primary School"	"Crouch End Hill"			London		"N8 8DN"
CE4	3066	"Hornsey Library"	"Haringey Park"			London		N8
FG1	3067	"Coldfall Primary School"	"Coldfall Avenue"			London		"N10 1HS"
FG2	3070	"Fortismere School"	"6th Form Block"	Southwing	Tetherdown	"Muswell Hill"	London	"N10 1NE"
FG3	3073	"North Bank House, Muswell Hill Methodist Church"	"28 Pages Lane"			London		"N10 1PP"
FG4	3076	"The Birchwood Hall"	"171 Fortis Green Road"			London		"N10 3BG"
FG5	3080	"St James CE Primary School"	"Woodside Avenue"			London		"N10 3JA"
HA1	3083	"Willoughby Methodist Church Hall"	"Hampden Road"			London		"N8 0HU"
HA2	3086	"North Harringay Primary School"	"The Falklands Centre"	"Frobisher Road Entrance"	London			"N8 0NU"
