Polling_Station_Number,Polling_station_name,Polling_station_address,CNTR_X,CNTR_Y
1,"St Mary's Church Hall","Hatton Road, Bedfont, Feltham, TW14 8JR",508422.0010604,173719.002704
2,"St Mary's Church Hall","Hatton Road, Bedfont, Feltham, TW14 8JR",508422.0010604,173719.002704
3,"Southville Community & Children's Centre","Southville Road, Feltham, TW14 8AP",509526.9959041,173547.0019388
4,"Bedfont Library","Staines Road, Bedfont, TW14 8DB",508871.0023528,173715.0038487
5,"Caravan entrance to The Urban Farm","Faggs Road, Bedfont, Middlesex, TW14 0LZ",510167.9999344,174826.9955444
6,"Feltham Assembly Hall","Hounslow Road, Feltham, TW14 9DN",510806.0027624,173708.9955686
7,"Caravan in the Sparrow Farm Resident's Association Hall car park","Sparrow Farm Drive, Feltham, TW14 0DG",511477.0023249,173829.0012173
8,"Caravan opposite the entrance to Rivers Academy","Tachbrook Road, Feltham, TW14 9NX",509891.3915739,173804.7441638
9,"Caravan opposite the entrance to Rivers Academy","Tachbrook Road, Feltham, TW14 9NX",509891.3915739,173804.7441638
10,"Caravan Adjacent to Clifton Parade","Fernside Avenue, Feltham",511140.0019425,171948.9993622
11,"Feltham Sea Cadets","2 Poplar Way, Feltham, TW13 7AB",510350.107931,172496.0183161
12,"Woodlawn Hall","Woodlawn Drive, Hanworth, TW13 5HX",511934.0013266,172702.0038169
13,"The River Room, Cardinal Road School","Hanworth Road, Feltham, TW13 5AB",510718.0032252,173228.0032512
14,"The Meeting Hall","Proctors Close, Feltham, TW14 9NB",510283.999699,173384.9983118
15,"Feltham Evangelical Church Hall","Manor Lane, Feltham, TW13 4JQ",510343.9990086,172724.9972351
16,"School Dining Hall, Oak Hill Academy West London, Access & car parking via car park, Rear of ""Once Upon a Time Day Nursery""","Ashford Road, Feltham, TW13 4QP",509693.9996167,172159.9989642
17,"School Dining Hall, Oak Hill Academy West London, Access & car parking via car park, Rear of ""Once Upon a Time Day Nursery""","Ashford Road, Feltham, TW13 4QP",509693.9996167,172159.9989642
18,"Creche Room, Belvedere Resource Centre, Belvedere House","Lemon Grove, Feltham, TW13 4DH",510354.0002677,173052.0036305
19,"St Richards C of E Primary School","Forge Lane, Hanworth, TW13 6UN",512113.9992555,171050.9964129
