PD_NAME,REC_PD,WARD,U_POLLDID,STAT_TITLE,STAT_ADDR1,POSTCODE,UPRN,EASTING,NORTHING
Finsbury Park - NFPA,FPA,Finsbury Park,100439,Pakeman School,Pakeman Street,N7 6DU,5300070895,530828,186114
Tollington - NToA,ToA,Tollington,100440,Duncombe School,Sussex Way,N19 4JA,5300089309,530143,187014
Barnsbury - SBaC,BaC,Barnsbury,100418,Half Moon Crescent Community Hall,183 Wynford Road,N1 9TZ,5300099584,530949,183385
Caledonian - SCaC,CaC,Caledonian,100419,York Way Community Centre,Tiber Gardens,N1 0XE,5300092135,530442,183561
St. Peter's - SSPB,SPB,St. Peter's,10045,St James' Hall,11 Prebend Street,N1 8PF,5300075760,532109,183671
St. Mary's - SSMC,SMC,St. Mary's,100414,"Assembly Hall, Islington Town Hall",Upper Street,N1 2UD,5300095052,531708,184241
Junction - NJuB,JuB,Junction,100448,Whittington Community Centre,Yerbury Road,N19 4RS,5300099958,529763,186346
Canonbury - SCnC,CnC,Canonbury,100411,New River Green Children's Centre,23 Ramsey Walk,N1 2SX,5300103747,532544,184644
St. Peter's - SSPA,SPA,St. Peter's,10044,New North Academy,32 Popham Road,N1 8SJ,10012790840,532184.68,183945.44
St. Mary's - SSMB,SMB,St. Mary's,100413,St Marys Neighbourhood Centre,Upper Street,N1 2TX,10001296370,531750,183937
Caledonian - SCaA,CaA,Caledonian,100421,Westbourne Community Centre,Roman Way,N7 8XF,5300079082,530787,184785
Canonbury - SCnA,CnA,Canonbury,100410,Walter Sickert Community Centre,Canonbury Crescent,N1 0LS,5300015524,532308,184363
Bunhill - SBuB,BuB,Bunhill,10048,Tompion Hall Community Centre,40 Percival Street,EC1V 0HX,10023215945,531762,182495
Highbury West - NHwC,HwC,Highbury West,,Aubert Community Centre,Avenell Road,N5 1BL,10010440652,531693,185898
Holloway - SHyA,HyA,Holloway,100431,Lorraine Estate Community Centre,229 Biddestone Road,N7 9UE,5300009625,530725,185656
Hillrise - NHrC,HrC,Hillrise,100443,St Marys Church Hall,Ashley Road,N19 3AD,5300004018,530188,187487
Finsbury Park - NFPB,FPB,Finsbury Park,100437,Bennett Court Tenants Hall,Axminster Road,N7 6BW,5300004857,530545,186245
Canonbury - SCnB,CnB,Canonbury,100412,Almorah Community Centre,58 Almorah Road,N1 3EU,5300001394,532780,184159
Barnsbury - SBaA,BaA,Barnsbury,100417,Celestial Church of Christ,Cloudesley Square,N1 0HT,5300021876,531307,183750
Highbury East - NHeC,HeC,Highbury East,100426,Highbury Quadrant School (Infants Hall),Highbury New Park,N5 2DP,5300045010,532387,185620
