FID_,ATT1,LOCATION,OTHER_INFO,Eastings,Northings,Latitude,Longitude,UPRN
,Berrylands Hotel,"Berrylands Hotel, Chiltern Drive, KT5 8LS",A,519702,167967,-0.279133,51.397599,128004203
,The Star Centre,"The Star Centre, 50 King Charles Crescent, Surbiton, KT5 8SX",AA,518844,166927,-0.29181214,51.38842893,128009402
,Surbiton Hill Methodist Church Hall,"Surbiton Hill Methodist Church Hall, 39 Ewell Road, Surbiton, KT6 6AF",AB,518519,167233,-0.296374,51.391244,128044318
,St John`s Church Hall (Kingston Road),"St John`s Church Hall (Kingston Road), Kingston Road, New Malden, KT3 3RX",B,520054,168563,-0.273874,51.402882,128032634
,St James Church Hall,"St James Church Hall, Green Lane, New Malden, KT3 5BX",BA,520392,167962,-0.26922,51.397402,128007942
,Methodist Church Hall,"Methodist Church Hall, Cambridge Road, New Malden, KT3 4BY",BB,521332,168455,-0.255546,51.40164,128008556
,The Graham Spicer Institute,"The Graham Spicer Institute, 15 Dukes Avenue, New Malden, KT3 4HL",BC,521448,168558,-0.253851,51.40254,128006114
,Devon Way Centre,"Devon Way Centre, Devon Way, Chessington, KT9 2RJ",C,517263,164358,-0.315368,51.365669,128005877
,Hook Community Hall,"Hook Community Hall Hook, Community Centre, Hook Road, Chessington, KT9 1EJ",CA,518015,164574,-0.304498,51.367455,100023067317
,Castle Hill Primary School,"Castle Hill Primary School, Buckland Road, Chessington, KT9 1JE",CB,518655,164432,-0.295359,51.366044,128002703
,St Catherine's Church Hall,"St Catherines Church Hall, 98 Leatherhead Road, Chessington, KT9 2HY",D,517655,163654,-0.309974,51.359252,128041821
,Chessington Methodist Church Hall,"Chessington Methodist Church Hall, Church Lane, Chessington, KT9 2DJ",DA,518748,164071,-0.294149,51.362781,128044320
,St Mary's Centre,"St Mary's Centre, Church Lane, Chessington, KT9 2DR",DB,518476,163527,-0.298227,51.357946,128004295
,Chessington Garden Centre,"Caravan at the Chessington Garden Centre, Leatherhead Road, Malden Rushett, KT9 2NG",DC,517288,161885,-0.315835,51.343427,100023553187
