VENUE,ADDRESS,POSTCODE,WARD,DISTRICT CODE,EASTING,NORTHING
Max Roach Adventure Playground,Wiltshire Road,SW9,Coldharbour,NJA,531339,175911
Loughborough Primary School,Minet Road,SW9 7UA,Coldharbour,NJB,531699,176226
Effra Road Chapel,63 Effra Road,SW2 1BZ,Coldharbour,NJC,531153,174808
Hill Mead Primary School,"Hillmead Drive, Moorland Road",SW9 8UE,Coldharbour,NJD,531583,175348
St Matthew's Church Hall,115 Lilford Road,SE5 9HY,Herne Hill,NKA,532149,176156
St Saviour's Church Hall,69 Herne Hill Road,SE24 0AY,Herne Hill,NKB,532233,175497
Jessop Primary School,Lowden Road,SE24 0BJ,Herne Hill,NKC,532003,175161
St Judes CE Primary School,Regent Road,SE24 0EL,Herne Hill,NKD,531752,174515
Holy Trinity Church,Trinity Rise,SW2 2QP,Thurlow Park,NLA,531485,173488
Peabody Hill Community Centre,Peabody Hill,SE21 8LA,Thurlow Park,NLB,532051,173193
Rosendale Primary School,Rosendale Road / Turney Road,SE21 8LR,Thurlow Park,NLC,532235,173678
The Salvation Army Church Hall,246 Norwood Road,SE24 9AW,Thurlow Park,NLD,531745,172666
"Goodwin Hall, Chatsworth Baptist Church",Chatsworth Way,SE27 9HN,Thurlow Park,NLE,532085,172490
St Luke's Church Hall,Knight's Hill,SE27 0HS,Knights Hill,NMA,531937,172065
St Peter's Church Crypt,Leigham Court Road,SW16 2SD,Knights Hill,NMB,531145,172004
West Norwood Fire Station,210 Knight's Hill,SE27 0QA,Knights Hill,NMC,531856,171752
Crown Lane Primary School,Crown Lane,SW16 3HX,Knights Hill,NMD,531553,171094
St Luke's CE Primary School,Linton Grove,SE27 0DZ,Knights Hill,NME,532200,171477
Elm Wood Primary School,Carnac Street,SE27 9RR,Gipsy Hill,NNA,532729,172072
Kingswood Primary School,Gipsy Road / Salters Hill,SE27 9RD,Gipsy Hill,NNB,532873,171497
Park Campus,Gipsy Road,SE27 9NP,Gipsy Hill,NNC,532324,171620
Berridge Road Community Church Hall,2 Berridge Road,SE19 1EF,Gipsy Hill,NND,532968,171282
Paxton Primary School,Woodland Road,SE18 1PA,Gipsy Hill,NNE,533491,170968
St Matthew's Estate Tenants Hall,10 St Matthew's Road,SW2 1NH,Tulse Hill,SOA,530960,174862
