PollingPlaceId	PollingPlaceAddress1	PollingPlaceAddress2	PollingPlaceAddress3	PollingPlaceAddress4	PollingPlaceAddress5	PollingPlaceAddress6	PollingPlaceAddress7
2106	"Max Roach Park Adventure Playground"	"Wiltshire Road"			London		"SW9 7YA"
2113	"Loughborough Primary School"	"Minet Road"	London				"SW9 7UA"
2117	"Effra Road Chapel"	"63 Effra Road"	Brixton	London			"SW2 1BZ"
2120	"Hill Mead Primary School"	"Hillmead Drive"	"Moorland Road"	London			"SW9 8UE"
2124	"St Matthew`s Church Hall"	"115 Lilford Road"	Camberwell	London			"SE5 9HY"
2128	"St Saviour`s Church Hall"	"Herne Hill Road"	London				"SE24 0AY"
2132	"Jessop Primary School"	"Lowden Road"	"Herne Hill"	London			"SE24 0BJ"
2136	"St Jude`s Primary CE School"	"Regent Road"	"Herne Hill"	London			"SE24 0EL"
2140	"Holy Trinity & St Matthias Church"	"Church Lobby"	"Holy Trinity Church"	"51 Trinity Rise"			"SW2 2QP"
2144	"Peabody Hill Community Centre"	"Peabody Hill"	London				"SE21 8LA"
2148	"Rosendale Primary School"	"Rosendale Road/turney Road"	London				"SE21 8LR"
2151	"The Salvation Army Church Hall"	"246 Norwood Road"	"West Norwood"	London			"SE27 9AW"
2155	"Goodwin Hall"	"Chatsworth Baptist Church"	"Chatsworth Way"	London			"SE27 9HN"
2158	"St Lukes Church Lower Hall"	"Knight`s Hill"	"West Norwood"	London			"SE27 0HS"
2163	"St Peter`s Church Crypt"	"Leigham Court Road"	London				"SW16 2SD"
2170	"West Norwood Fire Station"	"210 Knight's Hill"					"SE27 0QA"
2173	"Crown Lane Primary School"	"Crown Lane"	Streatham	London			"SW16 3HX"
2176	"St Luke`s Ce Primary School"	"Linton Grove"	"West Norwood"	London			"SE27 0DZ"
2179	"Elm Wood Primary School"	"(Tritton Road Entrance)"	"West Norwood"	London			"SE27 9RR"
2183	"Kingswood Primary School - Upper Site"	"Gipsy Road"	London				"SE27 9RD"
2187	"Park Campus Academy"	"Gipsy Road"	London				"SE27 9NP"
2198	"Paxton Primary School"	"Woodland Road"			London		"SE19 1PA"
2202	"St Matthew`s Tenants Hall"	"10 St Matthew`s Road"	London				"SW2 1NH"
2206	"Raleigh Park Centre"	"Arodene Road"	Brixton	London			"SW2 2BH"
2210	"Jubilee Primary School & Children`s Centre"	"Tulse Hill"	London				"SW2 2JE"
2214	"Holy Trinity Ce School"	"Upper Tulse Hill"	London				"SW2 2RL"
2218	"St Martins Community Centre"	"Abbots Park"	London				"SW2 3PW"
2222	"Sudbourne Primary School"	"Hayter Road"	"<entrance Also In"	"Sudbourne Road>"	London		"SW2 5AP"
2227	"Clapham Youth Centre"	"61 Lyham Road"	London				"SW2 5DH"
2230	"Richard Atkins Primary School"	"New Park Road"	London				"SW2 4JP"
2234	"Holmewood Nursery School"	"66 Upper Tulse Hill"	London				"SW2 2RW"
2238	"Kings Avenue School"	"Kings Avenue"	London				"SW4 8BQ"
2242	"St Mary`s Rc Primary School"	"Crescent Lane"	Clapham	London			"SW4 9QJ"
2246	"Bonneville Primary School"	"Bonneville Gardens"	London				"SW4 9LB"
2250	"Glenbrook Primary School"	"Clarence Avenue"	London				"SW4 8LD"
2254	"New Park Road Baptist Church"	"New Park Road"	London				"SW2 4LH"
2258	"St Bede`s Catholic Infant & Nursery School"	"Thornton Road"	London				"SW12 0LF"
2261	"The Bonneville Centre"	"12 Poynders Road"	London				"SW4 8NY"
2264	"Henry Cavendish Primary School (Balham)"	"Hydethorpe Road"	London				"SW12 0JA"
2268	"Knights Youth Centre"	"27 Streatham Place"	London				"SW2 4QQ"
2271	"Telford Park Lawn Tennis Club"	"35A Killieser Avenue"	"Streatham Hill"	London			"SW2 4NX"
2275	"Streatham Wells Primary School"	"50 Palace Road"	Streatham	London			"SW2 3NJ"
2279	"St Margaret`s Church Hall"	"Cricklade Avenue"	"Streatham Hill"	London			"SW2 3BH"
2283	"Tulse Hill Methodist Church"	"138 Christchurch Road"	"Tulse Hill"	London			"SW2 3DQ"
2287	"Hitherfield Children`s Centre"	"Hitherfield Road"	Streatham	London			"SW16 2JQ"
2290	"Streatham Tate Library"	"63 Streatham High Road"	London				"SW16 1PN"
2294	"Sunnyhill Primary School"	"Sunnyhill Road"	Streatham	London			"SW16 2UW"
2298	"St Andrew`s Rc Primary School"	"Polworth Road"	Streatham	London			"SW16 2ET"
2304	"Julian's Primary School"	"226 Leigham Court Road"					"SW16 2RB"
2308	"Henry Cavendish Primary School (Streatham)"	"Dingley Lane"	"Off Woodfield Avenue"	London			"SW16 1AU"
2312	"The Spires Centre"	"8 Tooting Bec Gardens"	Streatham	London			"SW16 1RB"
2315	"St Leonard`s CE Primary School"	"42 Mitcham Lane"	Streatham	London			"SW16 6NP"
2319	"Streatham Baptist Church Hall"	"Natal Road"	Streatham	London			"SW16 6JR"
2323	"Immanuel & St Andrew`s Church Hall"	"452 Streatham High Road"	"Just Past Westwell Approach"	London			"SW16 3PY"
2327	"St Bartholomew`s Church Hall"	"Ellison Road"	Streatham	London			"SW16 5DE"
2331	"Woodmansterne Primary School"	"Stockport Road"	Streatham	London			"SW16 5XE"
2334	"Granton Primary School"	"Granton Road"	"Streatham Vale"	London			"SW16 5AN"
2337	"New Cut Housing Co-Operative Community Room"	"106 the Cut"	London				"SE1 8LN"
2341	"Johanna Primary School"	"Johanna Street"	"Entrance From Lower Marsh"	London			"SE1 7RH"
2345	"Fairley House Junior School"	"218 Lambeth Road"	London				"SE1 7JY"
2349	"Walnut Tree Walk Primary School"	"Walnut Tree Walk"	London				"SE11 6DS"
2353	"Vauxhall Primary School"	"Vauxhall Street"	London				"SE11 5LG"
2357	"Archbishop Sumner Ce Primary School"	"Reedworth Street"	London				"SE11 4PH"
2361	"Durning Library"	"167 Kennington Lane"	London				"SE11 4HF"
2365	"Henry Fawcett Primary School"	"Bowling Green Street"	London				"SE11 5BZ"
2369	"St Annes Catholic Settlement Hall"	"58 Vauxhall Grove"					"SW8 1TB"
2372	"Wyvil Primary School"	"Wyvil Road"	London				"SW8 2TJ"
2376	"Ashmole Primary School"	"Ashmole Street"	London				"SW8 1NT"
2380	"Landsowne Green Community Hall"	"283-291 Wandsworth Road"	Stockwell	London			"SW8 2ND"
2383	"Springfield Community & Medical Centre"	"Coronation Hall"	"110 Union Road"	London			"SW8 2SH"
2391	"Allen Edwards Primary School"	"Studley Road"	London				"SW4 6RP"
2394	"St Michael`s Church Hall"	"Stockwell Park Road"	London				"SW9 0DA"
2398	"Reay Primary School Studio"	"Caldwell Street Entrance"	London				"SW9 0EN"
2402	"Durand Academy"	"Hackford Road"			London		"SW9 0RD"
2405	"Christchurch (Brixton) Ce School"	"Cancell Road"	London				"SW9 6HN"
2411	"Holy Rosary Church Hall"	"364 Brixton Road"	"(Next To St.Helen`s School)"	London			"SW9 OTH"
