FID,OBJECTID,POLLING_DISTRICT,ID,NAME,UPRN,EASTING,NORTHING,LATITUDE,LONGITUDE,SHAPE
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5080,1,EAB,EAB,Fintry PS,009059095130,341929,733491,56.48991391,-2.94466118,POINT (341928.8334 733500.0877)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-507f,2,WBJ,WBJ,Mitchell Street Centre,009059064988,338914,730629,56.46382353,-2.99294429,POINT (338916.283 730624.014)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-507e,3,EAC,EAC,Angus Housing Association,009059089021,342850,733736,56.49222756,-2.92976046,POINT (342845.031 733737.095000001)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-507d,4,EAE,EAE,The Crescent,009059102140,343657,733347,56.48883068,-2.91657181,POINT (343625.8996 733443.2324)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-507c,5,EAF,EAF,Longhaugh PS,009059051924,342873,733342,56.48869114,-2.92930042,POINT (342873.0844 733341.772399999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-507b,6,EAG,EAG,Douglas Community Centre,009059031440,344347,732295,56.47946292,-2.90514324,POINT (344343.249 732295.302999999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-507a,7,EAI,EAI,Rowantree PS,009059095132,342233,732667,56.48254957,-2.93954205,POINT (342237.389 732658.989)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5079,8,EAS,EAS,Forthill PS,009059000546,346349,731727,56.4745933,-2.87252748,POINT (346374.777 731747.095000001)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5078,9,WAO,WAO,Ardler Complex,009059064796,337619,733364,56.48822099,-3.01461206,POINT (337614.577 733357.491)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5077,10,WAP,WAP,Downfield PS,009059095129,338996,733463,56.48929095,-2.99227791,POINT (339015.183 733464.097999999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5076,11,WAQ,WAQ,Strathmartine Church Hall,009059054458,338453,734272,56.49648709,-3.00128593,POINT (338451.408 734271.575999999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5075,12,WAR,WAR,Baldragon Academy,009059027756,339046,734015,56.49425584,-2.99159546,POINT (339027.214 734002.085999999)
SV_POLLING_STATIONS.fid--44a6dd15_14c72829bbd_-5074,13,WAS,WAS,Sidlawview PS,009059075352,339479,734032,56.49446449,-2.98456796,POINT (339481.819 734030.494000001)
