UPRN,Districts,Polling_Station_Name,Polling_Station_Address,Easting,Northing
10091010566,AW2,"Capel Dinmael Chapel CM","Capel Dinmael Chapel CM, Dinmael, Llangwm, Corwen, LL21 0NY",300574.98,344734.45
10091010566,AX1,"Capel Dinmael Chapel CM","Capel Dinmael Chapel CM, Dinmael, Llangwm, Corwen, LL21 0NY",300574.98,344734.45
10024342499,AU1,"Canolfan Addysg Bro Aled Education Centre","Canolfan Addysg Bro Aled Education Centre, Llansannan, LL16 5HN",293152,365764
10091010576,AS1,"Canolfan Gymunedol Bro Cernyw","Canolfan Gymunedol Bro Cernyw, Ysgol Bro Cernyw, Llangernyw, Abergele, LL22 8PP",287532,367272
10024340793,AV1,"Canolfan Addysg Uwchaled Education Centre","Canolfan Addysg Uwchaled Education Centre, Cerrigydrudion, Corwen, LL21 9SW",295459,348870
10091009979,AK2,"Canolfan Dewi Sant / Saint David's Centre","Canolfan Dewi Sant / Saint David's Centre, South Parade, Pensarn, Abergele, LL22 7RG",294809,378591
50000007375,AD3,"Canolfan Cymunedol Bryn Cadno Community Centre","Canolfan Cymunedol Bryn Cadno Community Centre, Bryn Cadno, Bae Colwyn Uchaf / Upper Colwyn Bay, Bae Colwyn / Colwyn Bay, LL29 6DW",284518,377829
10091010577,AS3,"Canolfan Cymuned / Community Centre","Canolfan Cymuned / Community Centre, Capel Pandy Tudur, Pandy Tudur, Llangernyw, LL22 8UL",285902,364344
10024340835,AS2,"Canolfan Gymdeithasol Gwytherin Community Centre","Canolfan Gymdeithasol Gwytherin Community Centre, Gwytherin, Llangernyw, Abergele, LL22 8UU",287744,361493
10024341034,AI2,"Canolfan Gymuned Rhyd y Foel Community Centre","Canolfan Gymuned Rhyd y Foel Community Centre, Rhyd Y Foel, Betws Yn Rhos, Abergele, LL22 8DY",291244,376882
200002946532,AM1,"Canolfan Gymuned Bae Kinmel Bay Community Centre","Canolfan Gymuned Bae Kinmel Bay Community Centre, Foryd Road, Bae Kinmel / Kinmel Bay, Rhyl, LL18 5BT",298947,380397
10024342765,AH2,"Llysfaen Village Hall","Llysfaen Village Hall, Dolwen Road, Llysfaen, Bae Colwyn / Colwyn Bay, LL29 8SS",289378,377469
50000007859,GA,"Canolfan Porthlwyd","Canolfan Porthlwyd, Conway Road, Dolgarrog, Conwy, LL32 8JU",276932,367380
10024206861,CA,"Canolfan Cymunedol Shiloh Community Centre","Canolfan Cymunedol Shiloh Community Centre, Cwm Penmachno, Betws Y Coed, LL24 0RH",275958,347693
200002948909,"LF, LG, LH","Canolfan Trindod / Trinity Centre","Canolfan Trindod / Trinity Centre, Trinity Avenue, Llandudno, LL30 2TQ",277922,381773
200001762051,AJ1,"Capel Mynydd Seion / Mynydd Seion Chapel","Capel Mynydd Seion / Mynydd Seion Chapel, Chapel Street, Abergele, LL22 7AW",294531,377396
10091010567,FC,"Capel Peniel Chapel","Capel Peniel Chapel, Peniel Street, Deganwy, Conwy, LL31 9UP",278457.59,378816.36
50000008916,PA,"St Ffraid's Church House","St Ffraid's Church House, Church Street, Glan Conwy, Bae Colwyn / Colwyn Bay, LL28 5NA",280393,376057
50000008916,PB,"St Ffraid's Church House","St Ffraid's Church House, Church Street, Glan Conwy, Bae Colwyn / Colwyn Bay, LL28 5NA",280393,376057
10024341047,AL1,"North Coast Church","North Coast Church, Gors Road, Towyn, Abergele, LL22 9NR",297885,379001
50000004480,AA2,"Colwyn Bay Cricket Club","Colwyn Bay Cricket Club, 77 Penrhyn Avenue, Llandrillo yn Rhos / Rhos On Sea, Bae Colwyn / Colwyn Bay, LL28 4LR",283831,380769
10024341057,EA,"Canolfan Cymunedol Capel Curig Community Centre","Canolfan Cymunedol Capel Curig Community Centre, Capel Curig, Betws Y Coed, LL24 0EE",273200,357511
10024340563,LJ,"Canolfan Cymunedol Bae Penrhyn Bay Community Centre","Canolfan Cymunedol Bae Penrhyn Bay Community Centre, Community Centre, Derwen Lane, Bae Penrhyn / Penrhyn Bay, Llandudno, LL30 3LA",281638,380814
10024342961,AX2,"The Institute","The Institute, Llangwm, Corwen, LL21 0RA",296675,344697
10024340542,"LA, LB","Canolfan Cymunedol Craig Y Don Community Centre","Canolfan Cymunedol Craig Y Don Community Centre, Queen's Road, Craig Y Don, Llandudno, LL30 1TE",279387,381617
10091010568,LL,"Eglwys Bresbyteraidd / Presbyterian Church","Eglwys Bresbyteraidd / Presbyterian Church, Maes Gwyn Road, Bae Penrhyn / Penrhyn Bay, Llandudno, LL30 3PP",282466.54,381484.67
200001866568,"LC, LE","Capel Seilo Chapel","Capel Seilo Chapel, Arvon Avenue, Llandudno, LL30 2DY",277946,382458
50000001676,FA,"St Johns Church Hall","St Johns Church Hall, Rose Hill Street, Conwy, LL32 8LD",278222,377498
50000001676,FB,"St Johns Church Hall","St Johns Church Hall, Rose Hill Street, Conwy, LL32 8LD",278222,377498
100100952785,AD1,"St Johns Methodist Church","St Johns Methodist Church, Conway Road, Bae Colwyn / Colwyn Bay, LL29 7DA",284618,379135
