PollingPlaceId,PollingPlaceAddress1,PollingPlaceAddress2,PollingPlaceAddress3,PollingPlaceAddress4,PollingPlaceAddress5,PollingPlaceAddress6,PollingPlaceAddress7,PollingPlaceEasting,PollingPlaceNorthing
6079,"Siambr y Cyngor/Council Chamber","Neuadd y Dref/Town Hall","Stryd y Parad/Parade Street",,Llangollen,"Sir Ddinbych/Denbighshire","LL20 8PW",0,0
6085,"Canolfan Cymuned/Community Centre","The Conquering Hero",Rhewl,,Llangollen,"Sir Ddinbych/Denbighshire","LL20 7YT",0,0
6089,"Pafiliwn Chwaraeon Corwen (Y Rec)","Corwen Sports Pavilion (The Rec)",,"Y Lôn Lâs / Green Lane",Corwen,"Sir Ddinbych/Denbighshire","LL21 0DN",0,0
6093,"Canolfan Cymuned/Community Centre",Carrog,,,Corwen,"Sir Ddinbych/Denbighshire","LL21 9AS",0,0
6097,"Neuadd Goffa Owain Glyndwr","Owain Glyndwr Memorial Hall",,Glyndyfrdwy,Corwen,"Sir Ddinbych/Denbighshire","LL21 8HA",0,0
6100,"Yr Ysgol Isaf",Cynwyd,,,Corwen,"Sir Ddinbych/Denbighshire","LL21 0HR",0,0
6103,"Y Ganolfan",Llandrillo,,,Corwen,"Sir Ddinbych/Denbighshire","LL21 0TG",0,0
6106,"Festri Capel Henllan Chapel Vestry","Lôn Capel / Chapel Lane","oddi ar Stryd Dinbych / off Denbigh Street",Henllan,"Dinbych / Denbigh","Sir Ddinbych / Denbighshire","LL16 5AR",0,0
6113,"Canolfan Seion/Seion Centre","Stryd Henllan/Henllan Street",Dinbych/Denbigh,,,"Sir Ddinbych/Denbighshire","LL16 3PE",0,0
6117,Eirianfa,"Llain y Ffatri/Factory Place",,,Dinbych/Denbigh,"Sir Ddinbych/Denbighshire","LL16 3TS",0,0
6121,"Stiwdio Weithgareddau / Activities Studio","Canolfan Hamdden Dinbych","Denbigh Leisure Centre","Ffordd Rhuthun/Ruthin Road",Dinbych/Denbigh,"Sir Ddinbych/Denbighshire","LL16 3HB",0,0
6124,"Ysgol Frongoch","Ffordd Y Rhyl/Rhyl Road",,,Dinbych/Denbigh,"Sir Ddinbych/Denbighshire","LL16 3DP",0,0
6128,"Festri Capel Y Waen Chapel Vestry",Waen,Bodfari,,Dinbych/Denbigh,"Sir Ddinbych/Denbighshire","LL16 4BT",0,0
6132,"Ystafelloedd Cocoa/Cocoa Rooms",Llandyrnog,,,Dinbych/Denbigh,"Sir Ddinbych/Denbighshire","LL16 4HG",0,0
6135,"Neuadd Owen","Cefn Meiriadog",,,"Llanelwy/St Asaph","Sir Ddinbych/Denbighshire","LL17 0EY",0,0
6139,"Neuadd y Pentre/Village Hall",Trefnant,,,Dinbych/Denbigh,"Sir Ddinbych/Denbighshire","LL16 5UG",0,0
6143,"Ysgol Bodfari/Bodfari School",Bodfari,,,Dinbych/Denbigh,"Sir Ddinbych/Denbighshire","LL16 4DA",0,0
6147,"Yr Hen Ysgol/The Old School",Tremeirchion,,,"Llanelwy/St Asaph","Sir Ddinbych/Denbighshire","LL17 0UN",0,0
6151,"Neuadd Y Plwyf/Parish Hall",Waen,,,"Llanelwy/St Asaph","Sir Ddinbych/Denbighshire","LL17 0AN",0,0
6154,"Yr Hen Ysgol/The Old School",Cwm,,,Rhyl,"Sir Ddinbych/Denbighshire","LL18 5SG",0,0
6157,"Neuadd Y Plwyf/Parish Hall",Waen,,,"Llanelwy/St Asaph","Sir Ddinbych/Denbighshire","LL17 0AN",0,0
6158,"Canolfan Ieuenctid Llanelwy","St Asaph Youth Centre","Canolfan Hamdden Llanelwy","St Asaph Leisure Centre","Upper Denbigh Road","Llanelwy/St Asaph","LL17 0RP",0,0
6162,"Llyfrgell Llanelwy/St Asaph Library","Y Ro/The Roe",,,"Llanelwy/St Asaph","Sir Ddinbych/Denbighshire","LL17 0LU",0,0
6166,"Canolfan Cymuned/Community Centre","Lon Ty Fry/Ty Fry Lane",,,Bodelwyddan,"Sir Ddinbych/Denbighshire","LL18 5TE",0,0
6170,"Canolfan Cymuned Tref Rhuddlan","Rhuddlan Town Community Centre","Stryd y Senedd/Parliament Street",Rhuddlan,Rhyl,"Sir Ddinbych/Denbighshire","LL18 5AW",0,0
6174,"Neuadd Paterson/Paterson Hall","Stryd Fawr/High Street",,,Dyserth,"Sir Ddinbych/Denbighshire","LL18 6AA",0,0
6178,"Eglwys Calfari/Calvary Church","200 Ffordd Victoria/Victoria Road",,,Prestatyn,"Sir Ddinbych/Denbighshire","LL19 7TL",0,0
6182,"Canolfan Cymuned Jiwbili/Jubilee Community Centre","45 Rhodfa Morglawdd","45 Seabank Drive",,Prestatyn,"Sir Ddinbych/Denbighshire","LL19 7PP",0,0
