POLLING_STATION_ID,UPRN,Easting,Northing
1001,49072844,268641,295569
1002,49044804,265820,291720
1003,49043572,262491,286910
1004,49070918,260916,289164
1005,49070857,265539,289510
1006,49035600,262805,285534
1007,49035600,262805,285534
1008,49070551,264889,284117
1009,49076500,269064,281277
1010,200002962673,265816,280131
1011,200002962673,265816,280131
1012,49061464,274945,280943
1014,49070526,260461,281822
1015,49061395,261418,282301
1018,49070557,259843,281027
1019,49070557,259843,281027
1020,49070525,258720,281616
1022,49022145,258455,281989
1021,49070498,258610,281422
1024,49070498,258610,281422
1023,49070549,259237,279985
1026,49073905,278539,274165
1027,49046568,273658,276392
1028,49070560,268412,272067
1029,49062058,266496,275988
1030,49070556,259126,277918
1031,49070556,259126,277918
1013,49043829,263246,279299
1032,49070877,273539,271790
1033,49070555,262435,275108
1034,49076501,259669,270537
1035,49066491,253719,269422
1036,49066491,253719,269422
1037,49066491,253719,269422
1038,49044041,264097,267648
1039,49070220,263119,264279
1040,49070553,270367,267672
1041,49070553,270367,267672
1042,49071127,272946,266707
1043,49071127,272946,266707
1044,49070855,268086,259711
1045,49070864,261986,259730
1046,49070864,261986,259730
1047,49070864,261986,259730
1048,49065875,257966,258778
1050,49065875,257966,258778
1051,49066529,251519,267141
1052,49040170,254403,264049
1053,49070862,247775,263829
1054,49012152,245983,262543
1055,49070865,244299,259687
1056,49070366,238757,259733
1057,49070366,238757,259733
1058,49070894,242090,257508
1059,49070879,245689,255232
1060,49070869,250037,258805
1061,49076502,252083,260125
1062,49076503,252876,255955
1063,49038843,251996,251918
1064,49054606,248499,256010
1065,49069864,261091,253287
1066,49069864,261091,253287
1067,49074326,266305,255246
1068,49076505,262463,251241
1069,49076505,262463,251241
1070,49017702,257835,248341
1072,49017702,257835,248341
1073,49076506,253304,247257
1074,49038205,248321,247553
1075,49073843,241450,251382
1076,49072966,237443,255953
1077,49009793,241788,240649
1078,49074196,245148,242486
1079,49070878,243924,246174
1080,49050517,240698,244877
1081,49072235,230876,240902
1082,49070861,236590,241849
1083,49070860,234728,247535
1084,49067177,235450,244914
1085,49070852,233723,254274
1086,49069861,231371,250950
1087,49076508,224192,243745
1088,49076509,228804,246106
1089,49047954,229068,242077
1090,49076510,230137,247746
1091,49070608,221591,243973
1092,49070867,226088,251264
1093,49070632,218323,249547
1094,49073621,221194,247885
1095,49073624,217905,246186
1096,49073624,217905,246186
1097,49073624,217905,246186
1049,49073868,253788,255144
