POLLING_STATION_ID,UPRN,Easting,Northing,Address1,Address2,Address3,Address4,Postcode,latitude,longitude,x_coordinate,y_coordinate
1001,49072844,268641,295569,ST MICHAELS CHURCH HALL,U1001 FROM THE JUNCTION OF THE A487-T TO THE DRIVEWAY TO THE YNYS HIR HOTEL,EGLWYS FACH,CEREDIGION,SY20 8SX,52.5421024,-3.9384035,268641.19,295569.43
1002,49044804,265820,291720,LLAN FACH,LAYBY OUTSIDE YSGOL GYNRADD LLANCYNFELIN,TALIESIN,CEREDIGION,SY20 8JG,52.5068376,-3.9784213,265820.07,291720.96
1003,49043572,262491,286910,CAPEL BETHLEHEM,U1018 ROAD LEADING FROM THE JUNCTION OF THE B4353 AND THE U1017,LLANDRE,CEREDIGION,SY24 5BZ,52.4627845,-4.0254522,262491,286910
1004,49070918,260916,289164,COMMUNITY CENTRE,FOOTPATH FROM B4353 TO COMMUNITY CENTRE,BORTH,CEREDIGION,SY24 5LH,52.4826425,-4.0495562,260916.26,289164.71
1005,49070857,265539,289510,MEMORIAL HALL,A487T TALYBONT VILLAGE,TALYBONT,CEREDIGION,SY24 5HE,52.486912,-3.9816584,265539.57,289510.9
1006,49035600,262805,285534,RHYDYPENNAU MEMORIAL HALL,A487T BOW STREET VILLAGE,BOW STREET,CEREDIGION,SY24 5BQ,52.4505009,-4.0202677,262805,285534
1007,49035600,262805,285534,RHYDYPENNAU MEMORIAL HALL,A487T BOW STREET VILLAGE,BOW STREET,CEREDIGION,SY24 5BQ,52.4505009,-4.0202677,262805,285534
1008,49070551,264889,284117,NEUADD Y PENRHYN,C1016 FROM THE PROPERTY KNOWN AS CEFN MEURIG TO PENRHYNCOCH,PENRHYNCOCH,CEREDIGION,SY23 3EP,52.4382983,-3.9890354,264889.89,284117.98
1009,49076500,269064,281277,DYFFRYN CHAPEL VESTRY,C1130 FROM THE JUNCTION OF THE U1095 TO GOGINAN,GOGINAN,CEREDIGION,SY23 3PA,52.4137951,-3.9265521,269064.18,281277.74
1010,200002962673,265816,280131,THE VILLAGE HALL,CEFN MELINDWR,CAPEL BANGOR,CEREDIGION,SY23 3LS,52.402713,-3.9738186,265816.1,280131.97
1011,200002962673,265816,280131,THE VILLAGE HALL,CEFN MELINDWR,CAPEL BANGOR,CEREDIGION,SY23 3LS,52.402713,-3.9738186,265816.1,280131.97
1012,49061464,274945,280943,SIR JOHN RHYS PRIMARY SCHOOL,FROM THE A44T TO THE C1142 PONTERWYD,PONTERWYD,CEREDIGION,SY23 3JX,52.4121704,-3.8399996,274945.81,280943.69
1014,49070526,260461,281822,COMMUNITY HALL,BRYNCEINION,ABERYSTWYTH,CEREDIGION,SY23 3BB,52.4165645,-4.0531787,260461.43,281822.78
1015,49061395,261418,282301,COMMINS COCH PRIMARY SCHOOL,BRONGWINAU,COMINS COCH,CEREDIGION,SY23 3BQ,52.4211054,-4.0393093,261418.84,282301.09
1018,49070557,259843,281027,ST PADARNS CHURCH HALL,PENYFRON ROAD,ABERYSTWYTH,CEREDIGION,SY23 3QU,52.409259,-4.0619203,259843.81,281027.23
1019,49070557,259843,281027,ST PADARNS CHURCH HALL,PENYFRON ROAD,ABERYSTWYTH,CEREDIGION,SY23 3QU,52.409259,-4.0619203,259843.81,281027.23
1020,49070525,258720,281616,BUARTH HALL,BUARTH ROAD,ABERYSTWYTH,CEREDIGION,SY23 1LR,52.4142645,-4.0786743,258720.34,281616.54
1022,49022145,258455,281989,ST PAULS METHODIST CENTRE,BATH STREET,ABERYSTWYTH,CEREDIGION,SY23 2NN,52.4175421,-4.0827306,258455,281989
1021,49070498,258610,281422,"ABERYSTWYTH SILVER BAND, BAND ROOM",YSTWYTH RETAIL PARK,ABERYSTWYTH,CEREDIGION,SY23 1PB,52.4124934,-4.0802088,258610.32,281422.57
1024,49070498,258610,281422,"ABERYSTWYTH SILVER BAND, BAND ROOM",YSTWYTH RETAIL PARK,ABERYSTWYTH,CEREDIGION,SY23 1PB,52.4124934,-4.0802088,258610.32,281422.57
