"Polling_District","UPRN"
"AA0",64002675
"AA0",64002676
"AA0",64002684
"AA0",64002710
"AA0",64002711
"AA0",64002712
"AA0",64002713
"AA0",64002714
"AA0",64002717
"AA0",64002718
"AA0",64002972
"AA0",64003183
"AA0",64013765
"AA0",64013767
"AA0",64014787
"AA0",64014788
"AA0",64016477
"AA0",64020161
"AA0",64020162
"AA0",64020163
"AA0",64020164
"AA0",64020165
"AA0",64020166
"AA0",64020167
"AA0",64020168
"AA0",64020169
"AA0",64020170
"AA0",64020171
"AA0",64020172
"AA0",64020173
"AA0",64020174
"AA0",64020175
"AA0",64020176
"AA0",64020177
"AA0",64020180
"AA0",64020181
"AA0",64020182
"AA0",64020183
"AA0",64020184
"AA0",64020185
"AA0",64020186
"AA0",64020187
"AA0",64020188
"AA0",64020189
"AA0",64020190
"AA0",64020191
"AA0",64020192
"AA0",64020193
"AA0",64020194
"AA0",64020195
"AA0",64020196
"AA0",64020197
"AA0",64020198
"AA0",64020199
"AA0",64020200
"AA0",64020201
"AA0",64020202
"AA0",64020203
"AA0",64020204
"AA0",64020205
"AA0",64020206
"AA0",64020207
"AA0",64020208
"AA0",64020209
"AA0",64020210
"AA0",64020211
"AA0",64020212
"AA0",64020213
"AA0",64020214
"AA0",64020215
"AA0",64020216
"AA0",64020217
"AA0",64020218
"AA0",64020219
"AA0",64020220
"AA0",64020221
"AA0",64020222
"AA0",64020223
"AA0",64020224
"AA0",64020225
"AA0",64020226
"AA0",64020227
"AA0",64020228
"AA0",64020229
"AA0",64020230
"AA0",64020231
"AA0",64020232
"AA0",64020233
"AA0",64020234
"AA0",64020235
"AA0",64020236
"AA0",64020237
"AA0",64020238
"AA0",64020239
"AA0",64020240
"AA0",64020241
"AA0",64020242
"AA0",64020243
"AA0",64020244
"AA0",64020245
"AA0",64020246
"AA0",64020247
"AA0",64020248
"AA0",64020249
"AA0",64020250
"AA0",64020251
"AA0",64020252
"AA0",64020253
"AA0",64020254
"AA0",64020255
"AA0",64020256
"AA0",64020257
"AA0",64020258
"AA0",64020259
"AA0",64020278
"AA0",64020279
"AA0",64020280
"AA0",64020281
"AA0",64020282
"AA0",64020283
"AA0",64020284
"AA0",64020285
"AA0",64020286
"AA0",64020287
"AA0",64020288
"AA0",64020289
"AA0",64020290
"AA0",64020291
"AA0",64020292
"AA0",64020293
"AA0",64020294
"AA0",64020295
"AA0",64020296
"AA0",64020297
"AA0",64020298
"AA0",64020312
"AA0",64020313
"AA0",64020314
"AA0",64020315
"AA0",64020316
"AA0",64020317
"AA0",64020318
"AA0",64020319
"AA0",64020320
"AA0",64020321
"AA0",64020322
"AA0",64020323
"AA0",64020324
"AA0",64020325
"AA0",64020326
"AA0",64020327
"AA0",64020328
"AA0",64020329
"AA0",64020330
"AA0",64020331
"AA0",64020332
"AA0",64020333
"AA0",64020334
"AA0",64020335
"AA0",64020336
"AA0",64020337
"AA0",64020338
"AA0",64020339
"AA0",64020340
"AA0",64020341
"AA0",64020342
"AA0",64020343
"AA0",64020344
"AA0",64020345
"AA0",64020346
"AA0",64020347
"AA0",64020348
"AA0",64020349
"AA0",64020350
"AA0",64020351
"AA0",64020352
"AA0",64020353
"AA0",64020354
"AA0",64020355
"AA0",64020356
"AA0",64020357
"AA0",64020358
"AA0",64020359
"AA0",64020360
"AA0",64020361
"AA0",64020362
"AA0",64020363
"AA0",64020364
"AA0",64020365
"AA0",64020366
"AA0",64020367
"AA0",64020368
"AA0",64020369
"AA0",64020370
"AA0",64020371
"AA0",64020372
"AA0",64020373
"AA0",64020374
"AA0",64020375
"AA0",64020376
"AA0",64020377
"AA0",64020378
"AA0",64020379
"AA0",64020380
"AA0",64020381
"AA0",64020382
"AA0",64020383
"AA0",64020384
"AA0",64020385
"AA0",64020386
"AA0",64020387
"AA0",64020388
"AA0",64020389
"AA0",64020390
"AA0",64020391
"AA0",64020392
"AA0",64020393
"AA0",64020394
"AA0",64020395
"AA0",64020396
"AA0",64020397
"AA0",64020398
"AA0",64020399
"AA0",64020400
"AA0",64020401
"AA0",64020402
"AA0",64020403
"AA0",64020404
"AA0",64020405
"AA0",64020406
"AA0",64020407
"AA0",64020408
"AA0",64020409
"AA0",64020410
"AA0",64020411
"AA0",64020412
"AA0",64020413
"AA0",64020414
"AA0",64020415
"AA0",64020416
"AA0",64020417
"AA0",64020418
"AA0",64020419
"AA0",64020434
"AA0",64020435
"AA0",64020521
"AA0",64020522
"AA0",64020523
"AA0",64020524
"AA0",64020525
"AA0",64020526
"AA0",64020527
"AA0",64020528
"AA0",64020529
"AA0",64020530
"AA0",64020531
"AA0",64020532
"AA0",64020533
"AA0",64020534
"AA0",64020535
"AA0",64020536
"AA0",64020537
"AA0",64020538
"AA0",64020539
"AA0",64020540
"AA0",64020541
"AA0",64020542
"AA0",64020543
"AA0",64020553
"AA0",64020554
"AA0",64020555
"AA0",64020556
"AA0",64020557
"AA0",64020558
"AA0",64020559
"AA0",64020560
"AA0",64020561
"AA0",64020562
"AA0",64020563
"AA0",64020564
"AA0",64020565
"AA0",64020566
"AA0",64020567
"AA0",64020568
"AA0",64020569
"AA0",64020570
"AA0",64020571
"AA0",64020572
"AA0",64020573
"AA0",64020574
"AA0",64020575
"AA0",64020576
"AA0",64020577
"AA0",64020578
"AA0",64020579
"AA0",64020580
"AA0",64020581
"AA0",64020582
"AA0",64020583
"AA0",64020584
"AA0",64020585
"AA0",64020586
"AA0",64020587
"AA0",64020588
"AA0",64020589
"AA0",64020590
"AA0",64020591
"AA0",64020592
"AA0",64020593
"AA0",64020594
"AA0",64020595
"AA0",64020596
"AA0",64020597
"AA0",64020598
"AA0",64020599
"AA0",64020600
"AA0",64020601
"AA0",64020602
"AA0",64020603
"AA0",64020604
"AA0",64020605
"AA0",64020606
"AA0",64020607
"AA0",64020608
"AA0",64020609
"AA0",64020610
"AA0",64020611
"AA0",64020612
"AA0",64020613
"AA0",64020614
"AA0",64020615
"AA0",64020616
"AA0",64020617
"AA0",64020618
"AA0",64020619
"AA0",64020620
"AA0",64020621
"AA0",64020622
"AA0",64020623
"AA0",64020624
"AA0",64020625
"AA0",64020626
"AA0",64020627
"AA0",64020628
"AA0",64020629
"AA0",64020630
"AA0",64020631
"AA0",64020632
"AA0",64020633
"AA0",64020634
"AA0",64020635
"AA0",64020636
"AA0",64020637
"AA0",64020638
"AA0",64020639
"AA0",64020640
"AA0",64020641
"AA0",64020642
"AA0",64020643
"AA0",64020644
"AA0",64020645
"AA0",64020646
"AA0",64020647
"AA0",64020648
"AA0",64020649
"AA0",64020650
"AA0",64020651
"AA0",64020652
"AA0",64020653
"AA0",64020654
"AA0",64020655
"AA0",64020656
"AA0",64020657
"AA0",64020658
"AA0",64020659
"AA0",64020660
"AA0",64020661
"AA0",64020662
"AA0",64020663
"AA0",64020666
"AA0",64020667
"AA0",64020668
"AA0",64020669
"AA0",64020670
"AA0",64020671
"AA0",64020672
"AA0",64020673
"AA0",64020674
"AA0",64020675
"AA0",64020676
"AA0",64020677
"AA0",64020678
"AA0",64020679
"AA0",64020680
"AA0",64020681
"AA0",64020682
"AA0",64020683
"AA0",64020684
"AA0",64020685
"AA0",64020686
"AA0",64020687
"AA0",64020688
"AA0",64020689
"AA0",64020690
"AA0",64020691
"AA0",64020692
"AA0",64020693
"AA0",64020694
"AA0",64020695
"AA0",64020696
