"POLLING DISTRICT",Address1,Address2,Address3,Address4,Address5,Postcode,UPRN,"STATION NO"
CAA,"RHIGOS COMMUNITY CENTRE","HEOL ESGYN",RHIGOS,ABERDARE,,"CF44 9BJ",200004000000,59
CAB,"PENDERYN COMMUNITY HALL","LLWYN ONN",PENDERYN,ABERDARE,,"CF44 9UX",100101000000,60
CBA,"HIRWAUN VILLAGE HALL","HIGH STREET",HIRWAUN,ABERDARE,,"CF44 9SL",100101000000,61
CBB,"HIRWAUN VILLAGE HALL","HIGH STREET",HIRWAUN,ABERDARE,,"CF44 9SL",100101000000,62
CCA,"PENYWAUN PRIMARY SCHOOL",AWELFRYN,PENYWAUN,ABERDARE,,"CF44 9DR",200003000000,63
CCB,"ST WINIFREDS CHURCH HALL","HEOL BRYNGWYN",PENYWAUN,ABERDARE,,,10024278645,64
CDA,"LLWYDCOED COMMUNITY CENTRE","MERTHYR ROAD",LLWYDCOED,ABERDARE,,"CF44 0YE",10012771624,65
CDB,"ST FAGANS CHURCH HALL","WINDSOR STREET",TRECYNON,ABERDARE,,"CF44 8LL",10012771856,66
CDC,"CWMDARE PRIMARY SCHOOL","CWMDARE ROAD",CWMDARE,ABERDARE,,"CF44 8UA",10001301603,67
CDD,"ABERDARE PARK PRIMARY SCHOOL","HIRWAUN ROAD",TRECYNON,ABERDARE,,"CF44 8LU",10024275528,68
CDE,"ABERDARE PARK PRIMARY SCHOOL","HIRWAUN ROAD",TRECYNON,ABERDARE,,"CF44 8LU",10024275528,69
CDF,"ST JOHN THE BAPTIST HIGH SCHOOL","GLAN ROAD",GADLYS,ABERDARE,,"CF44 8BW",200003000000,70
CEA,"CHRISTCHURCH CHURCH HALL","EAST AVENUE",GADLYS,ABERDARE,,"CF44 8AS",10012771352,71
CEB,"ST MAIRS DAY CENTRE","SEYMOUR STREET",ABERDARE,,,"CF44 7BD",200004000000,72
CEC,"CARADOG PRIMARY SCHOOL","CLIFTON STREET",ABERDARE,,,"CF44 7PB",100101000000,73
CED,"ABERNANT PRIMARY SCHOOL",ABERNANT,ABERDARE,,,"CF44 0SF",200004000000,74
CEE,"CANOLFAN YR URDD (URDD CENTRE)","WIND STREET",ABERDARE,,,"CF44 7ES",10012771959,75
CFA,"BLAENGWAWR PRIMARY SCHOOL","GWAWR STREET",ABERAMAN,ABERDARE,,"CF44 6YP",100101000000,76
CFB,"ST MARGARETS CHURCH CLUB","CARDIFF ROAD",ABERAMAN,ABERDARE,,"CF44 6RT",10012770851,77
CFC,"GWAWR CHURCH HALL","JUBILEE ROAD",ABERAMAN,ABERDARE,,"CF44 6DD",10024273993,78
CGA,"GWAWR CHURCH HALL","JUBILEE ROAD",ABERAMAN,ABERDARE,,"CF44 6DD",10024273993,79
CGB,"CWMAMAN INFANTS SCHOOL","FFORCHAMAN ROAD",CWMAMAN,ABERDARE,,"CF44 6NS",200004000000,80
CGC,"GLYNHAFOD JUNIOR SCHOOL","GLYNHAFOD STREET",CWMAMAN,ABERDARE,,"CF44 6LD",100101000000,81
CGD,"CAPCOCH PRIMARY SCHOOL","SCHOOL STREET",ABERCWMBOI,ABERDARE,,"CF44 6AD",200002000000,82
CHA,"CWMBACH JUNIOR SCHOOL","LLANGORSE ROAD",CWMBACH,ABERDARE,,"CF44 0HS",100101000000,83
CHB,"ST MARY MAGDALINE CHURCH HALL","BRIDGE ROAD",CWMBACH,ABERDARE,,,10091203691,84
CHC,"CWMBACH C.I.W. PRIMARY SCHOOL","TIRFOUNDER ROAD",CWMBACH,ABERDARE,,"CF44 0AT",200003000000,85
CIA,"MOUNTAIN ASH GOLF CLUB","THE AVENUE",CEFNPENNAR,"MOUNTAIN ASH",,"CF45 4DT",200003000000,86
CIB,"MOUNTAIN ASH YMCA","DYFFRYN ROAD","MOUNTAIN ASH",,,"CF45 4DA",200004000000,87
CIC,"ZION CHAPEL","MARY STREET",NEWTON,"MOUNTAIN ASH",,"CF45 4HE",200002000000,88
CJA,"OXFORD STREET DAY CENTRE","OXFORD STREET","MOUNTAIN ASH",,,"CF45 3HD",200003000000,89
CJB,"FERNHILL COMMUNITY CENTRE","FERNHILL ESTATE","MOUNTAIN ASH",,,"CF45 3EW",200004000000,90
CJC,"DARRENLAS COMMUNITY BUILDING","ABERDARE ROAD","MOUNTAIN ASH",ABERDARE,,"CF45 3PT",200004000000,91
CJD,"DARRENLAS JUNIOR SCHOOL","KINGCRAFT STREET","MOUNTAIN ASH",,,"CF45 3LT",200002000000,92
CKA,"MISKIN BAPTIST CHURCH","201 PENRHIWCEIBER ROAD",PENRHIWCEIBER,"MOUNTAIN ASH",,"CF45 3UN",100101000000,93
CKB,"BRYNGOLWG FREE MISSION","WINDSOR ROAD",MISKIN,"MOUNTAIN ASH",,"CF45 3NE",10012771441,95
CKC,"PENRHIWCEIBER OLD AGE CENTRE","CHURCH STREET",PENRHIWCEIBER,"MOUNTAIN ASH",,"CF45 3SP",10001301894,96
CKD,"PERTHCELYN COMMUNITY CENTRE","GLAMORGAN STREET",PERTHCELYN,"MOUNTAIN ASH",,"CF45 3RJ",200003000000,97
CKE,"MISKIN BAPTIST CHURCH","201 PENRHIWCEIBER ROAD",PENRHIWCEIBER,"MOUNTAIN ASH",,"CF45 3UN",100101000000,94
CLA,"THE FEEL GOOD FACTORY","ABERCYNON ROAD",YNYSYBOETH,"MOUNTAIN ASH",,"CF45 4XZ",10012770618,98
CLB,"ABERCYNON COMMUNITY CENTRE","STATION ROAD",ABERCYNON,,,"CF45 4TA",200003000000,99
CLC,"ST DONATS CHURCH","CARDIFF ROAD",ABERCYNON,"MOUNTAIN ASH",,,10012771607,100
CLD,"YGG ABERCYNON - WELSH SCHOOL","PARK VIEW ENTRANCE",ABERCYNON,,,"CF45 4TH",200004000000,101
CMA,"GRAIG YR HESG PRIMARY SCHOOL (INFANTS SCHOOL)","CEFN LANE",GLYNCOCH,PONTYPRIDD,,"CF37 3BP",200003000000,102
CMB,"TREROBART PRIMARY SCHOOL","THOMPSON STREET",YNYSYBWL,PONTYPRIDD,,"CF37 3EF",100101000000,103
CMC,"YSGOL TY GOCH",BUARTH-Y-CAPEL,YNYSYBWL,PONTYPRIDD,,"CF37 3PA",200004000000,104
CNA,"GRAIG YR HESG PRIMARY SCHOOL (INFANTS SCHOOL)","CEFN LANE",GLYNCOCH,PONTYPRIDD,,"CF37 3BP",200003000000,105
CNB,"COMMUNITY CENTRE (GLYNCOCH)","PORCHER AVENUE",GLYNCOCH,PONTYPRIDD,,"CF37 4DD",100101000000,106
COA,"CILFYNYDD & NORTON BRIDGE COMMUNITY CENTRE","CILFYNYDD ROAD",CILFYNYDD,PONTYPRIDD,,"CF47 3NR",100101000000,107
COB,"NORTON BRIDGE METHODIST CHURCH","PONTSHONNORTON ROAD",PONTYPRIDD,"MID GLAMORGAN",,,10012770523,108
OAA,"GILFACH GOCH COMMUNITY ASSOCIATION","CAMBRIAN AVENUE","GILFACH GOCH",,,"CF39 8TG",10012771766,168
OAB,"COMMUNITY CENTRE (CAMBRIAN AVE)","CAMBRIAN AVENUE","GILFACH GOCH",,,"CF39 8TG",200003000000,169
OAC,"DAY CENTRE(GILFACH GOCH)","HIGH STREET","GILFACH GOCH",,,"CF39 8SR",200004000000,170
OAD,"DAY CENTRE(GILFACH GOCH)","HIGH STREET","GILFACH GOCH",,,"CF39 8SR",200004000000,171
OCA,"CHURCH HALL (LLANHARAN)","DANYGRAIG ROAD",LLANHARAN,,,,10012771405,172
OCB,"LLANHARAN WELFARE HALL","BRIDGEND ROAD",LLANHARAN,PONTYCLUN,,"CF72 9RA",200004000000,173
OCC,"YNYSMAERDY SOCIAL HALL",YNYSMAERDY,PONT-Y-CLUN,,,"CF72 8LJ",200002000000,174
OCD,"BETHEL BAPTIST CHURCH","HEOL MISKIN",PONTYCLUN,,,"CF72 9AJ",200002000000,140
OCE,"TALBOT GREEN COMMUNITY CENTRE.","COWBRIDGE ROAD","TALBOT GREEN",,,"CF72 8HS",200003000000,157
ODA,"BRYNNA COMMUNITY CENTRE","CHURCH STREET",BRYNNA,PONTYCLUN,,"CF72 9QP",100101000000,175
ODB,"DOLAU PRIMARY SCHOOL","BRIDGEND ROAD",DOLAU,,,"CF72 9RP",200003000000,176
OEA,"LLANHARRY COMMUNITY CENTRE",TYLACOCH,LLANHARRY,,,"CF72 9LF",10012772717,177
OEB,"COMMUNITY CENTRE TYLAGARW",TYLAGARW,LLANHARRY,PONTYCLUN,,"CF72 9EU",200004000000,179
OEC,"PONT-Y-CLUN COMMUNITY CENTRE",HEOL-YR-ORSAF,"COWBRIDGE ROAD",PONT-Y-CLUN,,"CF72 9EE",200003000000,142
PAA,"TREHAFOD COMMUNITY VILLAGE HALL","IVOR STREET",TREHAFOD,PONTYPRIDD,,"CF37 2NF",100101000000,109
