Polling District,Polling Station,Polling Station Postcode,Property,UPRN
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"17, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657248
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"18, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657249
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"19, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657250
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"20, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657252
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"21, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657253
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"22, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657255
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"23, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657256
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"24, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657257
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"25, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657258
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"26, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657259
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"27, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657260
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"28, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657261
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"29, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657262
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"30, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657263
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"31, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657264
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"9, PANTYSCALLOG HOUSES, PANT, MERTHYR TYDFIL, CF48 2BY",10034657244
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"PANTYSCALLOG INN, PANTYSCALLOG TERRACE, PANT, MERTHYR TYDFIL, CF48 2BT",200001861409
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"4, NEW HOUSES, PANT, MERTHYR TYDFIL, CF48 2AB",100100575365
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"29, NANT MORLAIS, PANT, MERTHYR TYDFIL, CF48 2AW",100100575361
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"REDWOOD, THE RISE, PANT, MERTHYR TYDFIL, CF48 2BN",100100575206
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"1, PANTYSCALLOG TERRACE, PANT, MERTHYR TYDFIL, CF48 2BT",100100575473
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"OTHER ELECTORS, PANTYSCALLOG NORTH, MERTHYR TYDFIL",AA0000001
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"4, RAILWAY GARDENS, PANT, MERTHYR TYDFIL, CF48 2AH",10034651730
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"3, RAILWAY GARDENS, PANT, MERTHYR TYDFIL, CF48 2AH",10034651729
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"2, RAILWAY GARDENS, PANT, MERTHYR TYDFIL, CF48 2AH",10034651728
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"1, RAILWAY GARDENS, PANT, MERTHYR TYDFIL, CF48 2AH",10034651727
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"31, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575527
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"30, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100914036
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"26, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100914034
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"23, NANT MORLAIS, PANT, MERTHYR TYDFIL, CF48 2AW",100100575355
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"27, NANT MORLAIS, PANT, MERTHYR TYDFIL, CF48 2AW",100100575359
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"19, NANT MORLAIS, PANT, MERTHYR TYDFIL, CF48 2AW",100100575352
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"10, AMELIA CLOSE, PANT, MERTHYR TYDFIL, CF48 2BF",10034652709
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"68, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575545
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"67, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575544
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"66, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575543
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"65, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575541
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"64, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575540
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"63, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100914062
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"62, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575539
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"61, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575538
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"60, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575537
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"59, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575536
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"58, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575535
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"57, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575534
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"56, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575533
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"55, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575532
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"54, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575531
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"53, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575530
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"52, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575529
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"51, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575528
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"50, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575526
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"49, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100914039
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"48, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100914038
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"47, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575524
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"46, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100575516
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"109, THE HAFOD, PANT, MERTHYR TYDFIL, CF48 2ED",100100576002
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"37, THE HAFOD, PANT, MERTHYR TYDFIL, CF48 2EB",100100575930
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"13, THE HAWTHORNS, PANT, MERTHYR TYDFIL, CF48 2EJ",100100914031
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"25, KING STREET, PANT, MERTHYR TYDFIL, CF48 2AF",100100575446
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"16, KING STREET, PANT, MERTHYR TYDFIL, CF48 2AF",100100575437
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"30, QUEEN STREET, PANT, MERTHYR TYDFIL, CF48 2AE",100100575417
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"23, QUEEN STREET, PANT, MERTHYR TYDFIL, CF48 2AE",100100575410
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"5, QUEEN STREET, PANT, MERTHYR TYDFIL, CF48 2AE",100100575392
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"84, BRECON RISE, PANT, MERTHYR TYDFIL, CF48 2EF",100100575289
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"47, BRECON RISE, PANT, MERTHYR TYDFIL, CF48 2EE",100100575252
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"30, BRECON RISE, PANT, MERTHYR TYDFIL, CF48 2BW",100100575235
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"SCRAMBLES, THE RISE, PANT, MERTHYR TYDFIL, CF48 2BN",200001802623
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"7, NEW HOUSES, PANT, MERTHYR TYDFIL, CF48 2AB",100100575368
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"18, NANT MORLAIS, PANT, MERTHYR TYDFIL, CF48 2AW",100100575351
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"21, TAI'R TWYNAU, PANT, MERTHYR TYDFIL, CF48 2BA",100100575091
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"73, EDWARD STREET, PANT, MERTHYR TYDFIL, CF48 2BB",100100575177
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"76, EDWARD STREET, PANT, MERTHYR TYDFIL, CF48 2BD",100100575180
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"16, EDWARD STREET, PANT, MERTHYR TYDFIL, CF48 2BD",100100575120
AA,"CAERSALEM CHAPEL VESTRY, PANT ROAD, MERTHYR TYDFIL",CF48 2DG,"8, EDWARD STREET, PANT, MERTHYR TYDFIL, CF48 2BD",100100575112
