council_name,council_code,polling_district_id,address,postcode,source
East Dorset District Council,E07000049,AN,,,
East Dorset District Council,E07000049,AS,,,
East Dorset District Council,E07000049,CE,,,
East Dorset District Council,E07000049,CH,,,
East Dorset District Council,E07000049,CL,,,
East Dorset District Council,E07000049,CMC,,,
East Dorset District Council,E07000049,CMN,,,
East Dorset District Council,E07000049,CMS,,,
East Dorset District Council,E07000049,CP,,,
East Dorset District Council,E07000049,CR,,,
East Dorset District Council,E07000049,CW,,,
East Dorset District Council,E07000049,ED,,,
East Dorset District Council,E07000049,FAM,,,
East Dorset District Council,E07000049,FCN,,,
East Dorset District Council,E07000049,FCS,,,
East Dorset District Council,E07000049,FGL,,,
East Dorset District Council,E07000049,FL,,,
East Dorset District Council,E07000049,FLC,,,
East Dorset District Council,E07000049,FLE,,,
East Dorset District Council,E07000049,FLG,,,
East Dorset District Council,E07000049,FLK,,,
East Dorset District Council,E07000049,FLN,,,
East Dorset District Council,E07000049,FLS,,,
East Dorset District Council,E07000049,FSN,,,
East Dorset District Council,E07000049,FSS,,,
East Dorset District Council,E07000049,FSW,,,
East Dorset District Council,E07000049,GLS,,,
East Dorset District Council,E07000049,GSM,,,
East Dorset District Council,E07000049,HL,,,
East Dorset District Council,E07000049,HNM,,,
East Dorset District Council,E07000049,HNP,,,
East Dorset District Council,E07000049,HRE,,,
East Dorset District Council,E07000049,HRW,,,
East Dorset District Council,E07000049,LCR,,,
East Dorset District Council,E07000049,MCR,,,
East Dorset District Council,E07000049,PE,,,
East Dorset District Council,E07000049,PN,,,
East Dorset District Council,E07000049,PS,,,
East Dorset District Council,E07000049,SH,,,
East Dorset District Council,E07000049,SK,,,
East Dorset District Council,E07000049,SLE,,,
East Dorset District Council,E07000049,SLS,,,
East Dorset District Council,E07000049,SLW,,,
East Dorset District Council,E07000049,SM,,,
East Dorset District Council,E07000049,VDE,,,
East Dorset District Council,E07000049,VN,,,
East Dorset District Council,E07000049,VP,,,
East Dorset District Council,E07000049,VSE,,,
East Dorset District Council,E07000049,VSW,,,
East Dorset District Council,E07000049,VTX,,,
East Dorset District Council,E07000049,WD,,,
East Dorset District Council,E07000049,WMC,,,
East Dorset District Council,E07000049,WMJ,,,
East Dorset District Council,E07000049,WMN,,,
East Dorset District Council,E07000049,WMS,,,
East Dorset District Council,E07000049,WMT,,,
East Dorset District Council,E07000049,WPN,,,
East Dorset District Council,E07000049,WPS,,,
East Dorset District Council,E07000049,WSG,,,
East Dorset District Council,E07000049,WT,,,
