gss,name,email,phone,website,postcode,address
S12000005,Clackmannanshire Council,registration@centralscotland-vjb.gov.uk,01786 892289,http://www.clacksweb.org.uk/,FK7 9JQ,"Electoral Registration Officer
Central Scotland Valuation Joint Board
Hillside House
STIRLING
Laurelhill Business Park"
S12000006,Dumfries and Galloway Council,ero@dumgal.gov.uk,01387 260627,http://www.dumgal.gov.uk/,DG1 2AD,"Electoral Registration Officer
Municipal Chambers
Buccleuch Street
DUMFRIES"
S12000008,East Ayrshire Council,avjb@south-ayrshire.gov.uk,01292 612221,http://www.ayrshire-vjb.gov.uk/,KA7 1HL,"Electoral Registration Officer
Ayrshire Valuation Joint Board
9 Wellington Square
AYR"
S12000010,East Lothian Council,enquiries@lothian-vjb.gov.uk,0131 344 2500,http://www.lothian-vjb.gov.uk/,EH12 9FL,"Electoral Registration Officer
Lothian Valuation Joint Board
17A South Gyle Crescent
EDINBURGH"
S12000011,East Renfrewshire Council,ero@renfrewshire-vjb.gov.uk,0300 300 0150,http://www.renfrewshire-vjb.gov.uk/index.html,PA1 3QF,"Electoral Registration Officer
Renfrewshire Valuation Joint Board
The Robertson Centre
PAISLEY
16 Glasgow Road"
S12000013,Comhairle nan Eilean Siar,ero@highland.gov.uk,01851 706262,http://www.cne-siar.gov.uk/,HS1 2XF,"Electoral Registration Officer
Highland and Western Isles VJB
42 Point Street
STORNOWAY"
S12000014,Falkirk Council,registration@centralscotland-vjb.gov.uk,01786 892289,http://www.falkirk.gov.uk/,FK7 9JQ,"Electoral Registration Officer
Central Scotland Valuation Joint Board
Hillside House
STIRLING
Laurelhill Business Park"
S12000017,Highland Council,ero@highland.gov.uk,01463 703340,http://www.saa.gov.uk/h-wi-vjb,IV1 1QY,"Electoral Registration Officer
Highland and Western Isles VJB
Moray House
INVERNESS
16-18 Bank Street"
S12000018,Inverclyde Council,ero@renfrewshire-vjb.gov.uk,0300 300 0150,http://www.renfrewshire-vjb.gov.uk/index.html,PA1 3QF,"Electoral Registration Officer
Renfrewshire Valuation Joint Board
The Robertson Centre
PAISLEY
16 Glasgow Road"
S12000019,Midlothian Council,enquiries@lothian-vjb.gov.uk,0131 344 2500,http://www.midlothian.gov.uk/,EH12 9FL,"Electoral Registration Officer
Lothian Valuation Joint Board
17A South Gyle Crescent
EDINBURGH"
S12000020,Moray Council,elgin@grampian-ero.gov.uk,01343 619819,http://www.votemoray.org/,IV30 1BA,"Grampian Electoral Registration Office
234 High Street
Elgin"
S12000021,North Ayrshire Council,avjb@south-ayrshire.gov.uk,01292 612221,http://www.ayrshire-vjb.gov.uk/,KA7 1HL,"Electoral Registration Officer
Ayrshire Valuation Joint Board
9 Wellington Square
AYR"
S12000023,Orkney Islands Council,ero@orkney.gov.uk,01856 876222,http://www.orkney.gov.uk/,KW15 1NX,"Electoral Registration Officer
Orkney & Shetland VJB
8 Broad Street
Kirkwall"
S12000026,Scottish Borders Council,ero@scotborders.gov.uk,01835 825100,http://www.scotborders.gov.uk/,TD6 0SA,"Electoral Registration Officer
Old School Building
Council Headquarters
Newtown St Boswells"
S12000027,Shetland Islands Council,ero@shetland.gov.uk,01595 745700,http://www.shetland.gov.uk/,ZE1 0LX,"Electoral Registration Officer
Orkney & Shetland VJB
20 Commercial Road
Lerwick"
S12000028,South Ayrshire Council,avjb@south-ayrshire.gov.uk,01292 612221,http://www.ayrshire-vjb.gov.uk/,KA7 1HL,"Electoral Registration Officer
Ayrshire Valuation Joint Board
9 Wellington Square
AYR"
S12000029,South Lanarkshire Council,ero@lanarkshire-vjb.gov.uk,01698 476000,http://www.lanarkshire-vjb.gov.uk/lvjb/info/3/electoral_registration/5/electoral_registration,ML3 0LU,"Electoral Registration Officer
Lanarkshire Valuation Joint Board
North Stand
HAMILTON
Cadzow Avenue"
S12000030,Stirling Council,registration@centralscotland-vjb.gov.uk,01786 892289,http://my.stirling.gov.uk/home?theme=MyStirling,FK7 9JQ,"Electoral Registration Officer
Central Scotland Valuation Joint Board
Hillside House
STIRLING
Laurelhill Business Park"
S12000033,Aberdeen City Council,ero@grampian-ero.gov.uk,01224 068400,http://www.voteaberdeen.org,AB16 5GE,"Grampian Electoral Registration Office
Woodhill House
Westburn Road
Aberdeen"
S12000034,Aberdeenshire Council,elections@aberdeenshire.gov.uk,01224 068400,https://aberdeenshire.gov.uk/council-and-democracy/elections/,,
S12000035,Argyll and Bute Council,ero-abc@dab-vjb.gov.uk,01586 555300,http://www.dab-vjb.gov.uk,PA28 6JY,"Electoral Registration Officer
Dunbartonshire and Argyll & Bute VJB
Kilbrannan House
Bolgam Street
Campbeltown"
S12000036,City of Edinburgh Council,enquiries@lothian-vjb.gov.uk,0131 344 2500,http://www.lothian-vjb.gov.uk/,EH12 9FL,"Electoral Registration Officer
Lothian Valuation Joint Board
17A South Gyle Crescent
EDINBURGH"
S12000038,Renfrewshire Council,ero@renfrewshire-vjb.gov.uk,0300 300 0150,http://www.renfrewshire-vjb.gov.uk/index.html,PA1 3QF,"Electoral Registration Officer
Renfrewshire Valuation Joint Board
The Robertson Centre
PAISLEY
16 Glasgow Road"
S12000039,West Dunbartonshire Council,ero-wdc@dab-vjb.gov.uk,0141 562 1200,http://www.dab-vjb.gov.uk,G81 4XJ,"Electoral Registration Officer
Dunbartonshire and Argyll & Bute VJB
235 Dumbarton Road
CLYDEBANK"
S12000040,West Lothian Council,enquiries@lothian-vjb.gov.uk,0131 344 2500,http://www.westlothian.gov.uk/,EH12 9FL,"Electoral Registration Officer
Lothian Valuation Joint Board
17A South Gyle Crescent
EDINBURGH"
S12000041,Angus Council,angus@tayside-vjb.gov.uk,01307 499910,http://www.angus.gov.uk,DD8 1WH,"Electoral Registration Officer
Tayside Valuation Joint Board
Orchardbank Business Park
FORFAR
Floor 1, William Wallace House"
S12000042,Dundee City Council,ero@dundeecity.gov.uk,01382 434444,http://www.dundeecity.gov.uk/,DD1 3BY,"Electoral Registration Office
21 City Square
Dundee"
S12000045,East Dunbartonshire Council,ero-edc@dab-vjb.gov.uk,0141 562 1200,http://www.dab-vjb.gov.uk,G81 4XJ,"Electoral Registration Officer
Dunbartonshire and Argyll & Bute VJB
235 Dumbarton Road
CLYDEBANK"
S12000047,Fife Council,voters.roll@fife.gov.uk,03451 555511,http://www.fife.gov.uk/electoralregister,KY7 5LT,"Electoral Registration Officer
Fife House
North Street
Glenrothes"
S12000048,Perth & Kinross Council,perth@tayside-vjb.gov.uk,01738 630303,http://www.pkc.gov.uk/elections,PH2 0LG,"Electoral Registration Officer
Tayside Valuation Joint Board
Robertson House
PERTH
Whitefriars Crescent"
S12000049,Glasgow City Council,voters.roll@fs.glasgow.gov.uk,0141 287 4444,http://www.glasgow.gov.uk/elections,G4 7DL,"Electoral Registration Officer
Glasgow City Council
PO Box 15311
Glasgow"
S12000050,North Lanarkshire Council,ero@lanarkshire-vjb.gov.uk,01698 476000,http://www.northlanarkshire.gov.uk/,ML3 0LU,"Electoral Registration Officer
Lanarkshire Valuation Joint Board
North Stand
HAMILTON
Cadzow Avenue"
